id,attr_time,attr_light
1,1435996968009,37.0
2,1435996968029,37.0
3,1435996968052,37.0
4,1435996968072,37.0
5,1435996968089,37.0
6,1435996968109,37.0
7,1435996968129,37.0
8,1435996968150,37.0
9,1435996968169,37.0
10,1435996968197,37.0
11,1435996968253,37.0
12,1435996968254,37.0
13,1435996968255,37.0
14,1435996968278,37.0
15,1435996968308,37.0
16,1435996968309,37.0
17,1435996968329,37.0
18,1435996968350,37.0
19,1435996968371,37.0
20,1435996968389,37.0
21,1435996968424,37.0
22,1435996968433,37.0
23,1435996968453,37.0
24,1435996968471,37.0
25,1435996968488,37.0
26,1435996968509,37.0
27,1435996968533,37.0
28,1435996968549,37.0
29,1435996968569,37.0
30,1435996968593,37.0
31,1435996968612,37.0
32,1435996968632,37.0
33,1435996968651,37.0
34,1435996968673,37.0
35,1435996968690,37.0
36,1435996968708,37.0
37,1435996968729,37.0
38,1435996968748,37.0
39,1435996968771,37.0
40,1435996968793,37.0
41,1435996968813,37.0
42,1435996968829,37.0
43,1435996968849,37.0
44,1435996968873,37.0
45,1435996968892,37.0
46,1435996968911,37.0
47,1435996968933,37.0
48,1435996968952,37.0
49,1435996968984,37.0
50,1435996968993,37.0
51,1435996969027,37.0
52,1435996969029,37.0
53,1435996969050,37.0
54,1435996969069,37.0
55,1435996969153,37.0
56,1435996969154,37.0
57,1435996969155,37.0
58,1435996969181,37.0
59,1435996969182,37.0
60,1435996969212,37.0
61,1435996969213,37.0
62,1435996969251,37.0
63,1435996969252,37.0
64,1435996969270,37.0
65,1435996969293,37.0
66,1435996969310,37.0
67,1435996969330,37.0
68,1435996969354,37.0
69,1435996969371,37.0
70,1435996969393,37.0
71,1435996969413,37.0
72,1435996969433,37.0
73,1435996969451,37.0
74,1435996969471,37.0
75,1435996969494,37.0
76,1435996969514,37.0
77,1435996969533,37.0
78,1435996969551,37.0
79,1435996969571,37.0
80,1435996969593,37.0
81,1435996969610,37.0
82,1435996969630,37.0
83,1435996969649,37.0
84,1435996969669,37.0
85,1435996969691,37.0
86,1435996969712,37.0
87,1435996969733,37.0
88,1435996969750,37.0
89,1435996969770,37.0
90,1435996969792,37.0
91,1435996969814,37.0
92,1435996969834,37.0
93,1435996969851,37.0
94,1435996969871,37.0
95,1435996969891,37.0
96,1435996969911,37.0
97,1435996969931,37.0
98,1435996969955,37.0
99,1435996969972,37.0
100,1435996969992,37.0
101,1435996970020,37.0
102,1435996970090,37.0
103,1435996970091,37.0
104,1435996970113,37.0
105,1435996970114,37.0
106,1435996970115,37.0
107,1435996970132,37.0
108,1435996970160,37.0
109,1435996970173,37.0
110,1435996970193,37.0
111,1435996970211,37.0
112,1435996970233,37.0
113,1435996970257,37.0
114,1435996970272,37.0
115,1435996970291,37.0
116,1435996970317,37.0
117,1435996970331,37.0
118,1435996970362,37.0
119,1435996970377,37.0
120,1435996970396,37.0
121,1435996970411,37.0
122,1435996970432,37.0
123,1435996970451,37.0
124,1435996970475,37.0
125,1435996970581,37.0
126,1435996970582,37.0
127,1435996970583,37.0
128,1435996970584,37.0
129,1435996970585,37.0
130,1435996970635,37.0
131,1435996970636,37.0
132,1435996970637,37.0
133,1435996970685,37.0
134,1435996970686,37.0
135,1435996970694,37.0
136,1435996970715,37.0
137,1435996970731,37.0
138,1435996970751,37.0
139,1435996970771,37.0
140,1435996970791,37.0
141,1435996970811,37.0
142,1435996970831,37.0
143,1435996970851,37.0
144,1435996970871,37.0
145,1435996970892,37.0
146,1435996970913,37.0
147,1435996970933,37.0
148,1435996970954,37.0
149,1435996970972,37.0
150,1435996970991,37.0
151,1435996971032,37.0
152,1435996971033,37.0
153,1435996971051,37.0
154,1435996971070,37.0
155,1435996971092,37.0
156,1435996971113,37.0
157,1435996971131,37.0
158,1435996971152,37.0
159,1435996971171,37.0
160,1435996971191,37.0
161,1435996971212,37.0
162,1435996971235,37.0
163,1435996971252,37.0
164,1435996971272,37.0
165,1435996971294,37.0
166,1435996971311,37.0
167,1435996971335,37.0
168,1435996971355,37.0
169,1435996971372,37.0
170,1435996971392,37.0
171,1435996971414,37.0
172,1435996971438,37.0
173,1435996971451,37.0
174,1435996971473,37.0
175,1435996971495,37.0
176,1435996971512,37.0
177,1435996971534,37.0
178,1435996971552,37.0
179,1435996971573,37.0
180,1435996971591,37.0
181,1435996971616,37.0
182,1435996971634,37.0
183,1435996971652,37.0
184,1435996971671,37.0
185,1435996971695,37.0
186,1435996971713,37.0
187,1435996971736,37.0
188,1435996971757,37.0
189,1435996971772,37.0
190,1435996971794,37.0
191,1435996971813,37.0
192,1435996971832,37.0
193,1435996971866,37.0
194,1435996971874,37.0
195,1435996971901,37.0
196,1435996971912,37.0
197,1435996971933,37.0
198,1435996971953,37.0
199,1435996971973,37.0
200,1435996971994,37.0
201,1435996972014,37.0
202,1435996972037,37.0
203,1435996972057,37.0
204,1435996972076,37.0
205,1435996972095,37.0
206,1435996972114,37.0
207,1435996972134,37.0
208,1435996972152,37.0
209,1435996972173,37.0
210,1435996972199,37.0
211,1435996972217,37.0
212,1435996972237,37.0
213,1435996972259,37.0
214,1435996972279,37.0
215,1435996972343,37.0
216,1435996972344,37.0
217,1435996972345,37.0
218,1435996972374,37.0
219,1435996972375,37.0
220,1435996972393,37.0
221,1435996972419,37.0
222,1435996972434,37.0
223,1435996972454,37.0
224,1435996972475,37.0
225,1435996972500,37.0
226,1435996972517,37.0
227,1435996972533,37.0
228,1435996972554,37.0
229,1435996972579,37.0
230,1435996972595,37.0
231,1435996972613,37.0
232,1435996972633,37.0
233,1435996972653,37.0
234,1435996972680,37.0
235,1435996972695,37.0
236,1435996972718,37.0
237,1435996972734,37.0
238,1435996972758,37.0
239,1435996972810,37.0
240,1435996972811,37.0
241,1435996972822,37.0
242,1435996972839,37.0
243,1435996972853,37.0
244,1435996972873,37.0
245,1435996972898,37.0
246,1435996972915,37.0
247,1435996972940,37.0
248,1435996972957,37.0
249,1435996972974,37.0
250,1435996972997,37.0
251,1435996973016,37.0
252,1435996973033,37.0
253,1435996973054,37.0
254,1435996973078,37.0
255,1435996973100,37.0
256,1435996973118,37.0
257,1435996973137,37.0
258,1435996973154,37.0
259,1435996973174,37.0
260,1435996973194,37.0
261,1435996973215,37.0
262,1435996973244,37.0
263,1435996973298,37.0
264,1435996973299,37.0
265,1435996973300,37.0
266,1435996973314,37.0
267,1435996973334,37.0
268,1435996973361,37.0
269,1435996973377,37.0
270,1435996973394,37.0
271,1435996973420,37.0
272,1435996973440,37.0
273,1435996973455,37.0
274,1435996973475,37.0
275,1435996973507,37.0
276,1435996973514,37.0
277,1435996973537,37.0
278,1435996973556,37.0
279,1435996973575,37.0
280,1435996973599,37.0
281,1435996973619,37.0
282,1435996973639,37.0
283,1435996973658,37.0
284,1435996973675,37.0
285,1435996973695,37.0
286,1435996973720,37.0
287,1435996973734,37.0
288,1435996973754,37.0
289,1435996973796,37.0
290,1435996973797,37.0
291,1435996973814,37.0
292,1435996973834,37.0
293,1435996973854,37.0
294,1435996973874,37.0
295,1435996973896,37.0
