id,attr_time,attr_x,attr_y,attr_z
1,1435996968019,12.391,-41.636,2.023
2,1435996968068,12.391,-41.636,2.023
3,1435996968069,12.391,-41.636,2.023
4,1435996968088,12.391,-41.636,2.023
5,1435996968114,12.391,-41.636,2.023
6,1435996968119,12.391,-41.636,2.023
7,1435996968139,12.391,-41.636,2.023
8,1435996968159,12.391,-41.636,2.023
9,1435996968180,12.391,-41.636,2.023
10,1435996968201,12.391,-41.636,2.023
11,1435996968223,12.391,-41.636,2.023
12,1435996968241,12.391,-41.636,2.023
13,1435996968260,12.391,-41.636,2.023
14,1435996968280,12.391,-41.636,2.023
15,1435996968299,12.391,-41.636,2.023
16,1435996968319,12.391,-41.636,2.023
17,1435996968340,12.391,-41.636,2.023
18,1435996968365,12.391,-41.636,2.023
19,1435996968382,12.391,-41.636,2.023
20,1435996968402,12.391,-41.636,2.023
21,1435996968422,12.391,-41.636,2.023
22,1435996968440,12.391,-41.636,2.023
23,1435996968461,12.391,-41.636,2.023
24,1435996968480,12.391,-41.636,2.023
25,1435996968500,12.391,-41.636,2.023
26,1435996968519,12.391,-41.636,2.023
27,1435996968593,12.391,-41.636,2.023
28,1435996968594,12.391,-41.636,2.023
29,1435996968595,12.391,-41.636,2.023
30,1435996968604,12.391,-41.636,2.023
31,1435996968637,12.391,-41.636,2.023
32,1435996968640,12.391,-41.636,2.023
33,1435996968660,12.391,-41.636,2.023
34,1435996968680,12.391,-41.636,2.023
35,1435996968700,12.391,-41.636,2.023
36,1435996968804,12.391,-41.636,2.023
37,1435996968805,12.391,-41.636,2.023
38,1435996968806,12.391,-41.636,2.023
39,1435996968807,12.391,-41.636,2.023
40,1435996968808,12.391,-41.636,2.023
41,1435996968824,12.391,-41.636,2.023
42,1435996968842,12.391,-41.636,1.718
43,1435996968865,12.391,-41.636,1.718
44,1435996968885,12.391,-41.636,1.718
45,1435996968905,12.391,-41.636,1.718
46,1435996968923,12.391,-41.636,1.718
47,1435996968941,12.391,-41.636,1.718
48,1435996968961,12.391,-41.636,1.718
49,1435996968981,12.391,-41.636,1.718
50,1435996969004,12.391,-41.636,1.718
51,1435996969025,12.391,-41.636,1.718
52,1435996969045,12.391,-41.636,1.718
53,1435996969062,12.391,-41.636,1.718
54,1435996969086,12.391,-41.636,1.718
55,1435996969149,12.391,-41.636,1.718
56,1435996969153,12.391,-41.636,1.718
57,1435996969166,12.391,-41.636,1.718
58,1435996969167,12.391,-41.636,1.718
59,1435996969206,12.391,-41.636,1.718
60,1435996969207,12.391,-41.636,1.718
61,1435996969243,12.391,-41.636,1.718
62,1435996969244,12.391,-41.636,1.718
63,1435996969261,12.391,-41.636,1.718
64,1435996969280,12.391,-41.636,1.718
65,1435996969300,12.391,-41.636,1.718
66,1435996969320,12.391,-41.636,1.718
67,1435996969341,12.391,-41.636,1.718
68,1435996969362,12.391,-41.636,1.718
69,1435996969382,12.391,-41.636,1.718
70,1435996969403,12.391,-41.636,1.718
71,1435996969423,12.391,-41.636,1.718
72,1435996969444,12.391,-41.636,1.718
73,1435996969464,12.391,-41.636,1.718
74,1435996969484,12.391,-41.636,1.718
75,1435996969504,12.391,-41.636,1.718
76,1435996969522,12.391,-41.636,1.718
77,1435996969541,12.391,-41.636,1.718
78,1435996969630,12.391,-41.636,1.718
79,1435996969631,12.391,-41.636,1.718
80,1435996969632,12.391,-41.636,1.718
81,1435996969633,12.391,-41.636,1.718
82,1435996969661,12.391,-41.636,1.718
83,1435996969662,12.391,-41.636,1.718
84,1435996969704,12.391,-41.636,1.718
85,1435996969705,12.391,-41.636,1.718
86,1435996969721,12.391,-41.636,1.718
87,1435996969743,12.391,-41.636,1.718
88,1435996969762,12.391,-41.636,1.718
89,1435996969782,12.391,-41.636,1.718
90,1435996969801,12.391,-41.636,1.718
91,1435996969823,12.391,-41.636,1.718
