id,attr_time,attr_x,attr_y,attr_z
1,1435990455481,-9.172,-39.263,-18.249
2,1435990455482,-9.172,-39.263,-18.249
3,1435990455483,-9.172,-39.263,-18.249
4,1435990455484,-9.172,-39.263,-18.249
5,1435990455485,-9.172,-39.263,-18.249
6,1435990455486,-9.172,-39.263,-18.249
7,1435990455487,-9.172,-39.263,-18.249
8,1435990455488,-9.172,-39.263,-18.249
9,1435990455489,-9.172,-39.263,-18.249
10,1435990455490,-9.172,-39.263,-18.249
11,1435990455491,-9.172,-39.263,-18.249
12,1435990455492,-9.172,-39.263,-18.249
13,1435990455493,-9.172,-39.263,-18.249
14,1435990455494,-9.172,-39.263,-18.249
15,1435990455495,-9.172,-39.263,-18.249
16,1435990455496,-9.172,-39.263,-18.249
17,1435990455497,-9.172,-39.263,-18.249
18,1435990455498,-9.172,-39.263,-18.249
19,1435990455499,-9.172,-39.263,-18.249
20,1435990455500,-9.172,-39.263,-18.249
21,1435990455501,-9.172,-39.263,-18.249
22,1435990455502,-9.172,-39.263,-18.249
23,1435990455503,-9.172,-39.263,-18.249
24,1435990455504,-9.172,-39.263,-18.249
25,1435990455505,-9.172,-39.263,-18.249
26,1435990455506,-9.172,-39.263,-18.249
27,1435990455507,-9.172,-39.263,-18.249
28,1435990455508,-9.172,-39.263,-18.249
29,1435990455509,-9.172,-39.263,-18.249
30,1435990455510,-9.172,-39.263,-18.249
31,1435990455511,-9.172,-39.263,-18.249
32,1435990455512,-9.172,-39.263,-18.249
33,1435990455513,-9.172,-39.263,-18.249
34,1435990455514,-9.172,-39.263,-18.249
35,1435990455515,-9.172,-39.263,-18.249
36,1435990455516,-9.172,-39.263,-18.249
37,1435990455517,-9.172,-39.263,-18.249
38,1435990455518,-9.172,-39.263,-17.93
39,1435990455519,-9.172,-39.263,-17.93
40,1435990455520,-9.172,-39.263,-17.93
41,1435990455521,-9.172,-39.263,-17.93
42,1435990455522,-9.172,-39.263,-17.93
43,1435990455523,-9.172,-39.263,-17.93
44,1435990455524,-9.172,-39.263,-17.93
45,1435990455525,-9.172,-39.263,-17.93
46,1435990455526,-9.172,-39.263,-17.93
47,1435990455527,-9.172,-39.263,-17.93
48,1435990455528,-9.172,-39.263,-17.93
49,1435990455529,-9.172,-39.263,-17.93
50,1435990455530,-9.172,-39.263,-17.93
51,1435990455531,-9.172,-39.263,-17.93
52,1435990455532,-9.172,-39.263,-17.93
53,1435990455533,-9.172,-39.263,-17.93
54,1435990455534,-9.172,-39.263,-17.93
55,1435990455535,-9.172,-39.263,-18.24
56,1435990455536,-9.172,-39.263,-18.24
57,1435990455537,-9.172,-39.263,-18.24
58,1435990455538,-9.172,-39.263,-18.24
59,1435990455539,-9.172,-39.263,-18.24
60,1435990455540,-9.489,-39.263,-18.24
61,1435990455541,-9.489,-39.263,-18.24
62,1435990455542,-9.489,-39.263,-18.24
63,1435990455543,-9.489,-39.263,-18.24
64,1435990455544,-9.489,-39.263,-18.24
65,1435990455545,-9.797,-39.263,-18.24
66,1435990455546,-9.797,-39.263,-18.24
67,1435990455547,-9.797,-39.263,-18.24
68,1435990455548,-9.797,-39.263,-18.24
69,1435990455549,-9.797,-39.263,-18.24
70,1435990455550,-9.797,-39.263,-18.24
71,1435990455551,-9.797,-39.263,-18.24
72,1435990455552,-9.797,-39.263,-18.24
73,1435990455553,-9.797,-39.263,-18.24
74,1435990455554,-9.797,-39.263,-18.24
75,1435990455555,-9.797,-39.263,-18.24
76,1435990455556,-9.797,-39.263,-18.24
77,1435990455557,-9.797,-39.263,-18.24
78,1435990455558,-9.797,-39.263,-18.24
79,1435990455559,-9.797,-39.263,-18.24
80,1435990455560,-9.797,-39.263,-18.24
81,1435990455571,-9.797,-39.263,-18.24
82,1435990455591,-9.797,-39.263,-18.24
83,1435990455611,-9.797,-39.263,-18.24
84,1435990455631,-9.797,-39.263,-18.24
85,1435990455651,-9.797,-39.263,-18.24
86,1435990455671,-9.797,-39.263,-18.24
87,1435990455691,-9.797,-39.263,-18.24
88,1435990455711,-9.797,-39.263,-18.551
89,1435990455731,-9.797,-39.263,-18.551
90,1435990455751,-9.797,-39.263,-18.551
91,1435990455772,-9.797,-39.263,-18.551
92,1435990455794,-9.797,-39.263,-18.551
93,1435990455814,-9.797,-39.263,-18.551
94,1435990455834,-9.797,-39.263,-18.551
95,1435990455856,-9.797,-39.263,-18.551
96,1435990455871,-9.797,-39.263,-18.551
97,1435990455894,-9.797,-39.263,-18.551
98,1435990455913,-9.797,-39.263,-18.551
99,1435990455933,-9.797,-39.263,-18.551
100,1435990455955,-9.797,-39.263,-18.551
101,1435990455976,-9.797,-39.263,-18.551
102,1435990455996,-9.797,-39.263,-18.551
103,1435990456013,-9.797,-39.263,-18.551
104,1435990456034,-9.797,-39.263,-18.551
105,1435990456075,-9.797,-39.263,-18.551
106,1435990456076,-9.797,-39.263,-18.551
107,1435990456092,-9.797,-39.263,-18.551
108,1435990456115,-9.797,-39.263,-18.551
109,1435990456132,-9.797,-39.263,-18.551
110,1435990456155,-9.797,-39.263,-18.551
111,1435990456175,-9.797,-39.263,-18.551
112,1435990456193,-9.797,-39.263,-18.551
113,1435990456213,-9.797,-39.263,-18.551
114,1435990456236,-9.797,-39.263,-18.551
115,1435990456254,-9.797,-39.263,-18.551
116,1435990456276,-9.797,-39.263,-18.551
117,1435990456297,-9.797,-39.263,-18.551
118,1435990456314,-9.797,-39.263,-18.551
119,1435990456336,-9.797,-39.263,-18.551
120,1435990456357,-9.797,-39.263,-18.551
121,1435990456373,-9.797,-39.263,-18.551
122,1435990456395,-9.797,-39.263,-18.551
123,1435990456416,-9.797,-39.263,-18.551
124,1435990456436,-9.797,-39.263,-18.551
125,1435990456457,-9.797,-39.263,-18.551
126,1435990456476,-9.797,-39.263,-18.551
127,1435990456496,-9.797,-39.263,-18.551
128,1435990456516,-9.797,-39.263,-18.551
129,1435990456535,-9.797,-39.263,-18.551
130,1435990456555,-9.797,-39.263,-18.215
131,1435990456575,-9.797,-39.263,-18.215
132,1435990456596,-9.797,-39.263,-18.215
133,1435990456617,-9.797,-39.263,-18.215
134,1435990456636,-9.797,-39.263,-18.215
135,1435990456656,-9.797,-39.263,-18.215
136,1435990456674,-9.797,-39.263,-18.215
137,1435990456702,-9.797,-39.263,-18.215
138,1435990456800,-9.797,-39.263,-18.215
139,1435990456801,-9.797,-39.263,-18.215
140,1435990456837,-9.797,-39.263,-18.215
141,1435990456838,-9.797,-39.263,-18.215
142,1435990456839,-9.797,-39.263,-18.215
143,1435990456840,-9.797,-39.263,-18.215
144,1435990456841,-9.797,-39.263,-18.215
145,1435990456950,-9.797,-39.263,-18.215
146,1435990456951,-9.797,-39.263,-18.588
147,1435990456953,-9.797,-39.263,-18.588
148,1435990456954,-9.797,-39.263,-18.588
149,1435990456955,-9.797,-39.263,-18.588
150,1435990456956,-9.797,-39.263,-18.588
151,1435990456999,-9.797,-39.263,-18.588
152,1435990457000,-9.797,-39.263,-18.588
153,1435990457048,-9.797,-39.263,-18.588
154,1435990457049,-9.797,-39.263,-18.588
155,1435990457066,-9.797,-39.263,-18.588
156,1435990457073,-9.797,-39.263,-18.588
157,1435990457093,-9.797,-39.263,-18.588
158,1435990457113,-9.797,-39.263,-18.588
159,1435990457138,-9.797,-39.263,-18.588
160,1435990457153,-9.797,-39.263,-18.588
161,1435990457173,-9.797,-39.263,-18.588
162,1435990457193,-9.797,-39.263,-18.588
163,1435990457214,-9.797,-39.263,-18.588
164,1435990457233,-9.797,-39.263,-18.588
165,1435990457254,-9.797,-39.263,-18.588
166,1435990457278,-9.797,-39.263,-18.588
167,1435990457294,-9.797,-39.263,-18.588
168,1435990457314,-9.797,-39.263,-18.588
169,1435990457334,-9.797,-39.263,-18.588
170,1435990457354,-9.797,-39.263,-18.588
171,1435990457373,-9.797,-39.263,-18.588
172,1435990457393,-9.797,-39.263,-18.588
173,1435990457414,-10.13,-39.263,-18.26
174,1435990457438,-10.13,-39.263,-18.26
175,1435990457456,-10.13,-39.263,-18.26
176,1435990457480,-10.13,-39.263,-18.26
177,1435990457493,-10.13,-39.263,-18.26
178,1435990457513,-10.13,-39.263,-18.26
179,1435990457538,-10.13,-39.263,-18.26
180,1435990457555,-10.13,-39.263,-18.26
181,1435990457575,-10.13,-39.263,-18.26
182,1435990457594,-10.13,-39.263,-18.26
183,1435990457613,-10.13,-39.263,-18.26
184,1435990457635,-10.13,-39.263,-18.26
185,1435990457653,-10.13,-39.263,-18.26
186,1435990457675,-10.13,-39.263,-18.26
187,1435990457695,-10.13,-39.263,-18.26
188,1435990457715,-10.13,-39.263,-18.26
189,1435990457734,-10.13,-39.263,-18.26
190,1435990457758,-10.13,-39.263,-18.26
191,1435990457778,-10.13,-39.263,-18.26
192,1435990457798,-10.13,-39.263,-18.26
193,1435990457819,-10.13,-39.263,-18.26
194,1435990457838,-10.13,-39.263,-18.26
195,1435990457858,-10.13,-39.263,-18.26
196,1435990457875,-10.13,-39.263,-18.26
197,1435990457897,-10.13,-39.567,-18.26
198,1435990457918,-10.13,-39.567,-18.26
199,1435990457938,-10.13,-39.567,-18.26
200,1435990457954,-10.13,-39.567,-18.26
201,1435990457977,-10.13,-39.567,-18.26
202,1435990457997,-10.13,-39.567,-18.26
203,1435990458016,-9.82,-39.567,-18.26
204,1435990458034,-9.82,-39.567,-18.26
205,1435990458056,-9.82,-39.567,-18.26
206,1435990458078,-9.82,-39.567,-18.583
207,1435990458099,-9.82,-39.567,-18.583
208,1435990458118,-9.82,-39.567,-18.583
209,1435990458138,-9.484,-39.567,-18.583
210,1435990458155,-9.484,-39.567,-18.583
211,1435990458174,-9.484,-39.567,-18.583
212,1435990458197,-9.484,-39.567,-18.583
213,1435990458218,-9.484,-39.567,-18.583
214,1435990458234,-9.484,-39.567,-18.583
215,1435990458265,-9.484,-39.567,-18.583
216,1435990458280,-9.484,-39.567,-18.583
217,1435990458299,-9.484,-39.567,-18.583
218,1435990458315,-9.484,-39.567,-18.583
219,1435990458334,-9.484,-39.567,-18.583
220,1435990458354,-9.484,-39.567,-18.583
221,1435990458376,-9.484,-39.567,-18.583
222,1435990458403,-9.484,-39.567,-18.583
223,1435990458419,-9.484,-39.567,-18.583
224,1435990458435,-9.484,-39.567,-18.583
225,1435990458457,-9.484,-39.567,-18.583
226,1435990458475,-9.484,-39.567,-18.583
227,1435990458497,-9.484,-39.567,-18.251
228,1435990458518,-9.849,-39.567,-18.251
229,1435990458535,-9.849,-39.567,-18.251
230,1435990458558,-9.849,-39.567,-18.251
231,1435990458578,-9.849,-39.567,-18.251
232,1435990458598,-9.849,-39.567,-18.251
233,1435990458618,-9.849,-39.567,-18.251
234,1435990458636,-9.849,-39.567,-18.251
235,1435990458656,-9.849,-39.567,-18.251
236,1435990458678,-9.849,-39.567,-18.251
237,1435990458695,-9.849,-39.567,-18.251
238,1435990458715,-9.849,-39.567,-18.251
239,1435990458736,-9.849,-39.567,-18.251
240,1435990458761,-9.849,-39.567,-18.251
241,1435990458778,-9.849,-39.567,-18.251
242,1435990458798,-9.849,-39.567,-18.251
243,1435990458818,-9.849,-39.567,-18.251
244,1435990458835,-9.849,-39.567,-18.251
245,1435990458855,-9.849,-39.567,-18.251
246,1435990458875,-9.849,-39.567,-18.251
247,1435990458897,-9.849,-39.567,-18.251
248,1435990458915,-9.849,-39.567,-18.251
249,1435990458969,-9.849,-39.567,-18.251
250,1435990458970,-9.849,-39.567,-18.251
251,1435990458986,-9.849,-39.567,-18.251
252,1435990458995,-9.532,-39.567,-18.251
253,1435990459018,-9.532,-39.567,-18.251
254,1435990459037,-9.532,-39.567,-18.251
255,1435990459055,-9.532,-39.567,-18.251
256,1435990459077,-9.532,-39.567,-18.251
257,1435990459096,-9.532,-39.567,-18.251
258,1435990459117,-9.532,-39.567,-18.251
259,1435990459136,-9.532,-39.567,-18.251
260,1435990459159,-9.532,-39.567,-18.251
261,1435990459175,-9.532,-39.567,-18.251
262,1435990459199,-9.532,-39.567,-18.251
263,1435990459219,-9.532,-39.567,-18.251
264,1435990459239,-9.532,-39.567,-18.251
265,1435990459259,-9.532,-39.567,-18.251
266,1435990459279,-9.532,-39.567,-18.251
267,1435990459299,-9.532,-39.567,-18.251
268,1435990459319,-9.532,-39.567,-18.251
269,1435990459339,-9.849,-39.567,-18.251
270,1435990459357,-9.849,-39.567,-18.251
271,1435990459378,-9.849,-39.567,-18.251
272,1435990459401,-9.849,-39.567,-18.251
273,1435990459419,-9.849,-39.567,-18.251
274,1435990459436,-9.849,-39.567,-18.251
275,1435990459457,-9.849,-39.567,-18.251
276,1435990459478,-9.849,-39.567,-18.251
277,1435990459499,-9.849,-39.567,-18.251
278,1435990459520,-9.849,-39.567,-18.251
279,1435990459536,-9.849,-39.567,-18.251
280,1435990459556,-9.849,-39.567,-18.251
281,1435990459576,-9.849,-39.567,-18.251
282,1435990459596,-9.849,-39.567,-18.251
283,1435990459628,-9.849,-39.567,-18.251
284,1435990459636,-9.849,-39.567,-18.251
285,1435990459708,-9.849,-39.567,-18.251
286,1435990459709,-9.849,-39.567,-18.251
287,1435990459710,-9.849,-39.567,-18.251
288,1435990459722,-9.849,-39.567,-18.251
289,1435990459738,-9.849,-39.567,-18.251
290,1435990459757,-9.849,-39.567,-18.251
291,1435990459776,-9.849,-39.567,-18.251
292,1435990459798,-9.849,-39.567,-18.251
293,1435990459818,-9.849,-39.567,-18.251
294,1435990459837,-9.849,-39.567,-18.251
295,1435990459857,-9.849,-39.567,-18.251
296,1435990459877,-9.849,-39.567,-18.251
297,1435990459900,-9.849,-39.567,-18.251
298,1435990459919,-10.159,-39.567,-18.251
299,1435990459939,-10.159,-39.567,-18.251
300,1435990459959,-10.159,-39.567,-18.251
301,1435990459979,-10.159,-39.567,-18.251
302,1435990459999,-10.159,-39.567,-18.251
303,1435990460019,-10.159,-39.567,-18.251
304,1435990460038,-10.159,-39.567,-18.251
305,1435990460059,-10.159,-39.567,-18.251
306,1435990460077,-10.159,-39.567,-18.251
307,1435990460100,-10.159,-39.567,-18.251
308,1435990460119,-10.159,-39.567,-18.251
309,1435990460140,-10.159,-39.567,-18.251
310,1435990460160,-10.159,-39.567,-18.251
311,1435990460179,-10.159,-39.567,-18.251
312,1435990460198,-10.159,-39.567,-18.251
313,1435990460219,-9.846,-39.567,-18.251
314,1435990460239,-9.846,-39.567,-18.251
315,1435990460260,-9.846,-39.567,-18.251
316,1435990460280,-9.846,-39.567,-18.251
317,1435990460300,-9.846,-39.567,-18.251
318,1435990460318,-9.846,-39.567,-18.251
319,1435990460348,-9.846,-39.567,-18.251
320,1435990460461,-9.846,-39.567,-18.251
321,1435990460462,-9.846,-39.567,-18.251
322,1435990460463,-9.846,-39.567,-18.251
323,1435990460464,-9.846,-39.567,-18.251
324,1435990460465,-9.846,-39.567,-18.251
325,1435990460466,-9.846,-39.567,-18.251
326,1435990460478,-9.846,-39.567,-18.251
327,1435990460497,-9.846,-39.567,-18.251
328,1435990460518,-9.846,-39.567,-18.251
329,1435990460540,-9.846,-39.567,-18.251
330,1435990460558,-9.846,-39.262,-18.251
331,1435990460577,-9.846,-39.262,-18.251
332,1435990460599,-9.846,-39.262,-18.251
333,1435990460620,-9.846,-39.262,-18.251
334,1435990460639,-10.16,-39.262,-18.251
335,1435990460659,-10.16,-39.262,-17.887
