id,attr_time,attr_x,attr_y,attr_z
1,1438189988437,8.641,-47.904,2.725
2,1438189988438,8.641,-47.904,2.725
3,1438189988439,8.641,-47.904,2.725
4,1438189988440,8.641,-47.904,2.725
5,1438189988475,8.641,-47.904,2.725
6,1438189988476,8.641,-47.904,2.725
7,1438189988501,8.641,-47.904,2.725
8,1438189988514,8.641,-47.904,2.725
9,1438189988535,8.641,-47.904,2.725
10,1438189988553,8.641,-47.904,2.725
11,1438189988573,8.641,-47.904,2.725
12,1438189988593,8.641,-47.904,2.725
13,1438189988615,8.641,-47.904,2.725
14,1438189988633,8.641,-47.904,2.725
15,1438189988658,8.641,-47.904,2.725
16,1438189988691,8.641,-47.904,2.725
17,1438189988692,8.641,-47.904,2.725
18,1438189988712,8.641,-47.904,2.725
19,1438189988733,8.641,-47.904,2.725
20,1438189988752,8.641,-47.904,2.725
21,1438189988773,8.641,-47.904,2.725
22,1438189988792,8.641,-47.904,2.725
23,1438189988812,8.334,-47.904,2.725
24,1438189988832,8.334,-47.904,2.725
25,1438189988852,8.334,-47.904,2.725
26,1438189988872,8.334,-47.904,2.725
27,1438189988892,8.334,-47.904,2.725
28,1438189988912,8.334,-47.904,2.725
29,1438189988932,8.334,-47.904,2.725
30,1438189988952,8.334,-47.904,2.725
31,1438189988972,8.334,-47.904,2.725
32,1438189988992,8.334,-47.904,2.725
33,1438189989012,8.334,-47.904,2.725
34,1438189989032,8.334,-47.904,2.725
35,1438189989052,8.334,-47.904,2.725
36,1438189989076,8.334,-47.904,2.725
37,1438189989093,8.334,-47.904,2.725
38,1438189989112,8.334,-47.904,2.725
39,1438189989136,8.334,-47.904,2.725
40,1438189989157,8.334,-47.904,2.725
41,1438189989174,8.334,-47.904,2.725
42,1438189989196,8.334,-47.904,2.725
43,1438189989213,8.639,-47.904,2.725
44,1438189989234,8.639,-47.904,2.725
45,1438189989254,8.639,-47.904,2.725
46,1438189989276,8.639,-47.904,2.725
47,1438189989295,8.639,-47.904,2.725
48,1438189989320,8.639,-47.904,2.725
49,1438189989336,8.639,-47.904,2.725
50,1438189989354,8.639,-47.904,2.725
51,1438189989374,8.639,-47.904,2.725
52,1438189989396,8.639,-47.904,2.725
53,1438189989417,8.639,-47.904,2.725
54,1438189989437,8.639,-47.904,2.725
55,1438189989455,8.639,-47.904,2.725
56,1438189989476,8.639,-47.904,2.725
57,1438189989495,8.975,-47.904,2.725
58,1438189989514,8.975,-47.904,2.424
59,1438189989534,8.975,-47.904,2.424
60,1438189989555,8.975,-47.904,2.424
61,1438189989587,8.975,-47.904,2.424
62,1438189989608,8.975,-47.904,2.424
63,1438189989621,8.975,-47.904,2.424
64,1438189989634,8.975,-47.904,2.424
65,1438189989654,8.975,-47.904,2.424
66,1438189989674,8.975,-47.904,2.424
67,1438189989696,8.975,-47.904,2.424
68,1438189989724,8.975,-47.904,2.424
69,1438189989736,8.975,-47.904,2.424
70,1438189989757,8.975,-47.904,2.424
71,1438189989777,8.975,-47.904,2.424
72,1438189989796,8.975,-47.904,2.424
73,1438189989815,8.975,-47.904,2.424
74,1438189989834,8.975,-47.904,2.424
75,1438189989856,8.975,-47.904,2.424
76,1438189989877,8.975,-47.904,2.424
77,1438189989898,8.975,-47.904,2.424
78,1438189989918,9.28,-47.904,2.424
79,1438189989938,9.28,-47.904,2.424
80,1438189989957,9.28,-47.904,2.424
81,1438189989978,9.28,-47.904,2.424
82,1438189989996,9.28,-47.904,2.424
83,1438189990017,9.28,-47.904,2.424
84,1438189990035,9.28,-47.904,2.424
85,1438189990066,9.28,-47.904,2.424
86,1438189990076,9.28,-47.904,2.424
87,1438189990102,9.28,-47.904,2.424
88,1438189990119,9.28,-47.904,2.424
89,1438189990134,9.28,-47.904,2.424
90,1438189990155,9.28,-47.904,2.424
91,1438189990176,9.28,-47.904,2.424
92,1438189990197,9.28,-47.904,2.424
93,1438189990217,9.28,-47.904,2.424
94,1438189990280,9.28,-47.904,2.424
95,1438189990281,9.28,-47.904,2.424
96,1438189990295,9.28,-47.904,2.424
97,1438189990296,9.28,-47.904,2.424
98,1438189990317,9.28,-47.904,2.424
99,1438189990346,9.28,-47.904,2.424
100,1438189990356,9.28,-47.904,2.748
101,1438189990389,9.28,-47.904,2.748
102,1438189990395,9.28,-47.904,2.748
103,1438189990417,9.28,-47.904,2.748
104,1438189990444,9.28,-47.904,2.748
105,1438189990457,9.28,-47.904,2.748
106,1438189990481,9.28,-47.904,2.748
107,1438189990497,9.28,-47.904,2.748
108,1438189990515,9.28,-47.904,2.748
109,1438189990537,9.28,-47.904,2.748
110,1438189990558,9.28,-47.904,2.748
111,1438189990578,9.28,-47.904,2.748
112,1438189990598,9.28,-47.904,2.748
113,1438189990617,9.28,-47.904,2.748
114,1438189990639,9.28,-47.904,2.748
115,1438189990658,9.28,-47.904,2.748
116,1438189990677,9.28,-47.904,2.748
117,1438189990697,9.28,-47.904,2.748
118,1438189990715,9.28,-47.904,2.748
119,1438189990736,9.28,-47.904,2.748
120,1438189990755,9.28,-47.904,2.748
121,1438189990776,9.28,-47.904,2.748
122,1438189990801,9.28,-47.904,2.748
123,1438189990821,9.28,-47.904,2.748
124,1438189990838,9.28,-47.904,2.748
125,1438189990855,9.28,-47.904,2.748
126,1438189990875,9.28,-47.904,2.748
127,1438189990897,9.28,-47.904,2.748
128,1438189990917,9.28,-47.904,2.748
129,1438189990938,9.28,-47.904,2.748
130,1438189991045,9.28,-47.904,2.748
131,1438189991046,9.28,-47.904,2.748
132,1438189991047,9.28,-47.904,2.748
133,1438189991048,9.28,-47.904,2.748
134,1438189991050,9.28,-47.904,2.748
135,1438189991077,9.28,-47.904,2.748
136,1438189991104,9.28,-47.904,2.748
137,1438189991105,9.28,-47.904,2.748
138,1438189991146,9.28,-47.904,2.748
139,1438189991147,9.28,-47.904,2.748
140,1438189991167,9.28,-47.904,2.748
141,1438189991176,9.28,-47.904,2.748
142,1438189991202,9.28,-47.904,2.748
143,1438189991216,9.28,-47.904,2.748
144,1438189991236,9.28,-47.904,2.748
145,1438189991260,9.28,-47.904,2.748
146,1438189991278,9.28,-47.904,2.748
147,1438189991297,9.28,-47.904,2.748
148,1438189991316,9.28,-47.904,2.748
149,1438189991338,9.28,-47.904,2.748
150,1438189991359,9.28,-47.904,2.748
151,1438189991379,9.28,-47.904,2.748
152,1438189991399,9.28,-47.904,2.748
153,1438189991422,9.28,-47.904,2.748
154,1438189991437,9.28,-47.904,2.447
155,1438189991458,9.28,-47.904,2.447
156,1438189991478,9.28,-47.904,2.447
157,1438189991500,9.28,-47.904,2.447
158,1438189991521,9.28,-47.904,2.447
159,1438189991539,9.28,-47.904,2.447
160,1438189991558,9.28,-47.904,2.447
161,1438189991577,9.28,-47.904,2.447
162,1438189991596,9.28,-47.904,2.447
163,1438189991620,9.28,-47.904,2.447
164,1438189991640,9.28,-47.904,2.447
165,1438189991660,9.28,-47.904,2.447
166,1438189991679,9.28,-47.904,2.447
167,1438189991699,9.28,-47.904,2.447
168,1438189991759,9.28,-47.904,2.447
169,1438189991760,9.28,-47.904,2.447
170,1438189991761,9.28,-47.904,2.447
171,1438189991780,9.28,-47.904,2.447
172,1438189991797,9.28,-47.904,2.447
173,1438189991819,9.28,-47.904,2.447
174,1438189991839,9.28,-47.904,2.447
175,1438189991856,8.955,-47.904,2.447
176,1438189991877,8.955,-47.904,2.81
177,1438189991900,8.644,-47.904,2.81
178,1438189991920,8.644,-47.904,2.81
179,1438189991939,7.229,-47.904,3.224
180,1438189991960,5.838,-47.904,3.224
181,1438189991976,5.412,-47.904,3.224
182,1438189992001,4.87,-47.904,3.553
183,1438189992019,4.28,-47.904,3.553
184,1438189992036,4.28,-47.904,3.982
185,1438189992058,4.28,-47.904,3.982
186,1438189992077,4.28,-47.904,3.982
187,1438189992099,4.28,-47.904,3.982
188,1438189992121,5.122,-48.252,3.982
189,1438189992139,5.122,-48.252,4.325
190,1438189992159,5.453,-48.252,4.325
191,1438189992179,5.453,-48.252,4.325
192,1438189992197,5.453,-48.252,4.325
193,1438189992217,5.453,-48.252,4.325
194,1438189992238,5.453,-48.252,4.325
195,1438189992259,5.453,-48.252,4.325
196,1438189992277,6.246,-48.252,4.325
197,1438189992296,7.562,-48.252,4.325
198,1438189992317,8.734,-48.252,4.325
199,1438189992337,9.909,-48.252,4.325
200,1438189992358,10.449,-48.252,4.325
201,1438189992379,10.449,-48.252,4.325
202,1438189992399,10.946,-47.897,4.325
203,1438189992428,10.946,-47.897,4.325
204,1438189992437,10.946,-47.897,4.325
205,1438189992504,10.946,-47.897,4.325
206,1438189992505,10.946,-47.563,4.325
207,1438189992525,9.98,-47.563,4.325
208,1438189992526,9.98,-47.563,4.325
209,1438189992550,9.591,-47.563,4.325
210,1438189992561,9.591,-47.563,4.325
211,1438189992585,9.591,-47.563,4.325
212,1438189992600,9.591,-47.563,4.325
213,1438189992648,9.991,-47.232,4.025
214,1438189992649,9.991,-47.232,4.025
215,1438189992657,10.432,-47.232,4.025
216,1438189992679,10.432,-47.232,4.025
217,1438189992705,10.432,-47.232,3.671
218,1438189992719,10.432,-47.232,3.671
219,1438189992740,10.432,-47.232,3.671
220,1438189992760,10.432,-47.232,3.671
221,1438189992777,10.432,-47.232,3.671
222,1438189992799,10.432,-47.232,3.671
223,1438189992819,10.432,-47.232,3.671
224,1438189992837,10.432,-47.232,3.671
225,1438189992859,10.432,-47.232,3.671
226,1438189992879,10.432,-47.232,3.671
227,1438189992901,10.432,-47.232,3.979
228,1438189992921,10.432,-47.232,3.979
229,1438189992938,10.432,-47.232,3.979
230,1438189992960,10.432,-47.232,3.979
231,1438189992980,10.432,-47.232,3.979
232,1438189993004,10.432,-47.232,3.979
233,1438189993020,10.432,-47.232,3.979
234,1438189993049,10.432,-47.232,3.979
235,1438189993061,10.432,-47.232,3.979
236,1438189993081,10.432,-47.232,3.979
237,1438189993098,10.432,-47.232,3.979
238,1438189993120,10.432,-47.232,3.979
239,1438189993139,10.432,-47.232,3.979
240,1438189993160,10.432,-47.232,3.979
241,1438189993179,10.432,-47.232,3.979
242,1438189993198,10.432,-47.232,3.979
243,1438189993273,10.012,-47.232,3.979
244,1438189993274,10.012,-47.232,3.979
245,1438189993278,10.012,-47.232,3.979
246,1438189993279,10.012,-47.232,3.979
