id,attr_time,attr_lat,attr_lng
1,1436898153000,49.44987974,8.89841045
2,1436898164000,49.44987474,8.89839794
3,1436898196000,49.44986537,8.89838109
4,1436898246000,49.44987076,8.89838433
5,1436898251000,49.44987069,8.89838587
6,1436898267000,49.44986861,8.89838923
7,1436898270000,49.44986222,8.89839538
8,1436898282000,49.44985471,8.89842911
9,1436898292000,49.44982561,8.898406
10,1436898303000,49.44979337,8.89835351
11,1436898314000,49.44977642,8.89832474
12,1436898325000,49.44940901,8.89836435
13,1436898335000,49.44930379,8.89832112
14,1436898344000,49.44924855,8.89835022
15,1436898355000,49.44919568,8.89825784
16,1436898366000,49.44904856,8.89832909
17,1436898377000,49.44896963,8.89844305
18,1436898388000,49.44893965,8.89855131
19,1436898407000,49.44871698,8.89847752
20,1436898429000,49.44882474,8.89838635
21,1436898441000,49.44883876,8.8988124
22,1436898451000,49.44890392,8.8989952
23,1436898465000,49.44904674,8.89871625
24,1436898472000,49.449143,8.89864004
25,1436898485000,49.44907852,8.89907842
26,1436898492000,49.44910809,8.89899405
27,1436898505000,49.44911977,8.89896636
28,1436898515000,49.44909112,8.89899322
29,1436898525000,49.44906118,8.89906623
30,1436898535000,49.44905308,8.89916926
31,1436898546000,49.44904395,8.89922228
32,1436898556000,49.44904191,8.89925353
33,1436898567000,49.44898373,8.89942519
34,1436898588000,49.44867013,8.8997997
35,1436898600000,49.44881015,8.8997913
36,1436898610000,49.44893015,8.89977254
37,1436898630000,49.44879842,8.9001592
38,1436898649000,49.4488121,8.90014512
