id,attr_time,attr_lat,attr_lng
1,1436890991000,49.44887646,8.90013427
2,1436891011000,49.44879562,8.89992669
3,1436891021000,49.44884658,8.89968582
4,1436891041000,49.44889044,8.89987241
5,1436891052000,49.4489404,8.89965986
6,1436891062000,49.44886824,8.89960187
7,1436891073000,49.44887586,8.89955361
8,1436891083000,49.44885072,8.89941531
9,1436891093000,49.44888625,8.89936629
10,1436891103000,49.44892919,8.89944329
11,1436891114000,49.44894444,8.89935118
12,1436891124000,49.4490062,8.89920733
13,1436891133000,49.44896036,8.89916414
14,1436891144000,49.44893408,8.89912737
15,1436891154000,49.4489423,8.89909319
16,1436891165000,49.44898971,8.89909805
17,1436891175000,49.44898351,8.89909036
18,1436891185000,49.44890455,8.89901174
19,1436891195000,49.44889833,8.89878113
20,1436891206000,49.44881227,8.89875471
21,1436891216000,49.44879035,8.89878042
22,1436891226000,49.44877095,8.89882661
23,1436891236000,49.44868338,8.89877605
24,1436891247000,49.44867167,8.8987942
25,1436891257000,49.44865164,8.89842756
26,1436891267000,49.44868915,8.89843514
27,1436891278000,49.44890267,8.89831743
28,1436891288000,49.44888973,8.89838427
29,1436891298000,49.44897016,8.89841624
30,1436891308000,49.44896243,8.89851877
31,1436891318000,49.44905005,8.8986072
32,1436891328000,49.44904443,8.89835961
33,1436891339000,49.4490498,8.89826869
34,1436891349000,49.44916259,8.89826104
35,1436891359000,49.44916033,8.89827655
36,1436891370000,49.44926158,8.89811836
37,1436891380000,49.44930495,8.89822182
38,1436891390000,49.44935055,8.89823462
39,1436891400000,49.44944298,8.898359
40,1436891411000,49.44952472,8.89819934
41,1436891420000,49.44955572,8.89827074
42,1436891431000,49.44965153,8.89834331
43,1436891441000,49.44975993,8.89820813
44,1436891452000,49.44983061,8.89839587
45,1436891462000,49.44982471,8.89828479
46,1436891472000,49.44987916,8.89832903
47,1436891486000,49.44988422,8.89832897
48,1436891494000,49.44983538,8.89837995
49,1436891504000,49.44980116,8.89842633
50,1436891530000,49.44982776,8.89841052
51,1436891538000,49.44983099,8.89844983
52,1436891549000,49.44983321,8.89844819
53,1436891563000,49.44983322,8.8984482
54,1436891580000,49.44983677,8.89844599
55,1436891591000,49.44983691,8.89843297
56,1436891601000,49.4498401,8.89842305
