id,attr_time,attr_light
1,1436896020508,36.0
2,1436896020526,36.0
3,1436896020547,36.0
4,1436896020568,36.0
5,1436896020586,36.0
6,1436896020607,36.0
7,1436896020628,35.0
8,1436896020647,35.0
9,1436896020666,35.0
10,1436896020689,35.0
11,1436896020707,35.0
12,1436896020752,35.0
13,1436896020753,35.0
14,1436896020769,35.0
15,1436896020788,35.0
16,1436896020807,35.0
17,1436896020828,35.0
18,1436896020847,35.0
19,1436896020866,35.0
20,1436896020885,35.0
21,1436896020953,35.0
22,1436896020954,34.0
23,1436896020955,34.0
24,1436896020976,34.0
25,1436896020984,34.0
26,1436896021007,34.0
27,1436896021026,34.0
28,1436896021044,34.0
29,1436896021067,34.0
30,1436896021085,34.0
31,1436896021107,34.0
32,1436896021126,34.0
33,1436896021148,34.0
34,1436896021165,34.0
35,1436896021188,35.0
36,1436896021208,35.0
37,1436896021227,35.0
38,1436896021248,35.0
39,1436896021268,35.0
40,1436896021288,36.0
41,1436896021308,36.0
42,1436896021329,36.0
43,1436896021349,36.0
44,1436896021367,36.0
45,1436896021389,36.0
46,1436896021406,36.0
47,1436896021427,37.0
48,1436896021448,37.0
49,1436896021469,37.0
50,1436896021489,37.0
51,1436896021510,38.0
52,1436896021528,38.0
53,1436896021547,39.0
54,1436896021566,39.0
55,1436896021588,41.0
56,1436896021608,41.0
57,1436896021626,43.0
58,1436896021699,46.0
59,1436896021700,46.0
60,1436896021701,52.0
61,1436896021738,52.0
62,1436896021741,64.0
63,1436896021752,64.0
64,1436896021768,86.0
65,1436896021785,86.0
66,1436896021805,117.0
67,1436896021825,117.0
68,1436896021858,158.0
69,1436896021865,179.0
70,1436896021891,179.0
71,1436896021905,151.0
72,1436896021928,151.0
73,1436896021949,102.0
74,1436896021968,102.0
75,1436896021988,69.0
76,1436896022009,69.0
77,1436896022029,64.0
78,1436896022049,64.0
79,1436896022069,81.0
80,1436896022089,108.0
81,1436896022110,108.0
82,1436896022129,131.0
83,1436896022177,131.0
84,1436896022178,154.0
85,1436896022187,154.0
86,1436896022206,161.0
87,1436896022230,161.0
88,1436896022251,156.0
89,1436896022271,156.0
90,1436896022297,139.0
91,1436896022305,117.0
92,1436896022325,117.0
93,1436896022346,97.0
94,1436896022366,97.0
95,1436896022417,93.0
96,1436896022418,93.0
97,1436896022434,112.0
98,1436896022447,112.0
99,1436896022466,130.0
100,1436896022486,130.0
101,1436896022507,110.0
102,1436896022529,63.0
103,1436896022546,63.0
104,1436896022569,37.0
105,1436896022590,37.0
106,1436896022607,39.0
107,1436896022632,39.0
108,1436896022649,68.0
109,1436896022669,68.0
110,1436896022690,100.0
111,1436896022709,100.0
112,1436896022730,120.0
113,1436896022749,121.0
114,1436896022768,121.0
115,1436896022789,109.0
116,1436896022809,109.0
117,1436896022829,90.0
118,1436896022849,90.0
119,1436896022869,74.0
120,1436896022889,74.0
121,1436896022909,67.0
122,1436896022929,67.0
123,1436896022949,78.0
124,1436896022969,95.0
125,1436896022989,95.0
126,1436896023010,95.0
127,1436896023030,95.0
128,1436896023050,80.0
129,1436896023069,80.0
130,1436896023095,61.0
131,1436896023152,61.0
132,1436896023153,63.0
