id,attr_time,attr_x,attr_y,attr_z
1,1436896020507,-23.837,-36.892,13.179
2,1436896020526,-23.837,-36.892,13.179
3,1436896020546,-23.837,-36.892,13.179
4,1436896020567,-23.837,-36.892,13.179
5,1436896020586,-23.837,-36.892,13.179
6,1436896020607,-23.837,-36.892,13.179
7,1436896020625,-23.837,-36.892,13.179
8,1436896020647,-23.837,-36.892,13.179
9,1436896020665,-23.837,-36.892,13.179
10,1436896020688,-23.837,-36.892,13.179
11,1436896020706,-23.837,-36.892,13.179
12,1436896020738,-23.837,-36.892,13.179
13,1436896020753,-23.837,-36.892,13.179
14,1436896020769,-23.837,-36.892,13.179
15,1436896020787,-23.837,-36.892,13.179
16,1436896020807,-23.837,-36.892,13.179
17,1436896020827,-23.837,-36.892,13.179
18,1436896020846,-23.837,-36.892,13.179
19,1436896020865,-23.837,-36.892,13.179
20,1436896020884,-23.837,-36.892,13.179
21,1436896020905,-23.837,-36.892,13.179
22,1436896020956,-23.837,-36.892,13.179
23,1436896020957,-23.837,-36.892,13.179
24,1436896020975,-23.837,-36.892,13.179
25,1436896020984,-23.837,-36.892,13.179
26,1436896021006,-23.837,-36.892,13.179
27,1436896021025,-23.837,-36.892,13.179
28,1436896021044,-23.837,-36.892,13.179
29,1436896021066,-23.837,-36.892,13.179
30,1436896021084,-23.837,-36.892,13.179
31,1436896021106,-23.837,-36.892,13.179
32,1436896021125,-23.837,-36.892,13.179
33,1436896021147,-23.837,-36.892,13.179
34,1436896021164,-23.837,-36.892,13.179
35,1436896021187,-23.837,-36.892,13.179
36,1436896021208,-23.837,-36.892,13.179
37,1436896021227,-23.837,-36.892,13.179
38,1436896021247,-23.837,-36.892,13.179
39,1436896021268,-23.837,-36.892,13.179
40,1436896021288,-23.837,-36.892,13.179
41,1436896021307,-23.837,-36.892,13.179
42,1436896021328,-23.837,-36.892,13.179
43,1436896021347,-23.837,-36.892,13.179
44,1436896021367,-23.837,-36.892,13.179
45,1436896021388,-23.837,-36.892,13.179
46,1436896021405,-23.837,-36.892,13.179
47,1436896021426,-23.837,-36.892,13.179
