id,attr_time,attr_light
1,1436967792027,47.0
2,1436967792063,47.0
3,1436967792064,47.0
4,1436967792080,47.0
5,1436967792100,47.0
6,1436967792120,47.0
7,1436967792140,47.0
8,1436967792160,47.0
9,1436967792180,47.0
10,1436967792200,47.0
11,1436967792229,47.0
12,1436967792241,47.0
13,1436967792260,47.0
14,1436967792280,47.0
15,1436967792300,47.0
16,1436967792320,47.0
17,1436967792356,47.0
18,1436967792360,47.0
19,1436967792380,47.0
20,1436967792400,47.0
21,1436967792420,47.0
22,1436967792440,47.0
23,1436967792460,47.0
24,1436967792480,47.0
25,1436967792500,47.0
26,1436967792520,47.0
27,1436967792540,47.0
28,1436967792560,47.0
29,1436967792581,47.0
30,1436967792601,47.0
31,1436967792620,47.0
32,1436967792640,47.0
33,1436967792660,47.0
34,1436967792680,47.0
35,1436967792700,47.0
36,1436967792720,47.0
37,1436967792739,47.0
38,1436967792759,47.0
39,1436967792779,47.0
40,1436967792800,47.0
41,1436967792821,47.0
42,1436967792840,47.0
43,1436967792860,47.0
44,1436967792879,47.0
45,1436967792899,47.0
46,1436967792920,47.0
47,1436967792939,47.0
48,1436967792959,47.0
49,1436967792982,47.0
50,1436967793000,47.0
51,1436967793019,47.0
52,1436967793042,47.0
53,1436967793064,47.0
54,1436967793080,47.0
55,1436967793099,47.0
56,1436967793124,47.0
57,1436967793142,47.0
58,1436967793163,47.0
59,1436967793181,47.0
60,1436967793202,47.0
61,1436967793224,47.0
62,1436967793244,47.0
63,1436967793260,47.0
64,1436967793281,47.0
65,1436967793301,47.0
66,1436967793323,47.0
67,1436967793341,47.0
68,1436967793368,47.0
69,1436967793381,47.0
70,1436967793402,47.0
71,1436967793424,47.0
72,1436967793441,47.0
73,1436967793463,47.0
74,1436967793482,47.0
75,1436967793502,47.0
76,1436967793529,47.0
77,1436967793603,47.0
78,1436967793604,47.0
79,1436967793605,47.0
80,1436967793606,47.0
81,1436967793623,47.0
82,1436967793645,47.0
83,1436967793661,47.0
84,1436967793681,47.0
85,1436967793703,47.0
86,1436967793723,47.0
87,1436967793743,47.0
88,1436967793763,47.0
89,1436967793786,47.0
90,1436967793818,47.0
91,1436967793835,47.0
92,1436967793843,47.0
93,1436967793864,47.0
94,1436967793886,47.0
95,1436967793903,47.0
96,1436967793924,47.0
97,1436967793945,47.0
98,1436967793965,47.0
99,1436967793985,47.0
100,1436967794003,47.0
101,1436967794028,47.0
102,1436967794045,47.0
103,1436967794063,47.0
104,1436967794082,47.0
105,1436967794102,47.0
106,1436967794126,47.0
107,1436967794146,47.0
108,1436967794168,47.0
109,1436967794238,47.0
110,1436967794239,47.0
111,1436967794240,47.0
112,1436967794242,47.0
113,1436967794272,47.0
114,1436967794334,47.0
115,1436967794335,47.0
116,1436967794336,47.0
117,1436967794349,47.0
118,1436967794362,47.0
119,1436967794382,47.0
120,1436967794403,47.0
121,1436967794422,47.0
122,1436967794443,47.0
123,1436967794462,47.0
124,1436967794486,47.0
125,1436967794505,47.0
126,1436967794523,47.0
127,1436967794542,47.0
128,1436967794565,47.0
129,1436967794586,47.0
130,1436967794606,47.0
131,1436967794625,47.0
132,1436967794643,47.0
133,1436967794665,47.0
134,1436967794686,47.0
135,1436967794704,47.0
136,1436967794726,47.0
137,1436967794746,47.0
138,1436967794765,47.0
139,1436967794788,47.0
140,1436967794807,47.0
141,1436967794834,47.0
142,1436967794844,47.0
143,1436967794865,47.0
144,1436967794882,47.0
145,1436967794903,47.0
146,1436967794928,47.0
147,1436967794949,47.0
148,1436967794969,47.0
149,1436967794984,47.0
150,1436967795008,47.0
151,1436967795097,47.0
152,1436967795098,47.0
153,1436967795107,47.0
154,1436967795108,47.0
155,1436967795109,47.0
156,1436967795128,47.0
157,1436967795143,47.0
158,1436967795162,47.0
159,1436967795183,47.0
160,1436967795203,47.0
161,1436967795229,47.0
162,1436967795243,47.0
163,1436967795263,47.0
164,1436967795283,47.0
165,1436967795303,47.0
166,1436967795323,47.0
167,1436967795350,47.0
168,1436967795363,47.0
169,1436967795383,47.0
170,1436967795403,47.0
171,1436967795423,47.0
172,1436967795446,47.0
173,1436967795463,47.0
174,1436967795483,47.0
175,1436967795503,47.0
176,1436967795523,47.0
177,1436967795543,47.0
178,1436967795566,47.0
179,1436967795584,48.0
