id,attr_time,attr_x,attr_y,attr_z
1,1436967792024,-1.896,-47.171,3.396
2,1436967792053,-1.896,-47.171,3.396
3,1436967792063,-1.896,-47.171,3.396
4,1436967792081,-1.896,-47.171,3.396
5,1436967792109,-1.896,-47.171,3.396
6,1436967792126,-1.896,-47.171,3.396
7,1436967792146,-1.896,-47.171,3.396
8,1436967792161,-1.896,-47.171,3.396
9,1436967792181,-1.896,-47.171,3.396
10,1436967792236,-1.896,-47.171,3.396
11,1436967792252,-1.896,-47.171,3.396
12,1436967792253,-1.896,-47.171,3.396
13,1436967792261,-1.896,-47.171,3.396
14,1436967792290,-1.896,-47.171,3.396
15,1436967792302,-1.896,-47.171,3.396
16,1436967792323,-1.896,-46.859,3.396
17,1436967792343,-1.896,-46.859,3.396
18,1436967792362,-1.896,-46.859,3.396
19,1436967792383,-1.896,-46.859,3.396
20,1436967792403,-1.896,-46.859,3.396
21,1436967792422,-1.896,-46.859,3.396
22,1436967792442,-1.896,-46.859,3.396
23,1436967792463,-1.896,-46.859,3.396
24,1436967792485,-1.896,-46.859,3.396
25,1436967792504,-1.896,-46.859,3.396
26,1436967792524,-1.896,-46.859,3.396
27,1436967792544,-2.203,-46.859,3.752
28,1436967792565,-2.203,-46.859,3.752
29,1436967792585,-2.203,-46.859,3.752
30,1436967792604,-2.203,-46.859,3.752
31,1436967792626,-2.203,-46.859,3.752
32,1436967792642,-2.203,-46.859,4.086
33,1436967792666,-2.203,-46.859,4.086
34,1436967792682,-2.203,-46.859,4.086
35,1436967792703,-2.203,-46.859,4.086
36,1436967792722,-2.203,-46.859,4.086
37,1436967792746,-2.203,-46.859,4.086
38,1436967792766,-2.203,-46.859,4.086
39,1436967792786,-2.203,-46.859,4.086
40,1436967792805,-2.203,-46.859,4.086
41,1436967792822,-2.203,-46.859,4.086
42,1436967792843,-2.203,-46.859,4.086
43,1436967792863,-2.517,-46.859,4.386
44,1436967792883,-2.517,-46.859,4.386
45,1436967792905,-2.517,-46.859,4.386
46,1436967792948,-2.517,-46.859,4.386
47,1436967792949,-2.517,-46.859,4.386
48,1436967792966,-2.517,-46.859,4.386
49,1436967792983,-2.517,-46.859,4.386
50,1436967793003,-2.517,-46.859,4.386
51,1436967793021,-2.839,-46.859,4.386
52,1436967793046,-2.839,-46.859,4.386
53,1436967793065,-2.839,-46.859,4.386
54,1436967793082,-2.839,-46.859,4.386
55,1436967793102,-2.839,-46.859,4.386
56,1436967793122,-2.839,-46.859,4.386
57,1436967793142,-2.839,-46.859,4.386
58,1436967793162,-2.839,-46.859,4.386
59,1436967793197,-2.839,-46.859,4.386
60,1436967793202,-2.839,-46.859,4.386
61,1436967793222,-2.839,-46.859,4.386
62,1436967793242,-2.839,-46.859,4.386
63,1436967793262,-2.839,-46.859,4.386
64,1436967793282,-2.839,-46.859,4.386
65,1436967793302,-2.839,-46.859,4.386
66,1436967793322,-2.839,-46.859,4.386
67,1436967793342,-2.839,-46.859,4.386
68,1436967793364,-2.839,-46.859,4.386
69,1436967793382,-2.839,-46.859,4.386
70,1436967793404,-2.839,-46.859,4.386
71,1436967793424,-2.839,-46.859,4.386
72,1436967793442,-2.839,-46.859,4.386
73,1436967793462,-2.839,-46.859,4.386
74,1436967793482,-2.839,-46.859,4.705
75,1436967793502,-2.839,-46.859,4.705
76,1436967793524,-2.839,-46.859,4.705
77,1436967793543,-2.839,-46.859,4.705
78,1436967793563,-2.839,-46.859,4.705
79,1436967793583,-2.522,-46.859,4.705
80,1436967793603,-2.522,-46.859,4.705
81,1436967793623,-2.522,-46.859,4.705
82,1436967793642,-2.522,-46.859,4.705
83,1436967793666,-2.522,-46.859,4.705
84,1436967793682,-2.522,-46.859,4.705
85,1436967793702,-2.522,-46.859,4.705
86,1436967793721,-2.522,-46.859,4.705
87,1436967793741,-2.522,-46.859,4.705
88,1436967793763,-2.522,-46.859,4.705
89,1436967793781,-2.522,-46.859,5.044
90,1436967793803,-2.522,-46.859,5.044
91,1436967793826,-2.522,-46.859,5.044
92,1436967793846,-2.522,-46.859,5.044
93,1436967793866,-2.217,-46.859,5.044
94,1436967793884,-2.217,-46.859,5.044
95,1436967793903,-2.217,-46.859,5.044
96,1436967793926,-2.217,-46.859,5.044
97,1436967793946,-2.217,-46.859,5.044
98,1436967793966,-2.217,-46.859,5.044
99,1436967793985,-2.217,-46.859,5.397
100,1436967794004,-2.217,-46.859,5.397
101,1436967794024,-2.217,-46.859,5.397
102,1436967794045,-2.217,-46.859,5.397
103,1436967794066,-2.217,-46.859,5.397
104,1436967794084,-2.217,-46.859,5.397
105,1436967794105,-2.217,-46.859,5.397
106,1436967794126,-2.217,-46.859,5.726
107,1436967794145,-2.217,-46.859,5.726
108,1436967794166,-2.217,-46.859,5.726
109,1436967794186,-2.217,-46.859,5.726
110,1436967794205,-2.217,-46.859,5.726
111,1436967794226,-2.217,-46.859,5.726
112,1436967794243,-2.217,-46.859,5.726
113,1436967794264,-2.217,-46.859,5.726
114,1436967794293,-2.217,-46.859,5.726
115,1436967794363,-2.217,-46.859,5.726
116,1436967794364,-2.217,-46.859,5.726
117,1436967794365,-2.217,-46.859,6.039
118,1436967794366,-2.526,-46.859,6.039
119,1436967794384,-2.526,-46.859,6.039
120,1436967794405,-2.526,-46.859,6.039
121,1436967794424,-2.526,-46.859,6.039
122,1436967794444,-2.526,-46.859,6.039
123,1436967794465,-2.526,-46.859,6.039
124,1436967794484,-2.526,-46.859,6.039
125,1436967794504,-2.526,-46.859,6.039
126,1436967794524,-2.526,-46.859,6.039
127,1436967794544,-2.526,-46.859,6.039
128,1436967794565,-2.526,-46.859,6.039
129,1436967794586,-2.526,-46.859,6.039
130,1436967794606,-2.526,-46.859,6.039
131,1436967794626,-2.526,-46.859,6.039
132,1436967794644,-2.526,-46.859,6.039
133,1436967794665,-2.526,-46.859,6.039
134,1436967794687,-2.526,-46.859,6.039
135,1436967794707,-2.526,-46.859,6.039
136,1436967794727,-2.526,-46.859,6.039
137,1436967794746,-2.526,-46.859,6.039
138,1436967794764,-2.526,-46.859,6.039
139,1436967794787,-2.526,-46.859,6.039
140,1436967794804,-2.526,-46.859,6.039
141,1436967794824,-2.526,-46.859,6.039
142,1436967794844,-2.526,-46.859,6.039
143,1436967794867,-2.526,-46.859,6.039
144,1436967794888,-2.526,-46.859,6.039
145,1436967794908,-2.526,-46.859,6.039
146,1436967794925,-2.526,-46.859,6.039
147,1436967794944,-2.526,-46.859,6.039
148,1436967794963,-2.526,-46.859,6.039
149,1436967794985,-2.526,-46.859,6.039
150,1436967795004,-2.526,-46.859,6.039
151,1436967795098,-2.526,-46.859,6.039
152,1436967795099,-2.526,-46.859,6.039
153,1436967795100,-2.526,-46.859,6.039
154,1436967795110,-2.526,-46.859,6.039
155,1436967795111,-2.526,-46.859,6.039
156,1436967795124,-2.526,-46.859,6.039
157,1436967795145,-2.526,-46.859,6.359
