id,attr_time,attr_light
1,1436963023615,23.0
2,1436963023635,23.0
3,1436963023657,23.0
4,1436963023682,23.0
5,1436963023697,23.0
6,1436963023716,23.0
7,1436963023741,23.0
8,1436963023799,23.0
9,1436963023800,23.0
10,1436963023801,23.0
11,1436963023822,23.0
12,1436963023835,23.0
13,1436963023857,23.0
14,1436963023875,23.0
15,1436963023895,23.0
16,1436963023922,23.0
17,1436963023935,24.0
18,1436963023956,24.0
19,1436963023975,24.0
20,1436963023997,24.0
21,1436963024018,24.0
22,1436963024038,24.0
23,1436963024058,24.0
24,1436963024077,24.0
25,1436963024096,24.0
26,1436963024116,24.0
27,1436963024137,24.0
28,1436963024158,24.0
29,1436963024177,24.0
30,1436963024198,24.0
31,1436963024216,24.0
32,1436963024240,24.0
33,1436963024256,24.0
34,1436963024275,24.0
35,1436963024303,24.0
36,1436963024315,24.0
37,1436963024335,24.0
38,1436963024356,25.0
39,1436963024376,25.0
40,1436963024401,24.0
41,1436963024417,24.0
42,1436963024437,24.0
43,1436963024456,24.0
44,1436963024482,24.0
45,1436963024541,24.0
46,1436963024542,24.0
47,1436963024543,24.0
48,1436963024562,24.0
49,1436963024576,24.0
50,1436963024598,24.0
51,1436963024616,24.0
52,1436963024641,24.0
53,1436963024657,24.0
54,1436963024676,24.0
55,1436963024697,24.0
56,1436963024717,24.0
57,1436963024739,24.0
58,1436963024756,24.0
59,1436963024777,24.0
60,1436963024799,24.0
61,1436963024816,24.0
62,1436963024837,24.0
63,1436963024857,24.0
64,1436963024879,24.0
65,1436963024899,24.0
66,1436963024916,24.0
67,1436963024937,24.0
68,1436963024957,24.0
69,1436963024977,24.0
70,1436963024999,24.0
71,1436963025017,24.0
72,1436963025037,24.0
73,1436963025058,24.0
74,1436963025076,24.0
75,1436963025097,24.0
76,1436963025119,24.0
77,1436963025137,24.0
78,1436963025157,24.0
79,1436963025178,24.0
80,1436963025203,24.0
81,1436963025300,24.0
82,1436963025306,24.0
83,1436963025307,24.0
84,1436963025308,24.0
85,1436963025309,24.0
86,1436963025329,24.0
87,1436963025337,24.0
88,1436963025358,24.0
89,1436963025376,24.0
90,1436963025396,24.0
91,1436963025417,24.0
92,1436963025437,24.0
93,1436963025459,24.0
94,1436963025480,24.0
95,1436963025497,24.0
96,1436963025520,24.0
97,1436963025537,24.0
98,1436963025557,24.0
99,1436963025580,24.0
100,1436963025597,24.0
101,1436963025620,24.0
102,1436963025637,24.0
103,1436963025657,25.0
104,1436963025680,25.0
105,1436963025697,25.0
106,1436963025718,25.0
107,1436963025737,25.0
108,1436963025757,25.0
109,1436963025780,25.0
110,1436963025799,25.0
111,1436963025820,25.0
112,1436963025839,25.0
113,1436963025858,25.0
114,1436963025880,25.0
115,1436963025897,25.0
116,1436963025919,25.0
117,1436963025939,25.0
118,1436963025958,25.0
119,1436963025987,25.0
120,1436963026044,25.0
121,1436963026045,25.0
122,1436963026046,25.0
123,1436963026065,25.0
124,1436963026078,26.0
125,1436963026099,26.0
126,1436963026118,26.0
127,1436963026137,26.0
128,1436963026158,26.0
129,1436963026177,26.0
130,1436963026202,26.0
131,1436963026218,26.0
132,1436963026239,26.0
133,1436963026260,27.0
134,1436963026280,27.0
135,1436963026298,27.0
136,1436963026320,27.0
137,1436963026340,27.0
138,1436963026359,27.0
139,1436963026380,28.0
140,1436963026401,28.0
141,1436963026420,28.0
142,1436963026437,28.0
143,1436963026458,28.0
144,1436963026478,29.0
145,1436963026500,29.0
146,1436963026520,29.0
147,1436963026539,29.0
148,1436963026561,30.0
149,1436963026581,30.0
150,1436963026602,30.0
151,1436963026620,30.0
152,1436963026640,30.0
153,1436963026658,30.0
154,1436963026679,30.0
155,1436963026702,31.0
156,1436963026718,31.0
157,1436963026791,31.0
158,1436963026792,31.0
159,1436963026793,31.0
160,1436963026800,31.0
161,1436963026821,31.0
162,1436963026840,31.0
163,1436963026858,30.0
164,1436963026882,30.0
165,1436963026898,30.0
166,1436963026918,30.0
167,1436963026938,30.0
168,1436963026960,30.0
169,1436963026978,30.0
170,1436963027002,30.0
171,1436963027020,30.0
172,1436963027041,31.0
173,1436963027061,31.0
174,1436963027080,31.0
175,1436963027102,31.0
176,1436963027121,31.0
177,1436963027141,31.0
178,1436963027159,32.0
179,1436963027185,32.0
180,1436963027201,32.0
181,1436963027222,32.0
182,1436963027242,32.0
183,1436963027258,32.0
184,1436963027280,32.0
185,1436963027306,32.0
186,1436963027323,32.0
187,1436963027343,32.0
188,1436963027359,32.0
189,1436963027381,33.0
190,1436963027401,33.0
191,1436963027419,33.0
192,1436963027448,33.0
193,1436963027504,33.0
194,1436963027505,33.0
195,1436963027506,33.0
196,1436963027525,33.0
197,1436963027539,33.0
198,1436963027558,33.0
199,1436963027580,33.0
200,1436963027598,33.0
201,1436963027622,33.0
202,1436963027639,33.0
203,1436963027659,33.0
204,1436963027679,34.0
205,1436963027702,34.0
206,1436963027719,34.0
207,1436963027742,34.0
208,1436963027763,34.0
209,1436963027779,34.0
210,1436963027802,34.0
211,1436963027822,34.0
212,1436963027842,34.0
213,1436963027863,34.0
214,1436963027879,34.0
215,1436963027900,34.0
216,1436963027921,34.0
217,1436963027942,34.0
218,1436963027963,34.0
219,1436963027982,34.0
220,1436963028002,34.0
221,1436963028022,34.0
222,1436963028041,34.0
223,1436963028061,34.0
224,1436963028079,33.0
225,1436963028102,33.0
226,1436963028122,33.0
227,1436963028142,33.0
228,1436963028159,34.0
229,1436963028297,34.0
