id,attr_time,attr_light
1,1436970288142,541.0
2,1436970288162,541.0
3,1436970288182,541.0
4,1436970288199,541.0
5,1436970288222,543.0
6,1436970288241,543.0
7,1436970288262,544.0
8,1436970288282,544.0
9,1436970288302,545.0
10,1436970288322,545.0
11,1436970288342,546.0
12,1436970288361,547.0
13,1436970288382,547.0
14,1436970288402,547.0
15,1436970288422,547.0
16,1436970288442,547.0
17,1436970288466,547.0
18,1436970288531,546.0
19,1436970288532,546.0
20,1436970288533,546.0
21,1436970288541,546.0
22,1436970288560,546.0
23,1436970288592,546.0
24,1436970288599,547.0
25,1436970288619,547.0
26,1436970288649,546.0
27,1436970288666,546.0
28,1436970288679,546.0
29,1436970288702,546.0
30,1436970288722,546.0
31,1436970288739,546.0
32,1436970288761,546.0
33,1436970288780,546.0
34,1436970288802,546.0
35,1436970288822,547.0
36,1436970288842,547.0
37,1436970288862,548.0
38,1436970288880,548.0
39,1436970288903,548.0
40,1436970288923,548.0
41,1436970288943,548.0
42,1436970288963,548.0
43,1436970288983,548.0
44,1436970289000,549.0
45,1436970289020,549.0
46,1436970289042,549.0
47,1436970289062,549.0
48,1436970289082,549.0
49,1436970289101,549.0
50,1436970289119,550.0
51,1436970289139,550.0
52,1436970289161,550.0
53,1436970289182,550.0
54,1436970289203,551.0
55,1436970289271,553.0
56,1436970289272,553.0
57,1436970289273,553.0
58,1436970289281,553.0
59,1436970289301,554.0
60,1436970289321,554.0
61,1436970289340,556.0
62,1436970289360,556.0
63,1436970289382,556.0
64,1436970289402,556.0
65,1436970289420,556.0
66,1436970289445,556.0
67,1436970289463,555.0
68,1436970289483,555.0
69,1436970289501,554.0
70,1436970289523,555.0
71,1436970289543,555.0
72,1436970289563,556.0
73,1436970289583,556.0
74,1436970289600,558.0
75,1436970289623,558.0
76,1436970289643,559.0
77,1436970289662,559.0
78,1436970289684,560.0
79,1436970289704,560.0
80,1436970289723,560.0
81,1436970289743,560.0
82,1436970289763,559.0
83,1436970289785,559.0
84,1436970289802,557.0
85,1436970289822,557.0
86,1436970289844,557.0
87,1436970289864,557.0
88,1436970289884,557.0
89,1436970289904,557.0
90,1436970289927,557.0
91,1436970290000,558.0
92,1436970290001,558.0
93,1436970290002,558.0
94,1436970290003,558.0
95,1436970290021,558.0
96,1436970290043,558.0
97,1436970290060,557.0
98,1436970290089,556.0
99,1436970290100,556.0
100,1436970290121,555.0
101,1436970290146,555.0
102,1436970290160,555.0
103,1436970290180,555.0
104,1436970290200,556.0
105,1436970290223,556.0
106,1436970290243,557.0
107,1436970290263,557.0
108,1436970290284,557.0
109,1436970290304,557.0
110,1436970290321,557.0
111,1436970290344,557.0
112,1436970290364,557.0
113,1436970290384,556.0
114,1436970290404,556.0
115,1436970290422,555.0
116,1436970290441,555.0
117,1436970290461,555.0
118,1436970290486,555.0
119,1436970290506,555.0
120,1436970290527,555.0
121,1436970290543,555.0
122,1436970290561,555.0
123,1436970290581,556.0
124,1436970290601,556.0
125,1436970290621,557.0
126,1436970290643,557.0
127,1436970290715,558.0
128,1436970290716,558.0
129,1436970290717,558.0
130,1436970290724,558.0
131,1436970290742,558.0
132,1436970290763,559.0
133,1436970290781,559.0
134,1436970290801,559.0
135,1436970290826,559.0
136,1436970290841,558.0
137,1436970290865,558.0
138,1436970290884,557.0
139,1436970290902,557.0
140,1436970290923,556.0
141,1436970290941,556.0
142,1436970290964,555.0
143,1436970290984,556.0
144,1436970291005,556.0
145,1436970291024,556.0
146,1436970291043,556.0
147,1436970291063,556.0
148,1436970291085,556.0
149,1436970291103,555.0
150,1436970291122,555.0
151,1436970291144,554.0
152,1436970291162,554.0
153,1436970291181,554.0
154,1436970291203,554.0
155,1436970291224,553.0
156,1436970291249,551.0
157,1436970291264,551.0
158,1436970291285,551.0
159,1436970291302,551.0
160,1436970291323,550.0
161,1436970291343,550.0
162,1436970291362,550.0
163,1436970291386,550.0
164,1436970291446,549.0
165,1436970291455,549.0
166,1436970291456,548.0
167,1436970291473,548.0
168,1436970291482,547.0
169,1436970291507,547.0
170,1436970291522,546.0
171,1436970291543,547.0
172,1436970291562,547.0
173,1436970291582,547.0
174,1436970291604,547.0
175,1436970291624,547.0
176,1436970291643,547.0
177,1436970291663,546.0
178,1436970291684,546.0
179,1436970291705,546.0
180,1436970291725,546.0
181,1436970291745,545.0
182,1436970291762,545.0
183,1436970291783,544.0
184,1436970291804,544.0
185,1436970291825,544.0
186,1436970291843,543.0
187,1436970291864,543.0
188,1436970291883,542.0
189,1436970291904,542.0
190,1436970291925,539.0
191,1436970291945,539.0
192,1436970291964,538.0
193,1436970291983,538.0
194,1436970292005,536.0
195,1436970292026,536.0
196,1436970292046,534.0
197,1436970292067,534.0
198,1436970292084,533.0
199,1436970292104,531.0
200,1436970292132,531.0
201,1436970292189,527.0
202,1436970292190,527.0
203,1436970292191,522.0
204,1436970292215,522.0
205,1436970292239,514.0
206,1436970292243,514.0
207,1436970292263,501.0
208,1436970292286,501.0
209,1436970292302,483.0
210,1436970292323,483.0
211,1436970292347,464.0
212,1436970292364,464.0
213,1436970292384,440.0
214,1436970292403,415.0
215,1436970292426,415.0
216,1436970292446,402.0
217,1436970292463,402.0
218,1436970292483,395.0
219,1436970292504,395.0
220,1436970292525,402.0
221,1436970292546,402.0
222,1436970292566,421.0
223,1436970292585,421.0
224,1436970292604,445.0
225,1436970292624,445.0
226,1436970292646,462.0
227,1436970292666,462.0
228,1436970292686,461.0
229,1436970292705,457.0
230,1436970292726,457.0
231,1436970292756,448.0
232,1436970292763,448.0
233,1436970292805,427.0
234,1436970292806,427.0
235,1436970292823,395.0
236,1436970292843,395.0
237,1436970292863,365.0
238,1436970292883,365.0
239,1436970292903,331.0
240,1436970292951,331.0
241,1436970292952,315.0
242,1436970292969,327.0
243,1436970292983,327.0
244,1436970293003,357.0
245,1436970293023,357.0
246,1436970293043,392.0
247,1436970293071,392.0
248,1436970293083,419.0
249,1436970293103,419.0
250,1436970293123,427.0
251,1436970293145,427.0
252,1436970293163,431.0
253,1436970293185,431.0
254,1436970293204,430.0
255,1436970293234,430.0
256,1436970293262,422.0
257,1436970293280,392.0
258,1436970293283,392.0
259,1436970293303,364.0
260,1436970293323,364.0
261,1436970293343,333.0
262,1436970293363,333.0
263,1436970293383,311.0
264,1436970293403,311.0
265,1436970293423,328.0
266,1436970293444,328.0
267,1436970293463,364.0
268,1436970293483,364.0
269,1436970293503,398.0
270,1436970293523,398.0
271,1436970293544,423.0
272,1436970293563,437.0
273,1436970293584,437.0
274,1436970293608,436.0
275,1436970293637,436.0
276,1436970293648,434.0
277,1436970293663,434.0
278,1436970293684,427.0
279,1436970293703,427.0
280,1436970293723,407.0
281,1436970293746,407.0
282,1436970293763,371.0
283,1436970293788,371.0
284,1436970293806,343.0
285,1436970293823,311.0
286,1436970293845,311.0
287,1436970293863,301.0
288,1436970293885,301.0
289,1436970293904,323.0
290,1436970293924,323.0
291,1436970293944,368.0
292,1436970293967,368.0
293,1436970293984,414.0
294,1436970294008,414.0
295,1436970294026,442.0
296,1436970294046,442.0
297,1436970294066,453.0
298,1436970294087,453.0
299,1436970294106,454.0
300,1436970294125,454.0
301,1436970294144,454.0
302,1436970294164,445.0
303,1436970294188,445.0
304,1436970294206,427.0
305,1436970294224,427.0
306,1436970294244,388.0
307,1436970294264,388.0
308,1436970294284,351.0
309,1436970294306,351.0
310,1436970294324,324.0
311,1436970294344,324.0
312,1436970294364,308.0
313,1436970294387,308.0
314,1436970294404,329.0
315,1436970294425,374.0
316,1436970294445,374.0
317,1436970294467,425.0
318,1436970294487,425.0
319,1436970294505,460.0
320,1436970294527,460.0
321,1436970294546,472.0
322,1436970294567,472.0
323,1436970294588,470.0
324,1436970294609,470.0
325,1436970294628,467.0
326,1436970294647,467.0
327,1436970294665,459.0
328,1436970294685,444.0
329,1436970294707,444.0
330,1436970294726,410.0
331,1436970294745,410.0
332,1436970294767,369.0
333,1436970294788,369.0
334,1436970294807,337.0
335,1436970294826,337.0
336,1436970294846,311.0
337,1436970294865,311.0
338,1436970294887,314.0
339,1436970294907,314.0
340,1436970294925,350.0
341,1436970294987,350.0
342,1436970294998,408.0
343,1436970294999,458.0
344,1436970295008,458.0
345,1436970295030,472.0
346,1436970295068,472.0
347,1436970295069,469.0
348,1436970295112,469.0
349,1436970295113,463.0
350,1436970295155,463.0
351,1436970295156,453.0
352,1436970295169,453.0
353,1436970295189,440.0
354,1436970295207,440.0
355,1436970295228,412.0
356,1436970295249,412.0
357,1436970295265,374.0
358,1436970295285,347.0
359,1436970295305,347.0
360,1436970295329,315.0
361,1436970295349,315.0
362,1436970295366,308.0
363,1436970295389,308.0
364,1436970295405,325.0
365,1436970295433,325.0
366,1436970295447,364.0
367,1436970295465,364.0
368,1436970295488,409.0
369,1436970295509,409.0
370,1436970295528,430.0
371,1436970295546,430.0
372,1436970295567,427.0
373,1436970295585,418.0
374,1436970295607,418.0
375,1436970295628,407.0
376,1436970295649,407.0
377,1436970295670,390.0
378,1436970295691,390.0
379,1436970295764,371.0
380,1436970295766,371.0
381,1436970295767,333.0
382,1436970295768,333.0
383,1436970295792,299.0
384,1436970295813,299.0
385,1436970295826,276.0
386,1436970295846,261.0
387,1436970295876,261.0
388,1436970295887,284.0
389,1436970295911,284.0
390,1436970295929,325.0
391,1436970295947,325.0
392,1436970295969,364.0
393,1436970295986,364.0
394,1436970296009,381.0
395,1436970296029,381.0
396,1436970296047,379.0
397,1436970296069,379.0
398,1436970296091,370.0
399,1436970296109,370.0
400,1436970296134,359.0
401,1436970296170,345.0
402,1436970296171,345.0
403,1436970296223,333.0
404,1436970296224,333.0
405,1436970296228,310.0
406,1436970296246,310.0
407,1436970296342,291.0
408,1436970296343,291.0
409,1436970296344,274.0
410,1436970296345,274.0
411,1436970296357,255.0
412,1436970296366,255.0
413,1436970296386,270.0
414,1436970296406,270.0
415,1436970296426,312.0
416,1436970296471,363.0
417,1436970296472,363.0
418,1436970296491,400.0
419,1436970296506,400.0
420,1436970296526,412.0
421,1436970296546,412.0
422,1436970296566,417.0
423,1436970296587,417.0
424,1436970296608,420.0
425,1436970296627,420.0
426,1436970296648,413.0
427,1436970296681,413.0
428,1436970296704,402.0
429,1436970296706,377.0
430,1436970296726,377.0
431,1436970296746,332.0
432,1436970296766,332.0
433,1436970296786,307.0
434,1436970296806,307.0
435,1436970296828,278.0
436,1436970296848,278.0
437,1436970296896,267.0
438,1436970296897,267.0
439,1436970296907,293.0
440,1436970296929,293.0
441,1436970296948,346.0
442,1436970296969,346.0
443,1436970296990,395.0
444,1436970297009,408.0
445,1436970297027,408.0
446,1436970297047,403.0
447,1436970297067,403.0
448,1436970297087,397.0
449,1436970297130,397.0
450,1436970297131,384.0
451,1436970297150,384.0
452,1436970297167,367.0
453,1436970297187,367.0
454,1436970297207,349.0
455,1436970297227,349.0
456,1436970297247,312.0
457,1436970297267,312.0
458,1436970297287,284.0
459,1436970297307,262.0
460,1436970297339,262.0
461,1436970297347,243.0
462,1436970297367,243.0
463,1436970297387,263.0
464,1436970297407,263.0
465,1436970297427,311.0
466,1436970297450,311.0
467,1436970297472,362.0
468,1436970297489,362.0
469,1436970297508,386.0
470,1436970297531,386.0
471,1436970297551,386.0
472,1436970297571,387.0
473,1436970297591,387.0
474,1436970297612,382.0
475,1436970297630,382.0
476,1436970297650,372.0
477,1436970297670,372.0
478,1436970297691,358.0
479,1436970297711,358.0
480,1436970297731,333.0
481,1436970297748,333.0
482,1436970297771,297.0
483,1436970297802,297.0
484,1436970297809,277.0
485,1436970297836,277.0
486,1436970297849,257.0
487,1436970297870,252.0
488,1436970297891,252.0
489,1436970297909,274.0
490,1436970297928,274.0
491,1436970297951,314.0
492,1436970297971,314.0
493,1436970297991,354.0
494,1436970298013,354.0
495,1436970298030,373.0
496,1436970298051,373.0
497,1436970298071,374.0
498,1436970298091,374.0
499,1436970298111,371.0
500,1436970298129,371.0
501,1436970298149,367.0
502,1436970298171,365.0
503,1436970298192,365.0
504,1436970298209,358.0
505,1436970298231,358.0
506,1436970298248,322.0
507,1436970298274,322.0
508,1436970298294,288.0
509,1436970298314,288.0
510,1436970298333,257.0
511,1436970298349,257.0
512,1436970298369,240.0
513,1436970298390,240.0
514,1436970298409,253.0
515,1436970298515,286.0
516,1436970298516,286.0
517,1436970298517,323.0
518,1436970298518,323.0
519,1436970298519,339.0
520,1436970298531,339.0
521,1436970298563,337.0
522,1436970298569,337.0
523,1436970298592,332.0
524,1436970298609,332.0
525,1436970298629,323.0
526,1436970298651,323.0
527,1436970298670,307.0
528,1436970298692,307.0
529,1436970298709,291.0
530,1436970298732,268.0
531,1436970298751,268.0
532,1436970298772,247.0
533,1436970298792,247.0
534,1436970298812,233.0
535,1436970298831,233.0
536,1436970298849,219.0
537,1436970298872,219.0
538,1436970298890,228.0
539,1436970298912,228.0
540,1436970298932,265.0
541,1436970298952,265.0
542,1436970298972,315.0
543,1436970298992,315.0
544,1436970299012,342.0
545,1436970299032,343.0
546,1436970299053,343.0
547,1436970299072,349.0
548,1436970299092,349.0
549,1436970299112,350.0
550,1436970299130,350.0
551,1436970299159,340.0
552,1436970299231,340.0
553,1436970299247,326.0
554,1436970299248,326.0
555,1436970299250,303.0
556,1436970299251,303.0
557,1436970299271,275.0
558,1436970299297,275.0
559,1436970299311,255.0
560,1436970299332,230.0
561,1436970299351,230.0
562,1436970299371,237.0
563,1436970299392,237.0
564,1436970299413,258.0
565,1436970299432,258.0
566,1436970299453,273.0
567,1436970299471,273.0
568,1436970299493,284.0
569,1436970299514,284.0
570,1436970299533,286.0
571,1436970299553,286.0
572,1436970299573,280.0
573,1436970299593,275.0
574,1436970299613,275.0
575,1436970299633,270.0
576,1436970299650,270.0
577,1436970299674,264.0
578,1436970299692,264.0
579,1436970299712,254.0
580,1436970299733,254.0
581,1436970299753,235.0
582,1436970299773,235.0
583,1436970299798,219.0
584,1436970299813,219.0
585,1436970299833,204.0
586,1436970299853,204.0
587,1436970299873,189.0
588,1436970299890,189.0
589,1436970299910,189.0
590,1436970299998,203.0
591,1436970299999,203.0
592,1436970300000,228.0
593,1436970300001,228.0
594,1436970300014,251.0
595,1436970300030,251.0
596,1436970300059,257.0
597,1436970300070,257.0
598,1436970300090,250.0
599,1436970300110,250.0
600,1436970300130,246.0
601,1436970300150,246.0
602,1436970300170,245.0
603,1436970300190,242.0
604,1436970300213,242.0
605,1436970300236,228.0
606,1436970300253,228.0
607,1436970300270,209.0
608,1436970300290,209.0
609,1436970300310,188.0
610,1436970300334,188.0
611,1436970300353,174.0
612,1436970300373,174.0
613,1436970300391,180.0
614,1436970300413,180.0
615,1436970300434,191.0
616,1436970300454,210.0
617,1436970300474,210.0
618,1436970300490,229.0
619,1436970300512,229.0
620,1436970300533,232.0
621,1436970300553,232.0
622,1436970300574,229.0
623,1436970300593,229.0
624,1436970300614,228.0
625,1436970300633,228.0
626,1436970300658,226.0
627,1436970300716,226.0
628,1436970300717,226.0
629,1436970300718,226.0
630,1436970300741,221.0
631,1436970300751,207.0
632,1436970300776,207.0
633,1436970300791,191.0
634,1436970300811,191.0
635,1436970300832,169.0
636,1436970300851,169.0
637,1436970300873,162.0
638,1436970300892,162.0
639,1436970300913,172.0
640,1436970300933,172.0
641,1436970300954,196.0
642,1436970300974,196.0
643,1436970300994,218.0
644,1436970301014,218.0
645,1436970301034,218.0
646,1436970301054,212.0
647,1436970301074,212.0
648,1436970301094,210.0
649,1436970301113,210.0
650,1436970301132,207.0
651,1436970301154,207.0
652,1436970301172,202.0
653,1436970301192,202.0
654,1436970301213,194.0
655,1436970301235,194.0
656,1436970301255,180.0
657,1436970301275,180.0
658,1436970301295,166.0
659,1436970301311,149.0
660,1436970301331,149.0
661,1436970301351,150.0
662,1436970301373,150.0
663,1436970301394,166.0
664,1436970301462,166.0
665,1436970301463,192.0
666,1436970301464,192.0
667,1436970301472,213.0
668,1436970301492,213.0
669,1436970301519,221.0
670,1436970301532,221.0
671,1436970301552,221.0
672,1436970301572,221.0
673,1436970301592,221.0
674,1436970301615,220.0
675,1436970301632,220.0
676,1436970301653,217.0
677,1436970301675,217.0
678,1436970301695,206.0
679,1436970301716,206.0
680,1436970301734,187.0
681,1436970301755,187.0
682,1436970301775,175.0
683,1436970301795,175.0
684,1436970301813,164.0
685,1436970301833,164.0
686,1436970301853,164.0
687,1436970301873,164.0
688,1436970301895,175.0
689,1436970301915,194.0
690,1436970301933,194.0
691,1436970301954,212.0
692,1436970301975,212.0
693,1436970301995,219.0
694,1436970302015,219.0
695,1436970302033,227.0
696,1436970302053,227.0
697,1436970302073,237.0
698,1436970302093,237.0
699,1436970302113,241.0
700,1436970302133,241.0
701,1436970302196,240.0
702,1436970302197,229.0
703,1436970302198,229.0
704,1436970302213,209.0
705,1436970302238,209.0
706,1436970302254,193.0
707,1436970302272,193.0
708,1436970302292,173.0
709,1436970302313,173.0
710,1436970302334,165.0
711,1436970302353,165.0
712,1436970302374,171.0
713,1436970302393,171.0
714,1436970302413,194.0
715,1436970302432,194.0
716,1436970302454,226.0
717,1436970302476,245.0
718,1436970302496,245.0
719,1436970302513,252.0
720,1436970302533,252.0
721,1436970302553,255.0
722,1436970302574,255.0
723,1436970302593,257.0
724,1436970302616,257.0
725,1436970302635,255.0
726,1436970302654,255.0
727,1436970302676,249.0
728,1436970302695,249.0
729,1436970302716,237.0
730,1436970302737,237.0
731,1436970302754,223.0
732,1436970302776,210.0
733,1436970302793,210.0
734,1436970302813,202.0
735,1436970302833,202.0
736,1436970302853,206.0
737,1436970302916,206.0
738,1436970302917,216.0
739,1436970302918,216.0
740,1436970302935,228.0
741,1436970302958,228.0
742,1436970302973,241.0
743,1436970302994,241.0
744,1436970303015,246.0
745,1436970303036,246.0
746,1436970303053,248.0
747,1436970303073,253.0
748,1436970303096,253.0
749,1436970303115,256.0
750,1436970303134,256.0
751,1436970303153,252.0
752,1436970303174,252.0
753,1436970303196,239.0
754,1436970303216,239.0
755,1436970303236,216.0
756,1436970303254,216.0
757,1436970303273,195.0
758,1436970303300,195.0
759,1436970303314,168.0
760,1436970303337,147.0
761,1436970303355,147.0
762,1436970303374,145.0
763,1436970303397,145.0
764,1436970303416,158.0
765,1436970303436,158.0
766,1436970303460,177.0
767,1436970303474,177.0
768,1436970303497,190.0
769,1436970303517,190.0
770,1436970303534,193.0
771,1436970303554,193.0
772,1436970303574,196.0
773,1436970303644,196.0
774,1436970303645,192.0
775,1436970303646,189.0
776,1436970303653,189.0
777,1436970303675,185.0
778,1436970303694,185.0
779,1436970303714,174.0
780,1436970303734,174.0
781,1436970303754,155.0
782,1436970303774,155.0
783,1436970303795,135.0
784,1436970303815,135.0
785,1436970303834,120.0
