id,attr_time,attr_x,attr_y,attr_z
1,1436986568510,12.687,-4.411,14.495
2,1436986568531,12.687,-4.411,14.495
3,1436986568550,12.687,-4.411,14.495
4,1436986568570,12.687,-4.411,14.495
5,1436986568608,12.687,-4.411,14.495
6,1436986568611,12.384,-4.411,14.495
7,1436986568630,12.384,-4.411,14.495
8,1436986568650,12.384,-4.411,14.495
9,1436986568670,12.384,-4.411,14.495
10,1436986568690,12.384,-4.411,14.495
11,1436986568710,12.384,-4.411,14.495
12,1436986568730,12.384,-4.411,14.495
13,1436986568763,12.384,-4.411,14.495
14,1436986568773,12.384,-4.411,14.495
15,1436986568791,12.384,-4.411,14.495
16,1436986568810,12.384,-4.411,14.495
17,1436986568830,12.384,-4.411,14.495
18,1436986568850,12.384,-4.411,14.495
19,1436986568870,12.384,-4.411,14.495
20,1436986568890,12.384,-4.411,14.495
21,1436986568910,12.384,-4.411,14.495
22,1436986568930,12.384,-4.411,14.495
23,1436986568950,12.384,-4.411,14.495
24,1436986568970,12.384,-4.411,14.495
25,1436986568992,12.08,-4.411,14.813
26,1436986569010,12.08,-4.411,14.813
27,1436986569030,12.08,-4.411,14.813
28,1436986569050,12.08,-4.411,14.813
29,1436986569070,12.08,-4.73,14.813
30,1436986569090,12.08,-4.73,14.813
31,1436986569110,12.08,-4.73,14.813
32,1436986569131,12.08,-4.73,14.813
33,1436986569151,12.08,-4.73,14.813
34,1436986569172,12.08,-4.73,14.813
35,1436986569194,11.744,-4.73,14.813
36,1436986569215,11.744,-4.73,14.813
37,1436986569235,11.744,-5.064,14.813
38,1436986569255,11.744,-5.064,14.813
39,1436986569274,11.744,-5.064,15.13
40,1436986569295,11.744,-5.064,15.13
41,1436986569315,11.744,-5.064,15.13
42,1436986569335,11.744,-5.064,15.13
43,1436986569356,11.744,-5.064,15.13
44,1436986569373,11.744,-5.064,15.13
45,1436986569393,11.744,-5.064,15.13
46,1436986569415,11.744,-5.064,15.13
47,1436986569479,11.744,-5.064,15.13
48,1436986569480,11.744,-5.064,15.13
49,1436986569481,11.744,-5.064,15.441
50,1436986569491,11.744,-5.064,15.441
51,1436986569511,11.744,-5.064,15.441
52,1436986569531,11.744,-5.064,15.441
53,1436986569550,11.744,-5.064,15.441
54,1436986569571,11.744,-5.064,15.441
55,1436986569591,11.744,-5.064,15.441
56,1436986569614,11.744,-5.064,15.798
57,1436986569646,11.744,-5.064,15.798
58,1436986569651,11.744,-5.064,15.798
59,1436986569671,11.425,-5.064,15.798
60,1436986569691,11.425,-5.064,15.798
61,1436986569711,11.425,-5.064,15.798
62,1436986569731,11.425,-5.064,16.114
63,1436986569751,11.425,-5.064,16.114
64,1436986569771,11.425,-5.064,16.114
65,1436986569791,11.425,-5.064,16.114
66,1436986569811,11.425,-5.064,16.114
67,1436986569831,11.425,-5.064,16.114
68,1436986569851,11.425,-5.064,16.114
69,1436986569871,11.425,-5.064,16.419
70,1436986569891,11.425,-5.064,16.419
71,1436986569911,11.425,-4.73,16.419
72,1436986569931,11.125,-4.73,16.419
73,1436986569951,11.125,-4.73,16.419
74,1436986569971,11.125,-4.73,16.419
75,1436986569991,11.125,-4.412,16.419
76,1436986570028,11.125,-4.412,16.419
77,1436986570048,11.125,-4.412,16.419
78,1436986570054,11.125,-4.412,16.419
79,1436986570073,11.125,-4.107,16.419
80,1436986570093,11.125,-4.107,16.419
81,1436986570113,11.125,-4.107,16.419
82,1436986570136,11.125,-4.107,16.419
83,1436986570153,11.125,-4.107,16.419
84,1436986570173,11.125,-4.107,16.419
85,1436986570192,11.125,-3.773,16.419
86,1436986570217,11.125,-3.773,16.728
87,1436986570237,11.125,-3.773,16.728
88,1436986570257,11.125,-3.773,16.728
89,1436986570275,11.125,-3.773,16.728
90,1436986570293,11.125,-3.396,16.728
91,1436986570312,11.125,-3.396,16.728
92,1436986570332,11.125,-3.396,16.728
93,1436986570354,11.428,-3.396,16.728
94,1436986570372,11.428,-3.396,16.728
95,1436986570464,11.428,-3.039,16.728
96,1436986570465,11.428,-3.039,16.728
97,1436986570466,11.428,-3.039,16.728
98,1436986570467,11.428,-3.039,16.728
99,1436986570477,11.428,-3.039,16.728
100,1436986570492,11.428,-3.039,16.728
101,1436986570512,11.428,-3.039,16.728
102,1436986570532,11.428,-3.039,16.728
103,1436986570552,11.428,-3.039,16.424
104,1436986570572,11.428,-3.039,16.424
105,1436986570592,11.428,-3.039,16.424
106,1436986570612,11.428,-3.039,16.424
107,1436986570633,11.428,-3.039,16.424
108,1436986570652,11.428,-3.039,16.424
109,1436986570673,11.428,-3.039,16.424
110,1436986570694,11.428,-3.039,16.424
111,1436986570712,11.428,-3.039,16.424
112,1436986570732,11.73,-3.039,16.424
113,1436986570752,11.73,-3.355,16.424
114,1436986570772,11.73,-3.355,16.424
115,1436986570792,11.73,-3.355,16.424
116,1436986570812,11.73,-3.355,16.424
117,1436986570832,11.73,-3.355,16.424
118,1436986570852,11.73,-3.355,16.424
119,1436986570872,11.73,-3.355,16.424
120,1436986570892,11.73,-3.355,16.424
121,1436986570912,11.73,-3.355,16.424
122,1436986570932,11.73,-3.355,16.424
123,1436986570952,11.73,-3.355,16.424
124,1436986570972,11.73,-3.355,16.424
125,1436986570992,11.73,-3.355,16.424
126,1436986571012,11.73,-3.355,16.424
127,1436986571032,11.73,-3.355,16.424
128,1436986571058,11.73,-3.355,16.424
129,1436986571077,11.73,-3.355,16.424
130,1436986571093,11.73,-3.706,16.424
131,1436986571113,11.73,-3.706,16.424
132,1436986571137,11.73,-3.706,16.424
133,1436986571154,11.73,-3.706,16.424
134,1436986571174,11.73,-3.706,16.424
135,1436986571194,12.062,-4.069,16.424
136,1436986571218,12.062,-4.069,16.424
137,1436986571238,12.062,-4.069,16.424
138,1436986571258,12.062,-4.069,16.424
139,1436986571278,12.062,-4.069,16.424
140,1436986571294,12.062,-4.069,16.424
141,1436986571313,12.062,-4.069,16.424
142,1436986571333,12.062,-4.069,16.424
143,1436986571355,12.062,-4.069,16.424
144,1436986571476,12.062,-4.371,16.424
145,1436986571477,12.062,-4.371,16.732
146,1436986571478,12.062,-4.371,16.732
147,1436986571479,12.062,-4.371,16.732
148,1436986571480,12.062,-4.371,16.732
149,1436986571481,12.062,-4.371,16.732
150,1436986571514,12.062,-4.371,16.732
151,1436986571519,12.062,-4.371,16.732
152,1436986571533,12.062,-4.371,16.732
153,1436986571553,12.062,-4.371,16.732
154,1436986571573,12.062,-4.371,16.732
155,1436986571593,12.062,-4.371,16.732
156,1436986571613,12.062,-4.371,16.732
157,1436986571633,12.062,-4.371,16.732
158,1436986571653,12.062,-4.371,16.732
159,1436986571673,12.062,-4.371,16.732
160,1436986571693,12.062,-4.371,16.732
161,1436986571713,12.062,-4.371,16.732
162,1436986571733,12.062,-4.371,16.732
163,1436986571753,12.062,-4.371,16.732
164,1436986571773,12.062,-4.371,16.732
165,1436986571793,12.062,-4.371,16.732
