id,attr_time,attr_lat,attr_lng
1,1436977909000,49.44878331,8.9000851
2,1436977930000,49.44878792,8.90007083
3,1436977941000,49.44878795,8.90007079
4,1436977970000,49.44881418,8.90000434
5,1436977974000,49.4488142,8.90000431
6,1436977991000,49.44882715,8.89997152
7,1436977995000,49.44882706,8.89997171
8,1436978008000,49.44882891,8.89996479
9,1436978018000,49.44883226,8.89995713
10,1436978026000,49.44883242,8.89995678
11,1436978040000,49.44883608,8.89994175
12,1436978047000,49.44884183,8.89992333
13,1436978061000,49.44885207,8.89990778
14,1436978067000,49.44885207,8.89990777
15,1436978081000,49.44886311,8.89989504
16,1436978087000,49.44886312,8.89989502
17,1436978109000,49.44885335,8.89976644
18,1436978121000,49.44873574,8.89919226
19,1436978129000,49.44873553,8.89909316
20,1436978142000,49.44876329,8.89881751
21,1436978160000,49.44874103,8.89875229
22,1436978165000,49.44874105,8.89875228
23,1436978188000,49.44874211,8.89867554
24,1436978193000,49.44874205,8.89867636
25,1436978220000,49.44874403,8.89864696
26,1436978239000,49.44877433,8.89855338
27,1436978251000,49.44877439,8.8985534
28,1436978271000,49.44873913,8.89844903
29,1436978281000,49.44875551,8.89838393
30,1436978292000,49.4489242,8.89845082
31,1436978302000,49.44941081,8.89852634
32,1436978318000,49.44940519,8.89853149
33,1436978323000,49.44938232,8.89848607
34,1436978399000,49.44989277,8.89802598
35,1436978404000,49.44993394,8.89802137
36,1436978459000,49.45021082,8.89760399
37,1436978479000,49.45003475,8.8978307
