id,attr_time,attr_x,attr_y,attr_z
1,1436977877424,5.165,-42.433,-21.038
2,1436977877447,5.165,-42.433,-21.038
3,1436977877464,5.165,-42.433,-21.038
4,1436977877484,5.165,-42.433,-21.038
5,1436977877503,5.165,-42.433,-21.038
6,1436977877524,5.165,-42.433,-21.038
7,1436977877547,5.165,-42.433,-21.038
8,1436977877566,5.165,-42.433,-21.038
9,1436977877585,5.165,-42.433,-21.038
10,1436977877612,5.165,-42.433,-21.038
11,1436977877725,5.165,-42.433,-21.038
12,1436977877726,5.165,-42.433,-21.038
13,1436977877727,5.165,-42.433,-21.038
14,1436977877728,5.165,-42.433,-21.038
15,1436977877734,5.165,-42.433,-21.038
16,1436977877735,5.165,-42.433,-21.038
17,1436977877749,5.165,-42.433,-21.038
18,1436977877763,5.165,-42.433,-21.038
19,1436977877792,5.165,-42.433,-21.038
20,1436977877803,5.165,-42.433,-21.038
21,1436977877826,5.165,-42.433,-21.038
22,1436977877850,5.165,-42.433,-21.038
23,1436977877865,5.165,-42.433,-21.038
24,1436977877887,5.165,-42.433,-21.038
25,1436977877904,5.165,-42.433,-21.038
26,1436977877924,5.165,-42.433,-21.038
27,1436977877947,5.165,-42.433,-21.038
28,1436977877965,5.165,-42.433,-21.038
29,1436977877987,5.165,-42.433,-21.038
30,1436977878004,5.165,-42.433,-21.038
31,1436977878025,5.165,-42.433,-21.038
32,1436977878047,5.165,-42.433,-21.038
33,1436977878065,5.165,-42.433,-21.038
34,1436977878086,5.165,-42.433,-21.038
35,1436977878104,5.165,-42.433,-21.038
36,1436977878125,5.165,-42.433,-21.038
37,1436977878147,5.165,-42.433,-21.038
38,1436977878166,5.165,-42.433,-21.038
39,1436977878187,5.165,-42.433,-21.038
40,1436977878205,5.165,-42.433,-21.038
41,1436977878225,5.165,-42.433,-21.038
42,1436977878253,5.165,-42.433,-21.038
43,1436977878264,5.165,-42.433,-21.038
44,1436977878284,5.165,-42.433,-21.038
45,1436977878304,5.165,-42.433,-21.038
46,1436977878324,5.165,-42.433,-21.038
47,1436977878353,5.165,-42.433,-21.038
48,1436977878410,5.165,-42.433,-21.038
49,1436977878411,5.165,-42.433,-21.038
50,1436977878412,5.165,-42.433,-21.038
51,1436977878432,5.165,-42.433,-21.038
52,1436977878444,5.165,-42.433,-21.038
53,1436977878470,5.165,-42.433,-21.038
54,1436977878484,5.165,-42.433,-21.038
55,1436977878504,5.165,-42.433,-21.038
56,1436977878526,5.165,-42.433,-21.038
57,1436977878545,5.165,-42.433,-21.038
58,1436977878565,5.165,-42.433,-21.038
59,1436977878588,5.165,-42.433,-21.038
60,1436977878604,5.165,-42.433,-21.038
61,1436977878630,5.165,-42.433,-21.038
62,1436977878645,5.165,-42.433,-21.038
63,1436977878666,5.165,-42.433,-21.038
64,1436977878687,5.165,-42.433,-21.038
65,1436977878708,5.165,-42.433,-21.038
66,1436977878727,5.165,-42.433,-21.038
67,1436977878746,5.165,-42.433,-21.038
68,1436977878768,5.165,-42.433,-21.038
69,1436977878787,5.165,-42.433,-21.038
70,1436977878805,5.165,-42.433,-21.038
71,1436977878828,5.165,-42.433,-21.038
72,1436977878848,4.832,-42.433,-21.038
73,1436977878868,4.832,-42.433,-21.038
74,1436977878888,4.832,-42.433,-21.038
75,1436977878906,4.832,-42.433,-21.038
76,1436977878927,4.832,-42.433,-21.038
77,1436977878947,4.832,-42.433,-20.73
78,1436977878967,4.832,-42.433,-20.73
79,1436977878988,4.832,-42.433,-20.73
80,1436977879008,4.832,-42.433,-20.73
81,1436977879028,4.832,-42.433,-20.73
82,1436977879046,4.832,-42.433,-20.73
83,1436977879075,4.832,-42.433,-20.73
84,1436977879086,4.832,-42.433,-20.73
85,1436977879151,4.832,-42.433,-20.73
86,1436977879152,4.832,-42.433,-20.73
87,1436977879153,4.832,-42.433,-20.73
88,1436977879165,4.832,-42.433,-20.73
89,1436977879187,4.832,-42.433,-20.73
90,1436977879206,4.832,-42.433,-21.075
91,1436977879225,4.832,-42.433,-21.075
92,1436977879245,4.832,-42.433,-21.075
93,1436977879265,4.832,-42.433,-21.075
94,1436977879287,4.832,-42.433,-21.075
95,1436977879306,4.832,-42.433,-21.075
96,1436977879325,4.832,-42.433,-21.075
97,1436977879348,4.832,-42.433,-21.075
98,1436977879369,4.832,-42.433,-21.075
99,1436977879387,4.832,-42.433,-21.075
100,1436977879408,4.832,-42.433,-21.075
101,1436977879429,4.832,-42.433,-21.075
102,1436977879447,4.832,-42.433,-21.075
103,1436977879468,4.832,-42.433,-21.075
104,1436977879489,4.832,-42.433,-21.075
105,1436977879508,4.832,-42.433,-21.075
106,1436977879528,4.832,-42.433,-21.075
107,1436977879547,4.832,-42.433,-21.075
108,1436977879566,4.832,-42.433,-21.075
109,1436977879594,4.832,-42.433,-21.075
110,1436977879606,4.832,-42.433,-21.075
111,1436977879633,4.832,-42.433,-21.075
112,1436977879645,4.832,-42.433,-21.075
113,1436977879666,4.832,-42.433,-21.075
114,1436977879687,4.832,-42.433,-21.075
115,1436977879706,4.832,-42.433,-21.075
116,1436977879731,4.832,-42.433,-20.774
117,1436977879752,4.832,-42.433,-20.774
118,1436977879771,4.832,-42.433,-20.774
119,1436977879806,4.832,-42.433,-20.774
120,1436977879807,4.832,-42.433,-20.774
121,1436977879891,4.832,-42.433,-20.774
122,1436977879892,4.832,-42.433,-20.774
123,1436977879893,4.832,-42.433,-20.774
124,1436977879894,4.832,-42.433,-20.774
125,1436977879936,4.832,-42.433,-20.774
126,1436977879937,4.832,-42.433,-20.774
127,1436977879976,4.832,-42.433,-20.774
128,1436977879977,4.832,-42.433,-20.774
129,1436977879985,4.832,-42.433,-20.774
130,1436977880006,4.832,-42.433,-20.774
131,1436977880030,4.832,-42.433,-20.774
132,1436977880047,4.832,-42.433,-20.774
133,1436977880065,4.832,-42.433,-20.774
134,1436977880085,4.832,-42.433,-20.774
135,1436977880104,4.832,-42.433,-20.774
136,1436977880125,4.832,-42.433,-20.774
137,1436977880144,4.832,-42.433,-20.774
