id,attr_time,attr_x,attr_y,attr_z
1,1437142188030,23.7427,-17.3935,-23.7091
2,1437142188052,21.4661,-17.569,-22.8683
3,1437142188069,21.4661,-17.569,-22.8683
4,1437142188091,23.0423,-18.0969,-22.0276
5,1437142188110,22.6929,-16.6901,-22.0276
6,1437142188130,22.6929,-16.6901,-22.0276
7,1437142188149,23.0423,-16.3391,-24.0448
8,1437142188170,23.2178,-16.8655,-23.204
9,1437142188190,23.2178,-16.8655,-23.204
10,1437142188207,21.4661,-16.5146,-23.204
11,1437142188229,24.794,-17.0425,-21.6904
12,1437142188249,24.794,-17.0425,-21.6904
13,1437142188269,21.8155,-17.218,-22.5311
14,1437142188289,22.5174,-16.8655,-22.5311
15,1437142188308,22.5174,-16.8655,-22.5311
16,1437142188328,22.5174,-15.1077,-20.5139
17,1437142188347,24.0936,-15.2847,-23.0362
18,1437142188367,24.0936,-15.2847,-23.0362
19,1437142188387,23.5687,-17.569,-23.204
20,1437142188407,23.9182,-16.5146,-22.1954
21,1437142188427,23.9182,-16.5146,-22.1954
22,1437142188447,23.0423,-17.3935,-23.7091
23,1437142188466,24.2691,-15.1077,-23.5413
24,1437142188487,24.2691,-15.1077,-23.5413
25,1437142188506,21.991,-18.0969,-24.0448
26,1437142188524,21.991,-14.9323,-22.0276
27,1437142188546,21.991,-14.9323,-22.0276
28,1437142188564,21.4661,-17.569,-23.204
29,1437142188585,23.3932,-15.9866,-21.6904
30,1437142188605,23.3932,-15.9866,-21.6904
31,1437142188624,23.7427,-17.0425,-24.0448
32,1437142188648,24.2691,-16.1636,-23.204
33,1437142188661,24.2691,-16.1636,-23.204
34,1437142188680,22.3419,-18.4479,-22.7005
35,1437142188700,21.1151,-15.1077,-23.877
36,1437142188721,21.1151,-15.1077,-23.877
37,1437142188741,22.3419,-16.6901,-23.3734
38,1437142188761,23.0423,-16.3391,-21.019
39,1437142188781,23.0423,-16.3391,-21.019
40,1437142188800,23.0423,-19.5023,-21.6904
41,1437142188820,23.0423,-16.6901,-20.6818
42,1437142188840,23.0423,-16.6901,-20.6818
43,1437142188860,23.2178,-17.569,-23.204
44,1437142188879,23.0423,-17.0425,-20.3461
45,1437142188899,23.0423,-17.0425,-20.3461
46,1437142188919,21.8155,-17.218,-22.1954
47,1437142188938,22.8668,-17.218,-21.8597
48,1437142188958,22.8668,-17.218,-21.8597
49,1437142188978,22.6929,-17.3935,-24.0448
50,1437142188998,21.8155,-15.8112,-21.1868
51,1437142189017,21.8155,-15.8112,-21.1868
52,1437142189037,23.0423,-17.0425,-23.7091
53,1437142189056,23.3932,-16.6901,-23.0362
54,1437142189077,23.3932,-16.6901,-23.0362
55,1437142189096,23.2178,-16.8655,-21.8597
56,1437142189117,21.8155,-15.8112,-21.5225
57,1437142189136,21.8155,-15.8112,-21.5225
58,1437142189156,24.4446,-18.0969,-21.019
59,1437142189176,23.5687,-17.569,-22.1954
60,1437142189196,23.5687,-17.569,-22.1954
61,1437142189215,23.5687,-16.8655,-23.204
62,1437142189235,22.1664,-16.8655,-20.8496
63,1437142189254,22.1664,-16.8655,-20.8496
64,1437142189275,22.6929,-16.3391,-22.3633
65,1437142189294,22.8668,-14.7568,-22.1954
66,1437142189314,22.8668,-14.7568,-22.1954
67,1437142189333,21.991,-17.7444,-22.0276
68,1437142189353,22.3419,-16.3391,-22.7005
69,1437142189374,22.3419,-16.3391,-22.7005
70,1437142189393,23.0423,-17.0425,-23.0362
71,1437142189413,23.0423,-16.3391,-21.3547
72,1437142189432,23.0423,-16.3391,-21.3547
73,1437142189452,23.2178,-18.9758,-22.5311
74,1437142189472,23.7427,-15.6357,-22.7005
75,1437142189492,23.7427,-15.6357,-22.7005
76,1437142189512,23.9182,-15.8112,-23.204
77,1437142189531,23.7427,-18.4479,-22.0276
78,1437142189551,23.7427,-18.4479,-22.0276
79,1437142189571,22.8668,-17.9214,-22.1954
80,1437142189590,21.8155,-16.8655,-22.1954
81,1437142189610,21.8155,-16.8655,-22.1954
82,1437142189630,22.3419,-17.7444,-23.3734
83,1437142189649,23.3932,-16.6901,-21.6904
84,1437142189670,23.3932,-16.6901,-21.6904
85,1437142189689,22.8668,-18.2724,-21.5225
86,1437142189709,22.3419,-17.7444,-21.019
87,1437142189729,22.3419,-17.7444,-21.019
88,1437142189749,21.4661,-17.218,-22.1954
89,1437142189770,22.6929,-16.3391,-22.0276
90,1437142189788,22.6929,-16.3391,-22.0276
91,1437142189808,23.2178,-16.8655,-23.877
92,1437142189827,22.6929,-17.0425,-21.3547
93,1437142189847,22.6929,-17.0425,-21.3547
94,1437142189867,22.8668,-17.569,-22.8683
95,1437142189887,24.2691,-17.9214,-21.5225
96,1437142189907,24.2691,-17.9214,-21.5225
97,1437142189926,20.9396,-17.3935,-22.7005
98,1437142189947,21.6415,-17.0425,-21.3547
99,1437142189966,21.6415,-17.0425,-21.3547
100,1437142189986,22.5174,-17.569,-23.877
101,1437142190006,21.4661,-17.9214,-20.1782
102,1437142190026,21.4661,-17.9214,-20.1782
103,1437142190045,20.7657,-18.6234,-22.8683
104,1437142190065,21.991,-14.9323,-22.0276
105,1437142190085,21.991,-14.9323,-22.0276
106,1437142190105,23.5687,-18.9758,-24.5499
107,1437142190124,22.3419,-17.0425,-21.3547
108,1437142190143,22.3419,-17.0425,-21.3547
109,1437142190164,22.1664,-16.8655,-22.8683
110,1437142190184,23.0423,-15.9866,-22.0276
111,1437142190203,23.0423,-15.9866,-22.0276
112,1437142190223,21.991,-16.3391,-22.7005
113,1437142190243,20.7657,-16.8655,-21.8597
114,1437142190262,20.7657,-16.8655,-21.8597
115,1437142190282,21.6415,-17.7444,-22.0276
116,1437142190302,21.991,-15.9866,-22.7005
117,1437142190321,21.991,-15.9866,-22.7005
118,1437142190342,23.2178,-17.569,-21.8597
119,1437142190361,22.5174,-17.569,-22.5311
120,1437142190381,22.5174,-17.569,-22.5311
121,1437142190401,23.3932,-16.3391,-21.6904
122,1437142190421,23.3932,-15.9866,-23.0362
123,1437142190441,23.3932,-15.9866,-23.0362
124,1437142190460,21.6415,-17.3935,-22.0276
125,1437142190480,21.4661,-16.5146,-23.204
126,1437142190500,21.4661,-16.5146,-23.204
127,1437142190519,21.8155,-17.569,-24.5499
128,1437142190540,22.6929,-17.0425,-21.019
129,1437142190559,22.6929,-17.0425,-21.019
130,1437142190579,22.6929,-18.0969,-22.7005
131,1437142190599,24.0936,-17.3935,-22.0276
132,1437142190618,24.0936,-17.3935,-22.0276
133,1437142190638,23.3932,-17.7444,-23.0362
134,1437142190660,22.6929,-16.3391,-21.3547
135,1437142190680,22.6929,-16.3391,-21.3547
136,1437142190700,22.1664,-16.8655,-21.1868
137,1437142190719,23.3932,-16.6901,-21.3547
138,1437142190738,23.3932,-16.6901,-21.3547
139,1437142190758,21.6415,-18.0969,-21.019
140,1437142190775,22.6929,-15.2847,-22.0276
