id,attr_time,attr_light
1,1437227272039,18.0
2,1437227272040,18.0
3,1437227272041,18.0
4,1437227272048,18.0
5,1437227272065,18.0
6,1437227272088,18.0
7,1437227272106,18.0
8,1437227272127,18.0
9,1437227272145,18.0
10,1437227272167,18.0
11,1437227272186,18.0
12,1437227272208,18.0
13,1437227272229,18.0
14,1437227272248,18.0
15,1437227272268,18.0
16,1437227272288,18.0
17,1437227272308,18.0
18,1437227272328,18.0
19,1437227272348,18.0
20,1437227272368,18.0
21,1437227272388,18.0
22,1437227272408,18.0
23,1437227272429,18.0
24,1437227272448,18.0
25,1437227272469,18.0
26,1437227272489,18.0
27,1437227272509,18.0
28,1437227272528,18.0
29,1437227272548,18.0
30,1437227272568,18.0
31,1437227272589,18.0
32,1437227272609,18.0
33,1437227272629,18.0
34,1437227272647,18.0
35,1437227272760,18.0
36,1437227272761,18.0
37,1437227272762,18.0
38,1437227272763,18.0
39,1437227272764,18.0
40,1437227272788,18.0
41,1437227272789,18.0
42,1437227272811,18.0
43,1437227272826,18.0
44,1437227272847,18.0
45,1437227272874,18.0
46,1437227272885,18.0
47,1437227272908,18.0
48,1437227272926,18.0
49,1437227272949,18.0
50,1437227272969,18.0
51,1437227272988,18.0
52,1437227273009,18.0
53,1437227273029,18.0
54,1437227273049,18.0
55,1437227273069,18.0
56,1437227273089,18.0
57,1437227273109,18.0
58,1437227273131,18.0
59,1437227273146,18.0
60,1437227273171,18.0
61,1437227273188,18.0
62,1437227273207,18.0
63,1437227273227,18.0
64,1437227273252,18.0
65,1437227273272,18.0
66,1437227273293,18.0
67,1437227273309,18.0
68,1437227273328,18.0
69,1437227273348,18.0
70,1437227273368,18.0
71,1437227273389,18.0
72,1437227273412,18.0
73,1437227273478,18.0
74,1437227273479,18.0
75,1437227273480,18.0
76,1437227273487,18.0
77,1437227273516,18.0
78,1437227273530,18.0
79,1437227273546,18.0
80,1437227273567,18.0
81,1437227273587,18.0
82,1437227273608,18.0
83,1437227273638,18.0
84,1437227273647,18.0
85,1437227273672,18.0
86,1437227273694,18.0
87,1437227273708,18.0
88,1437227273728,18.0
89,1437227273749,18.0
90,1437227273770,18.0
91,1437227273790,18.0
92,1437227273810,18.0
93,1437227273830,18.0
94,1437227273850,18.0
95,1437227273873,18.0
96,1437227273890,18.0
97,1437227273910,18.0
98,1437227273936,18.0
99,1437227273947,18.0
100,1437227273967,18.0
101,1437227274044,18.0
102,1437227274045,18.0
103,1437227274049,18.0
104,1437227274050,18.0
105,1437227274067,18.0
106,1437227274088,18.0
107,1437227274108,18.0
108,1437227274128,18.0
109,1437227274200,18.0
110,1437227274201,18.0
111,1437227274202,18.0
112,1437227274219,18.0
113,1437227274228,19.0
114,1437227274247,19.0
115,1437227274270,19.0
116,1437227274287,19.0
117,1437227274312,19.0
118,1437227274328,19.0
119,1437227274349,19.0
120,1437227274368,19.0
121,1437227274389,19.0
122,1437227274408,19.0
123,1437227274428,19.0
124,1437227274480,19.0
125,1437227274481,19.0
126,1437227274489,19.0
127,1437227274510,19.0
128,1437227274530,19.0
129,1437227274550,19.0
130,1437227274571,19.0
131,1437227274590,19.0
132,1437227274609,19.0
133,1437227274628,19.0
134,1437227274648,19.0
135,1437227274670,19.0
136,1437227274696,19.0
137,1437227274709,19.0
138,1437227274728,19.0
139,1437227274749,19.0
140,1437227274774,19.0
141,1437227274791,19.0
142,1437227274809,19.0
143,1437227274848,19.0
144,1437227274849,19.0
145,1437227274868,19.0
146,1437227274887,19.0
147,1437227274922,19.0
148,1437227274932,19.0
149,1437227274948,19.0
150,1437227274968,19.0
151,1437227274988,19.0
152,1437227275008,19.0
153,1437227275028,19.0
154,1437227275061,19.0
155,1437227275078,19.0
156,1437227275088,19.0
157,1437227275108,19.0
158,1437227275128,19.0
159,1437227275150,19.0
160,1437227275171,19.0
161,1437227275191,19.0
162,1437227275211,19.0
163,1437227275231,19.0
164,1437227275251,19.0
165,1437227275271,19.0
166,1437227275291,19.0
167,1437227275311,19.0
168,1437227275332,19.0
169,1437227275348,19.0
170,1437227275371,19.0
171,1437227275391,19.0
172,1437227275410,19.0
173,1437227275431,19.0
174,1437227275451,19.0
175,1437227275472,19.0
176,1437227275491,19.0
177,1437227275512,19.0
178,1437227275531,19.0
179,1437227275552,19.0
180,1437227275572,19.0
181,1437227275592,19.0
182,1437227275613,19.0
183,1437227275758,19.0
184,1437227275759,19.0
185,1437227275760,19.0
186,1437227275761,19.0
187,1437227275762,19.0
188,1437227275763,19.0
189,1437227275764,19.0
190,1437227275769,19.0
191,1437227275789,19.0
192,1437227275809,19.0
193,1437227275830,19.0
194,1437227275848,19.0
195,1437227275871,19.0
196,1437227275893,19.0
197,1437227275910,19.0
198,1437227275932,19.0
199,1437227275949,19.0
200,1437227275969,19.0
201,1437227275989,19.0
202,1437227276010,19.0
203,1437227276031,19.0
204,1437227276051,19.0
205,1437227276072,19.0
206,1437227276092,19.0
207,1437227276112,19.0
208,1437227276130,19.0
209,1437227276152,19.0
210,1437227276171,19.0
211,1437227276191,19.0
212,1437227276212,19.0
213,1437227276231,19.0
214,1437227276249,19.0
215,1437227276272,19.0
216,1437227276290,19.0
217,1437227276311,19.0
218,1437227276332,19.0
219,1437227276350,19.0
220,1437227276371,19.0
221,1437227276398,19.0
222,1437227276461,19.0
223,1437227276462,19.0
224,1437227276463,19.0
225,1437227276470,19.0
226,1437227276497,19.0
227,1437227276510,19.0
228,1437227276530,19.0
229,1437227276551,19.0
230,1437227276570,19.0
231,1437227276591,19.0
232,1437227276610,19.0
233,1437227276631,19.0
234,1437227276652,19.0
235,1437227276670,19.0
236,1437227276694,20.0
237,1437227276710,20.0
238,1437227276733,20.0
239,1437227276751,20.0
240,1437227276771,20.0
241,1437227276793,20.0
242,1437227276813,20.0
243,1437227276832,20.0
244,1437227276851,20.0
245,1437227276873,19.0
246,1437227276892,19.0
247,1437227276912,19.0
248,1437227276929,19.0
249,1437227276952,19.0
250,1437227276973,19.0
251,1437227276994,19.0
252,1437227277013,19.0
253,1437227277033,19.0
254,1437227277050,19.0
255,1437227277071,19.0
256,1437227277091,19.0
257,1437227277157,19.0
258,1437227277158,19.0
259,1437227277159,19.0
260,1437227277178,19.0
261,1437227277190,19.0
262,1437227277210,20.0
263,1437227277230,20.0
264,1437227277250,21.0
265,1437227277271,21.0
