id,attr_time,attr_lat,attr_lng
1,1436170471000,49.44978534,8.89838349
2,1436170508000,49.44980099,8.89839016
3,1436170559000,49.44980037,8.89839138
4,1436170564000,49.44980036,8.89839139
5,1436170575000,49.4497926,8.89839539
6,1436170584000,49.44978718,8.89839245
7,1436170594000,49.44978492,8.89839477
8,1436170604000,49.449769,8.89839947
9,1436170614000,49.44975664,8.89840881
10,1436170624000,49.44973879,8.89838472
11,1436170635000,49.44973049,8.89838131
12,1436170645000,49.44925594,8.8983197
13,1436170656000,49.44919106,8.89826267
14,1436170667000,49.44923519,8.89831146
15,1436170677000,49.44910869,8.89850649
16,1436170687000,49.44900069,8.89841369
17,1436170700000,49.44890865,8.89840561
18,1436170708000,49.44894013,8.89831014
19,1436170719000,49.44888952,8.89834476
20,1436170727000,49.44863938,8.89853848
21,1436170737000,49.44867054,8.89869473
22,1436170747000,49.44876101,8.89866404
23,1436170758000,49.44879917,8.89878249
24,1436170769000,49.44892538,8.89885863
25,1436170779000,49.44897823,8.89901984
26,1436170789000,49.4490963,8.89893172
27,1436170810000,49.44909716,8.89921369
28,1436170819000,49.44902343,8.89926421
29,1436170829000,49.44903818,8.89928232
30,1436170840000,49.4490409,8.89929721
31,1436170852000,49.44902065,8.89931959
32,1436170862000,49.4490076,8.89937049
33,1436170871000,49.44900579,8.89936924
34,1436170890000,49.44899667,8.89944817
35,1436170902000,49.44899948,8.89946566
36,1436170912000,49.4489998,8.89947525
37,1436170937000,49.44898149,8.89954094
38,1436170958000,49.4489781,8.89954465
