id,attr_time,attr_light
1,1436170463027,4.0
2,1436170463048,4.0
3,1436170463068,4.0
4,1436170463088,4.0
5,1436170463107,4.0
6,1436170463127,4.0
7,1436170463146,4.0
8,1436170463168,4.0
9,1436170463231,4.0
10,1436170463232,4.0
11,1436170463233,4.0
12,1436170463245,4.0
13,1436170463267,4.0
14,1436170463285,4.0
15,1436170463305,4.0
16,1436170463333,4.0
17,1436170463345,4.0
18,1436170463366,4.0
19,1436170463391,4.0
20,1436170463406,4.0
21,1436170463425,4.0
22,1436170463445,4.0
23,1436170463468,4.0
24,1436170463488,4.0
25,1436170463508,4.0
26,1436170463527,4.0
27,1436170463548,4.0
28,1436170463572,4.0
29,1436170463587,4.0
30,1436170463606,4.0
31,1436170463638,4.0
32,1436170463647,4.0
33,1436170463667,4.0
34,1436170463687,4.0
35,1436170463719,4.0
36,1436170463734,4.0
37,1436170463864,4.0
38,1436170463865,4.0
39,1436170463866,4.0
40,1436170463867,4.0
41,1436170463868,4.0
42,1436170463869,4.0
43,1436170463870,4.0
44,1436170464189,4.0
45,1436170464190,4.0
46,1436170464191,4.0
47,1436170464192,4.0
48,1436170464193,4.0
49,1436170464194,4.0
50,1436170464195,4.0
51,1436170464196,4.0
52,1436170464197,4.0
53,1436170464198,4.0
54,1436170464199,4.0
55,1436170464200,4.0
56,1436170464201,4.0
57,1436170464202,4.0
58,1436170464203,4.0
59,1436170464204,4.0
60,1436170464211,4.0
61,1436170464227,4.0
62,1436170464248,4.0
63,1436170464269,4.0
64,1436170464289,4.0
65,1436170464309,4.0
66,1436170464327,4.0
67,1436170464349,4.0
68,1436170464369,4.0
69,1436170464389,4.0
70,1436170464408,4.0
71,1436170464430,4.0
72,1436170464448,4.0
73,1436170464468,4.0
74,1436170464489,4.0
75,1436170464509,4.0
76,1436170464529,4.0
77,1436170464549,4.0
78,1436170464568,4.0
79,1436170464594,4.0
80,1436170464660,4.0
81,1436170464661,4.0
82,1436170464662,4.0
83,1436170464670,4.0
84,1436170464686,4.0
85,1436170464706,4.0
86,1436170464726,4.0
87,1436170464751,4.0
88,1436170464768,4.0
89,1436170464788,4.0
90,1436170464808,4.0
91,1436170464826,4.0
92,1436170464847,4.0
93,1436170464870,4.0
94,1436170464890,4.0
95,1436170464910,4.0
96,1436170464930,4.0
97,1436170464949,4.0
98,1436170464967,4.0
99,1436170464990,4.0
100,1436170465010,4.0
101,1436170465030,4.0
102,1436170465049,4.0
103,1436170465069,4.0
104,1436170465090,4.0
105,1436170465110,4.0
106,1436170465130,4.0
107,1436170465147,4.0
108,1436170465169,4.0
109,1436170465189,4.0
110,1436170465210,4.0
111,1436170465230,4.0
112,1436170465250,4.0
113,1436170465267,4.0
114,1436170465288,4.0
115,1436170465307,4.0
116,1436170465331,4.0
117,1436170465382,4.0
118,1436170465383,4.0
119,1436170465396,4.0
120,1436170465407,4.0
121,1436170465429,4.0
122,1436170465447,4.0
123,1436170465467,4.0
124,1436170465489,4.0
125,1436170465508,4.0
126,1436170465528,4.0
127,1436170465549,4.0
128,1436170465568,4.0
129,1436170465589,4.0
130,1436170465609,4.0
131,1436170465630,4.0
132,1436170465650,4.0
133,1436170465670,4.0
134,1436170465690,4.0
135,1436170465710,4.0
136,1436170465730,4.0
137,1436170465749,4.0
138,1436170465770,4.0
139,1436170465789,4.0
140,1436170465809,4.0
141,1436170465831,4.0
142,1436170465851,4.0
143,1436170465870,4.0
144,1436170465889,4.0
145,1436170465910,4.0
146,1436170465930,4.0
147,1436170465951,4.0
148,1436170465971,4.0
149,1436170465991,4.0
150,1436170466007,4.0
151,1436170466029,4.0
152,1436170466056,4.0
153,1436170466113,4.0
154,1436170466116,4.0
155,1436170466117,4.0
156,1436170466132,4.0
157,1436170466149,4.0
158,1436170466175,4.0
159,1436170466188,4.0
160,1436170466208,4.0
161,1436170466229,4.0
162,1436170466249,4.0
163,1436170466270,4.0
164,1436170466289,4.0
165,1436170466308,4.0
166,1436170466329,4.0
167,1436170466351,4.0
168,1436170466371,4.0
169,1436170466391,4.0
170,1436170466411,4.0
171,1436170466431,4.0
172,1436170466451,4.0
173,1436170466468,4.0
174,1436170466488,4.0
175,1436170466508,4.0
176,1436170466529,4.0
177,1436170466549,4.0
178,1436170466569,4.0
179,1436170466591,4.0
180,1436170466611,4.0
181,1436170466629,4.0
182,1436170466650,4.0
183,1436170466670,4.0
184,1436170466690,4.0
185,1436170466711,4.0
186,1436170466731,4.0
187,1436170466748,4.0
188,1436170466770,4.0
189,1436170466789,4.0
190,1436170466853,4.0
191,1436170466854,4.0
192,1436170466855,4.0
193,1436170466871,4.0
194,1436170466888,4.0
195,1436170466908,4.0
196,1436170466928,4.0
197,1436170466948,4.0
198,1436170466969,4.0
199,1436170466991,4.0
200,1436170467010,4.0
201,1436170467029,4.0
202,1436170467050,4.0
203,1436170467072,4.0
204,1436170467092,4.0
205,1436170467112,4.0
206,1436170467132,4.0
207,1436170467152,4.0
208,1436170467172,4.0
209,1436170467192,4.0
210,1436170467212,4.0
211,1436170467232,4.0
212,1436170467249,4.0
213,1436170467271,4.0
214,1436170467292,4.0
215,1436170467311,4.0
216,1436170467331,4.0
217,1436170467350,4.0
218,1436170467371,4.0
219,1436170467392,4.0
220,1436170467412,4.0
221,1436170467430,4.0
222,1436170467452,4.0
223,1436170467469,4.0
224,1436170467492,4.0
225,1436170467511,4.0
226,1436170467531,4.0
227,1436170467582,4.0
228,1436170467583,4.0
229,1436170467596,4.0
230,1436170467610,4.0
231,1436170467629,4.0
232,1436170467651,4.0
233,1436170467671,4.0
234,1436170467692,4.0
235,1436170467710,4.0
236,1436170467730,4.0
237,1436170467750,4.0
238,1436170467772,4.0
239,1436170467789,4.0
240,1436170467810,4.0
241,1436170467859,4.0
242,1436170467860,4.0
243,1436170467872,4.0
244,1436170467892,4.0
245,1436170467911,4.0
246,1436170467933,4.0
247,1436170467953,4.0
248,1436170467970,4.0
249,1436170467989,4.0
250,1436170468013,4.0
251,1436170468030,4.0
252,1436170468052,4.0
253,1436170468069,4.0
254,1436170468092,4.0
255,1436170468113,4.0
256,1436170468132,4.0
257,1436170468153,4.0
258,1436170468172,4.0
259,1436170468192,4.0
260,1436170468210,4.0
261,1436170468231,4.0
262,1436170468253,4.0
263,1436170468305,4.0
264,1436170468307,4.0
265,1436170468312,4.0
266,1436170468332,4.0
267,1436170468350,4.0
268,1436170468370,4.0
269,1436170468390,4.0
270,1436170468410,4.0
271,1436170468431,4.0
272,1436170468451,4.0
273,1436170468483,4.0
274,1436170468492,4.0
275,1436170468513,4.0
276,1436170468541,4.0
277,1436170468552,4.0
278,1436170468582,4.0
279,1436170468590,4.0
280,1436170468610,4.0
281,1436170468630,4.0
282,1436170468655,4.0
283,1436170468670,4.0
284,1436170468690,4.0
285,1436170468710,4.0
286,1436170468730,4.0
287,1436170468750,4.0
288,1436170468772,4.0
289,1436170468792,4.0
290,1436170468812,4.0
291,1436170468830,4.0
292,1436170468850,4.0
293,1436170468870,4.0
294,1436170468890,4.0
295,1436170468910,4.0
296,1436170468935,4.0
297,1436170468954,4.0
298,1436170468971,4.0
299,1436170468990,4.0
300,1436170469015,4.0
301,1436170469030,4.0
302,1436170469049,4.0
303,1436170469069,4.0
304,1436170469089,4.0
305,1436170469109,4.0
306,1436170469129,4.0
307,1436170469149,4.0
308,1436170469169,4.0
309,1436170469189,4.0
310,1436170469210,4.0
311,1436170469229,4.0
312,1436170469249,4.0
313,1436170469269,4.0
314,1436170469289,4.0
315,1436170469309,4.0
316,1436170469330,4.0
317,1436170469350,4.0
318,1436170469370,4.0
319,1436170469390,4.0
320,1436170469410,4.0
321,1436170469434,4.0
322,1436170469453,4.0
323,1436170469470,4.0
324,1436170469490,4.0
325,1436170469514,4.0
326,1436170469530,4.0
327,1436170469554,4.0
328,1436170469571,4.0
329,1436170469597,4.0
330,1436170469633,4.0
331,1436170469635,4.0
332,1436170469650,4.0
333,1436170469671,4.0
334,1436170469690,4.0
335,1436170469715,4.0
336,1436170469734,4.0
337,1436170469751,4.0
338,1436170469771,4.0
339,1436170469792,4.0
340,1436170469815,4.0
341,1436170469836,4.0
342,1436170469855,4.0
343,1436170469875,4.0
344,1436170469896,4.0
345,1436170469914,4.0
346,1436170469935,4.0
347,1436170469955,4.0
348,1436170469974,4.0
349,1436170469994,4.0
350,1436170470013,4.0
351,1436170470032,4.0
352,1436170470054,4.0
353,1436170470074,4.0
354,1436170470094,4.0
355,1436170470115,4.0
356,1436170470135,4.0
357,1436170470155,4.0
358,1436170470175,4.0
359,1436170470195,4.0
360,1436170470215,4.0
361,1436170470235,4.0
362,1436170470255,4.0
363,1436170470274,4.0
364,1436170470332,4.0
365,1436170470333,4.0
366,1436170470336,4.0
367,1436170470357,4.0
368,1436170470373,4.0
369,1436170470396,4.0
370,1436170470413,4.0
371,1436170470432,4.0
372,1436170470453,4.0
373,1436170470473,4.0
374,1436170470493,4.0
375,1436170470512,4.0
376,1436170470538,4.0
377,1436170470555,4.0
378,1436170470574,4.0
379,1436170470594,4.0
380,1436170470613,4.0
381,1436170470637,4.0
382,1436170470653,4.0
383,1436170470675,4.0
384,1436170470695,4.0
385,1436170470715,4.0
386,1436170470735,4.0
387,1436170470752,4.0
388,1436170470775,4.0
389,1436170470796,4.0
390,1436170470816,4.0
391,1436170470836,4.0
392,1436170470855,4.0
393,1436170470875,4.0
394,1436170470894,4.0
395,1436170470915,4.0
396,1436170470937,4.0
397,1436170470956,4.0
398,1436170470976,4.0
399,1436170470994,4.0
400,1436170471015,4.0
401,1436170471070,4.0
402,1436170471071,4.0
403,1436170471083,4.0
404,1436170471094,4.0
405,1436170471121,4.0
406,1436170471134,4.0
407,1436170471152,4.0
408,1436170471174,4.0
409,1436170471192,4.0
410,1436170471216,4.0
411,1436170471236,4.0
412,1436170471253,4.0
413,1436170471272,4.0
414,1436170471296,4.0
415,1436170471316,4.0
416,1436170471336,4.0
417,1436170471355,4.0
418,1436170471376,4.0
419,1436170471396,4.0
420,1436170471416,4.0
421,1436170471436,4.0
422,1436170471455,4.0
423,1436170471474,4.0
424,1436170471495,4.0
425,1436170471516,4.0
426,1436170471537,4.0
427,1436170471557,4.0
428,1436170471573,4.0
429,1436170471594,4.0
430,1436170471613,4.0
431,1436170471635,4.0
432,1436170471661,4.0
433,1436170471677,3.0
434,1436170471696,3.0
435,1436170471713,3.0
436,1436170471733,3.0
437,1436170471806,3.0
438,1436170471807,3.0
439,1436170471808,3.0
440,1436170471814,3.0
441,1436170471835,3.0
442,1436170471854,3.0
443,1436170471873,3.0
444,1436170471898,3.0
445,1436170471914,3.0
446,1436170471935,3.0
447,1436170471954,3.0
448,1436170471974,3.0
449,1436170471995,3.0
450,1436170472016,3.0
451,1436170472036,3.0
452,1436170472079,3.0
453,1436170472080,3.0
454,1436170472114,3.0
455,1436170472115,3.0
456,1436170472133,3.0
457,1436170472155,3.0
458,1436170472175,3.0
459,1436170472202,3.0
460,1436170472216,3.0
461,1436170472236,3.0
462,1436170472256,4.0
463,1436170472276,4.0
464,1436170472295,5.0
465,1436170472317,5.0
466,1436170472336,6.0
467,1436170472357,6.0
468,1436170472377,6.0
469,1436170472397,7.0
470,1436170472417,7.0
471,1436170472435,7.0
472,1436170472461,7.0
473,1436170472528,6.0
474,1436170472529,6.0
475,1436170472530,4.0
476,1436170472537,4.0
477,1436170472556,5.0
478,1436170472578,5.0
479,1436170472596,5.0
480,1436170472614,4.0
481,1436170472637,4.0
482,1436170472656,2.0
483,1436170472674,2.0
484,1436170472698,2.0
485,1436170472718,2.0
486,1436170472735,2.0
487,1436170472789,2.0
488,1436170472790,3.0
489,1436170472799,3.0
490,1436170472814,2.0
491,1436170472891,2.0
492,1436170472892,2.0
493,1436170472893,2.0
494,1436170472897,2.0
495,1436170472915,1.0
496,1436170472935,1.0
497,1436170472956,1.0
498,1436170472978,1.0
499,1436170472998,1.0
500,1436170473018,1.0
501,1436170473037,1.0
502,1436170473056,1.0
503,1436170473074,1.0
504,1436170473094,1.0
505,1436170473115,1.0
506,1436170473136,1.0
507,1436170473158,1.0
508,1436170473176,1.0
509,1436170473194,1.0
510,1436170473223,1.0
511,1436170473240,1.0
512,1436170473256,1.0
513,1436170473274,1.0
514,1436170473296,1.0
515,1436170473317,1.0
516,1436170473334,1.0
517,1436170473355,1.0
518,1436170473378,1.0
519,1436170473398,1.0
520,1436170473418,1.0
521,1436170473435,1.0
522,1436170473458,1.0
523,1436170473478,1.0
524,1436170473498,1.0
525,1436170473519,1.0
526,1436170473537,1.0
527,1436170473559,1.0
528,1436170473576,1.0
529,1436170473597,1.0
530,1436170473618,1.0
531,1436170473638,1.0
532,1436170473657,1.0
533,1436170473677,1.0
534,1436170473698,1.0
535,1436170473718,2.0
536,1436170473741,2.0
537,1436170473758,2.0
538,1436170473778,2.0
539,1436170473797,2.0
540,1436170473817,2.0
541,1436170473836,3.0
542,1436170473857,3.0
543,1436170473917,2.0
544,1436170473918,2.0
545,1436170473919,2.0
546,1436170473936,1.0
547,1436170473957,1.0
548,1436170473975,1.0
549,1436170473996,1.0
550,1436170474017,1.0
551,1436170474037,1.0
552,1436170474057,0.0
553,1436170474077,0.0
554,1436170474097,0.0
555,1436170474119,0.0
556,1436170474139,0.0
557,1436170474159,0.0
558,1436170474179,0.0
559,1436170474199,0.0
560,1436170474219,0.0
561,1436170474239,0.0
562,1436170474259,0.0
563,1436170474279,0.0
564,1436170474298,0.0
565,1436170474316,0.0
566,1436170474339,0.0
567,1436170474357,0.0
568,1436170474376,0.0
569,1436170474397,0.0
570,1436170474420,0.0
571,1436170474440,0.0
572,1436170474460,0.0
573,1436170474479,0.0
574,1436170474497,0.0
575,1436170474516,0.0
576,1436170474537,0.0
577,1436170474558,0.0
578,1436170474576,0.0
579,1436170474665,0.0
580,1436170474666,0.0
581,1436170474667,0.0
582,1436170474668,0.0
583,1436170474682,0.0
584,1436170474706,0.0
585,1436170474716,0.0
586,1436170474736,0.0
587,1436170474769,0.0
588,1436170474786,1.0
589,1436170474796,1.0
590,1436170474816,3.0
591,1436170474837,3.0
592,1436170474859,3.0
593,1436170474879,3.0
594,1436170474899,2.0
595,1436170474919,2.0
596,1436170474939,2.0
597,1436170474960,2.0
598,1436170474979,2.0
599,1436170474999,6.0
600,1436170475019,6.0
601,1436170475039,34.0
602,1436170475056,34.0
603,1436170475079,90.0
604,1436170475099,90.0
605,1436170475119,131.0
606,1436170475139,131.0
607,1436170475159,154.0
608,1436170475180,162.0
609,1436170475200,162.0
610,1436170475220,167.0
611,1436170475239,167.0
612,1436170475260,209.0
613,1436170475280,209.0
614,1436170475299,252.0
615,1436170475324,252.0
616,1436170475380,292.0
617,1436170475381,292.0
618,1436170475383,316.0
619,1436170475400,319.0
620,1436170475417,319.0
621,1436170475439,316.0
622,1436170475457,316.0
623,1436170475477,316.0
624,1436170475498,316.0
625,1436170475518,313.0
626,1436170475538,313.0
627,1436170475558,312.0
628,1436170475578,312.0
629,1436170475599,312.0
630,1436170475620,314.0
631,1436170475640,314.0
632,1436170475660,313.0
633,1436170475680,313.0
634,1436170475700,299.0
635,1436170475720,299.0
636,1436170475738,272.0
637,1436170475759,272.0
638,1436170475779,243.0
639,1436170475797,243.0
640,1436170475817,220.0
641,1436170475837,206.0
642,1436170475859,206.0
643,1436170475879,196.0
644,1436170475898,196.0
645,1436170475919,209.0
646,1436170475940,209.0
647,1436170475959,200.0
648,1436170475979,200.0
649,1436170475999,137.0
650,1436170476020,137.0
651,1436170476040,91.0
652,1436170476064,70.0
653,1436170476124,70.0
654,1436170476125,53.0
655,1436170476126,53.0
656,1436170476141,37.0
657,1436170476158,37.0
658,1436170476179,19.0
659,1436170476197,19.0
660,1436170476217,6.0
661,1436170476239,6.0
662,1436170476259,2.0
663,1436170476279,1.0
664,1436170476299,1.0
665,1436170476318,1.0
666,1436170476338,1.0
667,1436170476361,1.0
668,1436170476381,1.0
669,1436170476401,1.0
670,1436170476421,1.0
671,1436170476438,1.0
672,1436170476459,1.0
673,1436170476481,0.0
674,1436170476501,0.0
675,1436170476521,0.0
676,1436170476539,0.0
677,1436170476561,0.0
678,1436170476581,0.0
679,1436170476601,0.0
680,1436170476621,0.0
681,1436170476639,0.0
682,1436170476660,0.0
683,1436170476681,0.0
684,1436170476701,0.0
685,1436170476721,0.0
686,1436170476739,0.0
687,1436170476758,0.0
688,1436170476778,0.0
689,1436170476798,0.0
690,1436170476863,0.0
691,1436170476864,0.0
692,1436170476865,0.0
693,1436170476881,0.0
694,1436170476898,0.0
695,1436170476918,0.0
696,1436170476938,0.0
697,1436170476958,0.0
698,1436170476979,0.0
699,1436170477000,0.0
700,1436170477020,0.0
701,1436170477041,0.0
702,1436170477060,0.0
703,1436170477081,0.0
704,1436170477101,0.0
705,1436170477121,0.0
706,1436170477141,0.0
707,1436170477161,0.0
708,1436170477182,0.0
709,1436170477199,0.0
710,1436170477221,0.0
711,1436170477242,0.0
712,1436170477259,0.0
713,1436170477280,0.0
714,1436170477302,0.0
715,1436170477318,0.0
716,1436170477338,0.0
717,1436170477358,0.0
718,1436170477379,0.0
719,1436170477405,0.0
720,1436170477419,0.0
721,1436170477440,0.0
722,1436170477459,0.0
723,1436170477479,0.0
724,1436170477499,0.0
725,1436170477519,0.0
726,1436170477543,0.0
727,1436170477601,0.0
728,1436170477602,0.0
729,1436170477603,0.0
730,1436170477621,0.0
731,1436170477639,0.0
732,1436170477661,0.0
733,1436170477679,0.0
734,1436170477705,0.0
735,1436170477720,0.0
736,1436170477740,0.0
737,1436170477761,0.0
738,1436170477780,0.0
739,1436170477800,0.0
740,1436170477821,0.0
741,1436170477865,0.0
742,1436170477866,0.0
743,1436170477879,0.0
744,1436170477900,0.0
745,1436170477920,0.0
746,1436170477940,0.0
747,1436170477962,0.0
748,1436170477980,0.0
749,1436170478002,0.0
750,1436170478021,0.0
751,1436170478040,0.0
752,1436170478062,0.0
753,1436170478082,0.0
754,1436170478100,0.0
755,1436170478122,0.0
756,1436170478142,0.0
757,1436170478162,0.0
758,1436170478182,0.0
759,1436170478201,0.0
760,1436170478223,0.0
761,1436170478241,0.0
762,1436170478260,0.0
763,1436170478291,0.0
764,1436170478301,0.0
765,1436170478350,0.0
766,1436170478351,0.0
767,1436170478367,0.0
768,1436170478379,0.0
769,1436170478401,0.0
770,1436170478421,0.0
771,1436170478439,0.0
772,1436170478462,0.0
773,1436170478479,0.0
774,1436170478502,0.0
775,1436170478521,0.0
776,1436170478540,0.0
777,1436170478559,0.0
778,1436170478582,0.0
779,1436170478603,0.0
780,1436170478622,0.0
781,1436170478643,0.0
782,1436170478663,0.0
783,1436170478682,0.0
784,1436170478703,0.0
