id,attr_time,attr_light
1,1436164600922,15.0
2,1436164600942,15.0
3,1436164600962,15.0
4,1436164600982,15.0
5,1436164600999,15.0
6,1436164601024,15.0
7,1436164601039,15.0
8,1436164601062,15.0
9,1436164601082,15.0
10,1436164601101,15.0
11,1436164601122,15.0
12,1436164601142,15.0
13,1436164601162,15.0
14,1436164601183,15.0
15,1436164601201,15.0
16,1436164601222,15.0
17,1436164601243,15.0
18,1436164601263,15.0
19,1436164601281,15.0
20,1436164601304,15.0
21,1436164601374,15.0
22,1436164601380,15.0
23,1436164601381,15.0
24,1436164601382,15.0
25,1436164601409,15.0
26,1436164601422,15.0
27,1436164601439,15.0
28,1436164601461,15.0
29,1436164601479,15.0
30,1436164601503,15.0
31,1436164601519,15.0
32,1436164601543,15.0
33,1436164601559,15.0
34,1436164603109,15.0
35,1436164603110,15.0
36,1436164603111,15.0
37,1436164603112,15.0
38,1436164603113,15.0
39,1436164603114,15.0
40,1436164603115,15.0
41,1436164603116,15.0
42,1436164603117,15.0
43,1436164603118,15.0
44,1436164603119,15.0
45,1436164603120,15.0
46,1436164603121,15.0
47,1436164603122,15.0
48,1436164603123,15.0
49,1436164603124,15.0
50,1436164603125,15.0
51,1436164603126,15.0
52,1436164603127,15.0
53,1436164603128,15.0
54,1436164603129,15.0
55,1436164603130,15.0
56,1436164603131,15.0
57,1436164603132,15.0
58,1436164603133,15.0
59,1436164603134,15.0
60,1436164603135,15.0
61,1436164603136,15.0
62,1436164603137,15.0
63,1436164603138,15.0
64,1436164603139,15.0
65,1436164603140,15.0
66,1436164603141,15.0
67,1436164603142,15.0
68,1436164603143,15.0
69,1436164603144,15.0
70,1436164603145,15.0
71,1436164603146,15.0
72,1436164603147,15.0
73,1436164603148,15.0
74,1436164603149,15.0
75,1436164603150,15.0
76,1436164603151,15.0
77,1436164603152,15.0
78,1436164603153,15.0
79,1436164603154,15.0
80,1436164603155,15.0
81,1436164603156,15.0
82,1436164603157,15.0
83,1436164603158,15.0
84,1436164603159,15.0
85,1436164603160,15.0
86,1436164603161,15.0
87,1436164603162,15.0
88,1436164603163,15.0
89,1436164603164,15.0
90,1436164603165,15.0
91,1436164603166,15.0
92,1436164603167,15.0
93,1436164603168,15.0
94,1436164603169,15.0
95,1436164603170,15.0
