id,attr_time,attr_lat,attr_lng
1,1436185164000,49.44976248,8.89812201
2,1436185175000,49.44977785,8.89814137
3,1436185196000,49.44978592,8.89815386
4,1436185200000,49.44978718,8.89815611
5,1436185211000,49.44978992,8.89816397
6,1436185220000,49.44984486,8.89825827
7,1436185254000,49.44977973,8.89842814
8,1436185273000,49.44972262,8.89852558
9,1436185284000,49.44970458,8.89841684
10,1436185294000,49.4496098,8.898388
11,1436185305000,49.44961381,8.89828486
12,1436185315000,49.44951621,8.89829334
13,1436185325000,49.4494119,8.89841087
14,1436185335000,49.44948649,8.89865777
15,1436185345000,49.44946191,8.89867028
16,1436185356000,49.44951757,8.89844885
17,1436185366000,49.44920705,8.89821944
18,1436185376000,49.44920185,8.89823543
19,1436185387000,49.44936624,8.89826518
20,1436185397000,49.44924146,8.89840361
21,1436185407000,49.44919154,8.8985755
22,1436185417000,49.44912688,8.89862322
23,1436185428000,49.44899442,8.89867738
24,1436185439000,49.44896571,8.89866052
25,1436185448000,49.44891801,8.89860064
26,1436185459000,49.44878181,8.89845395
27,1436185468000,49.44877644,8.89838842
28,1436185479000,49.44882619,8.89838651
29,1436185489000,49.44887299,8.89856205
30,1436185498000,49.44891698,8.89866312
31,1436185509000,49.44895918,8.89901033
32,1436185520000,49.44899886,8.89909102
33,1436185529000,49.44903716,8.89916437
34,1436185540000,49.44903488,8.89916207
35,1436185551000,49.44905167,8.89910976
36,1436185561000,49.44906294,8.89910231
37,1436185571000,49.44907801,8.89917483
38,1436185580000,49.4490878,8.89926104
39,1436185592000,49.44902151,8.89930938
40,1436185601000,49.44901864,8.8993145
41,1436185612000,49.44900934,8.89936939
42,1436185622000,49.44898983,8.89950054
43,1436185632000,49.44898147,8.89958922
44,1436185644000,49.44892698,8.89968792
45,1436185653000,49.44890881,8.89974326
46,1436185663000,49.4489399,8.89980669
47,1436185674000,49.44890656,8.89980568
48,1436185686000,49.44877713,8.89972478
49,1436185695000,49.44887892,8.89993147
50,1436185705000,49.44896836,8.89998952
