id,attr_time,attr_lat,attr_lng
1,1436179583000,49.44919746,8.90038635
2,1436179591000,49.44857909,8.89999509
3,1436179602000,49.44898887,8.89994506
4,1436179610000,49.44909897,8.89996262
5,1436179621000,49.44891412,8.89998005
6,1436179631000,49.44889849,8.89992763
7,1436179641000,49.44894815,8.89990214
8,1436179651000,49.44897334,8.89982343
9,1436179663000,49.44898505,8.89974548
10,1436179671000,49.44892311,8.89966092
11,1436179682000,49.44890463,8.89951367
12,1436179691000,49.4490063,8.89930698
13,1436179702000,49.44923931,8.8994115
14,1436179713000,49.44926261,8.89940757
15,1436179723000,49.44916605,8.89938041
16,1436179735000,49.44901291,8.89933974
17,1436179753000,49.44903437,8.89918698
18,1436179763000,49.44908052,8.89911003
19,1436179774000,49.4491115,8.89893034
20,1436179784000,49.44904118,8.89890836
21,1436179794000,49.44900248,8.89884227
22,1436179804000,49.44897886,8.89869772
23,1436179815000,49.44890667,8.89862051
24,1436179824000,49.4488143,8.89856998
25,1436179835000,49.44881192,8.89856914
26,1436179846000,49.44888241,8.89837662
27,1436179857000,49.44891104,8.89857361
28,1436179868000,49.44893704,8.89846904
29,1436179877000,49.44890466,8.89878587
30,1436179887000,49.44905385,8.89874521
31,1436179898000,49.44920071,8.89866874
32,1436179907000,49.4492182,8.8985685
33,1436179917000,49.44919447,8.89831897
34,1436179928000,49.449197,8.89830221
35,1436179937000,49.4491846,8.898293
36,1436179949000,49.44937662,8.89820044
37,1436179958000,49.44948393,8.89822956
38,1436179968000,49.44950974,8.89849495
39,1436179978000,49.44960753,8.89847294
40,1436179988000,49.44967942,8.89844149
41,1436179999000,49.44971441,8.89841271
42,1436180011000,49.44981491,8.89835519
43,1436180019000,49.44989403,8.89835544
44,1436180042000,49.45002139,8.8980864
45,1436180070000,49.4497509,8.89843436
46,1436180074000,49.44970373,8.8983202
47,1436180100000,49.44988066,8.89851501
48,1436180113000,49.44992084,8.89845307
49,1436180151000,49.44992651,8.8984544
50,1436180155000,49.44991813,8.89843086
