id,attr_time,attr_x,attr_y,attr_z
1,1.43618E+12,-0.38307226,-9.993398,1.1935096
2,1.43618E+12,-0.33638534,-9.996989,1.1887212
3,1.43618E+12,-0.30047232,-10.009559,1.1839328
4,1.43618E+12,-0.2885013,-10.029311,1.2246342
5,1.43618E+12,-0.32142156,-10.0269165,1.2635399
6,1.43618E+12,-0.39863458,-10.111312,1.2593501
7,1.43618E+12,-0.40761283,-10.161591,1.270124
8,1.43618E+12,-0.36152446,-10.103531,1.2551602
9,1.43618E+12,-0.29149407,-10.065823,1.1785458
10,1.43618E+12,-0.26515785,-10.022128,1.1378443
11,1.43618E+12,-0.33518824,-10.038289,1.1474211
12,1.43618E+12,-0.38187516,-9.993997,1.1324574
13,1.43618E+12,-0.36272156,-9.972448,1.1857284
14,1.43618E+12,-0.40282443,-10.015544,1.3132197
15,1.43618E+12,-0.427365,-10.108918,1.3497312
16,1.43618E+12,-0.3878607,-10.123283,1.2228385
17,1.43618E+12,-0.33758244,-10.053253,1.1354501
18,1.43618E+12,-0.33638534,-10.076596,1.2449849
19,1.43618E+12,-0.37469256,-10.035895,1.1976994
20,1.43618E+12,-0.41958386,-9.98442,1.1540052
21,1.43618E+12,-0.4261679,-10.03769,1.1953052
22,1.43618E+12,-0.42197806,-10.049662,1.2431892
23,1.43618E+12,-0.37588966,-10.06283,1.2605472
24,1.43618E+12,-0.30047232,-10.07121,1.2431892
25,1.43618E+12,-0.25079262,-10.039486,1.2671312
26,1.43618E+12,-0.2873042,-10.034698,1.246182
27,1.43618E+12,-0.30526072,-10.031107,1.2210429
28,1.43618E+12,-0.30526072,-9.968858,1.18094
29,1.43618E+12,-0.32561144,-9.973646,1.1773487
30,1.43618E+12,-0.320823,-9.988609,1.2126632
31,1.43618E+12,-0.29688102,-10.030508,1.2683283
32,1.43618E+12,-0.272939,-10.080787,1.2946646
33,1.43618E+12,-0.24181437,-10.125079,1.2934675
34,1.43618E+12,-0.2645593,-10.1143055,1.3126211
35,1.43618E+12,-0.2765303,-10.1143055,1.2785037
36,1.43618E+12,-0.28790274,-10.038888,1.2066777
37,1.43618E+12,-0.29568392,-9.989208,1.1845313
38,1.43618E+12,-0.36032736,-9.985018,1.1701661
39,1.43618E+12,-0.36990416,-10.011953,1.2090719
40,1.43618E+12,-0.30825347,-10.015544,1.3162124
41,1.43618E+12,-0.17657238,-10.1065235,1.3485341
42,1.43618E+12,-0.24899697,-10.139444,1.3108255
43,1.43618E+12,-0.43155485,-10.020931,1.2054806
44,1.43618E+12,-0.45429978,-10.046669,1.2443863
45,1.43618E+12,-0.41479546,-10.028113,1.2593501
46,1.43618E+12,-0.32441434,-9.988609,1.22224
47,1.43618E+12,-0.26994625,-10.012551,1.2228385
48,1.43618E+12,-0.30825347,-10.052056,1.2431892
49,1.43618E+12,-0.36152446,-10.040085,1.2431892
50,1.43618E+12,-0.36391866,-10.053253,1.2431892
51,1.43618E+12,-0.35673606,-10.029311,1.1791444
52,1.43618E+12,-0.38965634,-10.022727,1.1432313
53,1.43618E+12,-0.45130703,-10.011953,1.1450269
54,1.43618E+12,-0.4177882,-9.988609,1.1366472
55,1.43618E+12,-0.3842694,-9.999383,1.1815386
56,1.43618E+12,-0.36750996,-10.019734,1.2258313
57,1.43618E+12,-0.350152,-10.078991,1.2180501
58,1.43618E+12,-0.33997664,-10.118495,1.1911154
59,1.43618E+12,-0.35673606,-10.119692,1.2126632
60,1.43618E+12,-0.3196259,-10.093954,1.2270284
61,1.43618E+12,-0.26036942,-10.053253,1.1641805
62,1.43618E+12,-0.24839842,-10.028712,1.1150994
63,1.43618E+12,-0.24420857,-10.028113,1.1264719
64,1.43618E+12,-0.24899697,-10.001778,1.1468226
65,1.43618E+12,-0.25079262,-9.968259,1.1833342
66,1.43618E+12,-0.23104046,-10.056246,1.2856863
67,1.43618E+12,-0.22625206,-10.129269,1.3359646
68,1.43618E+12,-0.23463176,-10.093954,1.210269
69,1.43618E+12,-0.27952304,-10.042479,1.1875241
70,1.43618E+12,-0.2896984,-10.110714,1.2467805
71,1.43618E+12,-0.2657564,-10.123283,1.1953052
72,1.43618E+12,-0.27712885,-10.096349,1.1492168
73,1.43618E+12,-0.34955344,-10.080188,1.1749545
74,1.43618E+12,-0.3549404,-10.072407,1.1647792
75,1.43618E+12,-0.25198972,-10.086772,1.1067197
76,1.43618E+12,-0.2681506,-10.034698,1.0959458
77,1.43618E+12,-0.31663316,-10.020332,1.1240777
78,1.43618E+12,-0.29149407,-10.009559,1.13964
79,1.43618E+12,-0.29328972,-10.013748,1.1085154
80,1.43618E+12,-0.31244332,-10.055049,1.110311
81,1.43618E+12,-0.32441434,-10.061633,1.1270704
82,1.43618E+12,-0.36391866,-10.057443,1.158195
83,1.43618E+12,-0.35075054,-10.068815,1.1593921
84,1.43618E+12,-0.3405752,-10.086173,1.1773487
85,1.43618E+12,-0.30406362,-10.096349,1.1354501
86,1.43618E+12,-0.25797522,-10.029909,1.1336545
87,1.43618E+12,-0.2777274,-10.003573,1.1240777
88,1.43618E+12,-0.2705448,-9.977836,1.1067197
89,1.43618E+12,-0.260968,-9.943718,1.0827777
90,1.43618E+12,-0.26036942,-9.973047,1.186327
91,1.43618E+12,-0.27712885,-10.041881,1.2497733
92,1.43618E+12,-0.30466217,-10.123283,1.1881226
93,1.43618E+12,-0.2908955,-10.081984,1.1079168
94,1.43618E+12,-0.2693477,-10.103531,1.1330559
95,1.43618E+12,-0.25378537,-10.142437,1.2294226
96,1.43618E+12,-0.27832595,-10.131064,1.2126632
97,1.43618E+12,-0.36272156,-10.119692,1.1881226
98,1.43618E+12,-0.40880993,-10.164583,1.1563994
99,1.43618E+12,-0.35314476,-10.169372,1.163582
100,1.43618E+12,-0.2885013,-10.1143055,1.1773487
101,1.43618E+12,-0.2837129,-10.056845,1.1971009
102,1.43618E+12,-0.29388827,-10.058042,1.158195
103,1.43618E+12,-0.25139117,-10.059837,1.13964
104,1.43618E+12,-0.27234045,-10.049662,1.1498153
105,1.43618E+12,-0.3274071,-10.020931,1.1659763
106,1.43618E+12,-0.25977087,-10.040684,1.1647792
107,1.43618E+12,-0.16519992,-10.056845,1.1522095
108,1.43618E+12,-0.17118542,-10.142437,1.1139023
109,1.43618E+12,-0.23882163,-10.151415,1.1067197
110,1.43618E+12,-0.32202014,-10.109517,1.0893618
