id,attr_time,attr_x,attr_y,attr_z
1,1438343226016,24.169,-54.757,-5.468
2,1438343226028,24.169,-54.757,-5.468
3,1438343226047,24.169,-54.757,-5.468
4,1438343226071,24.169,-54.757,-5.468
5,1438343226090,24.169,-54.757,-5.468
6,1438343226110,24.169,-54.757,-5.468
7,1438343226130,24.169,-54.757,-5.468
8,1438343226174,24.169,-54.757,-5.468
9,1438343226175,24.169,-54.757,-5.468
10,1438343226190,24.169,-54.757,-5.468
11,1438343226210,24.169,-54.757,-5.468
12,1438343226230,24.169,-54.757,-5.468
13,1438343226251,24.169,-54.757,-5.468
14,1438343226280,24.169,-54.757,-5.468
15,1438343226291,24.169,-54.757,-5.468
16,1438343226321,24.169,-54.757,-5.468
17,1438343226330,24.169,-54.757,-5.468
18,1438343226350,24.473,-54.757,-5.468
19,1438343226370,24.473,-54.757,-5.468
20,1438343226390,24.473,-54.757,-5.468
21,1438343226411,24.473,-54.757,-5.468
22,1438343226431,24.473,-54.757,-5.775
23,1438343226451,24.473,-54.757,-5.775
24,1438343226471,24.824,-54.757,-5.775
25,1438343226491,24.824,-54.757,-5.775
26,1438343226509,24.824,-54.757,-5.775
27,1438343226536,24.824,-54.757,-5.775
28,1438343226609,24.824,-54.757,-5.775
29,1438343226610,24.824,-54.757,-5.775
30,1438343226611,24.824,-54.757,-5.775
31,1438343226612,24.824,-54.757,-5.775
32,1438343226628,24.824,-54.757,-5.775
33,1438343226649,24.824,-54.757,-5.775
34,1438343226668,24.824,-54.757,-5.775
35,1438343226689,24.824,-54.757,-5.775
36,1438343226710,24.824,-54.757,-5.775
37,1438343226730,24.824,-54.757,-5.775
38,1438343226752,24.824,-54.757,-5.775
39,1438343226769,24.824,-54.757,-5.775
40,1438343226792,24.824,-54.757,-5.775
41,1438343226811,24.473,-54.757,-5.775
42,1438343226831,24.473,-54.757,-5.458
43,1438343226851,24.473,-54.757,-5.458
44,1438343226871,24.473,-54.757,-5.458
45,1438343226891,24.473,-54.757,-5.458
46,1438343226911,24.172,-54.757,-5.458
47,1438343226931,24.172,-54.757,-5.458
48,1438343226951,24.172,-54.757,-5.087
