id,attr_time,attr_light
1,1436376960733,88.0
2,1436376960751,88.0
3,1436376960773,88.0
4,1436376960792,88.0
5,1436376960813,88.0
6,1436376960833,88.0
7,1436376960854,88.0
8,1436376960873,88.0
9,1436376960892,88.0
10,1436376960913,88.0
11,1436376960936,88.0
12,1436376960953,88.0
13,1436376960972,88.0
14,1436376960994,88.0
15,1436376961014,87.0
16,1436376961099,87.0
17,1436376961100,87.0
18,1436376961101,87.0
19,1436376961102,87.0
20,1436376961155,87.0
21,1436376961156,87.0
22,1436376961201,87.0
23,1436376961202,87.0
24,1436376961203,87.0
25,1436376961213,87.0
26,1436376961463,87.0
27,1436376961464,87.0
28,1436376961465,87.0
29,1436376961467,87.0
30,1436376961468,87.0
31,1436376961469,87.0
32,1436376961470,87.0
33,1436376961471,86.0
34,1436376961472,86.0
35,1436376961473,86.0
36,1436376961474,86.0
37,1436376961475,86.0
38,1436376961491,86.0
39,1436376961495,86.0
40,1436376961512,86.0
41,1436376961532,86.0
42,1436376961552,85.0
43,1436376961572,85.0
44,1436376961592,85.0
45,1436376961612,85.0
46,1436376961632,85.0
47,1436376961652,85.0
48,1436376961672,85.0
49,1436376961692,86.0
50,1436376961712,86.0
51,1436376961732,87.0
52,1436376961752,87.0
53,1436376961772,87.0
54,1436376961793,87.0
55,1436376961812,87.0
56,1436376961832,88.0
57,1436376961855,88.0
58,1436376961873,88.0
59,1436376961905,88.0
60,1436376961914,88.0
61,1436376961933,88.0
62,1436376961953,88.0
63,1436376961973,88.0
64,1436376961994,88.0
65,1436376962013,88.0
66,1436376962034,88.0
67,1436376962055,88.0
68,1436376962075,88.0
69,1436376962093,87.0
70,1436376962113,87.0
71,1436376962134,87.0
72,1436376962154,87.0
73,1436376962174,86.0
74,1436376962196,86.0
75,1436376962216,85.0
76,1436376962234,84.0
77,1436376962253,84.0
78,1436376962273,84.0
79,1436376962296,84.0
80,1436376962319,83.0
81,1436376962360,83.0
82,1436376962361,82.0
83,1436376962387,82.0
84,1436376962394,81.0
85,1436376962414,81.0
86,1436376962440,82.0
87,1436376962454,83.0
88,1436376962476,83.0
89,1436376962494,84.0
90,1436376962516,84.0
91,1436376962535,84.0
92,1436376962554,84.0
93,1436376962576,83.0
94,1436376962596,83.0
95,1436376962616,83.0
96,1436376962635,81.0
97,1436376962654,81.0
98,1436376962677,79.0
99,1436376962695,79.0
100,1436376962715,77.0
101,1436376962735,77.0
102,1436376962754,76.0
103,1436376962779,76.0
104,1436376962827,75.0
105,1436376962828,75.0
106,1436376962836,75.0
107,1436376962855,73.0
108,1436376962874,73.0
109,1436376962897,72.0
110,1436376962925,72.0
111,1436376962937,72.0
112,1436376962955,72.0
113,1436376962975,74.0
114,1436376962996,74.0
115,1436376963015,76.0
116,1436376963035,76.0
117,1436376963055,77.0
118,1436376963075,76.0
119,1436376963095,76.0
120,1436376963117,77.0
121,1436376963136,77.0
122,1436376963155,76.0
123,1436376963175,76.0
124,1436376963195,75.0
125,1436376963216,75.0
126,1436376963236,76.0
127,1436376963255,77.0
128,1436376963322,77.0
129,1436376963323,76.0
130,1436376963324,76.0
131,1436376963341,75.0
132,1436376963370,75.0
133,1436376963376,75.0
134,1436376963395,75.0
135,1436376963415,74.0
136,1436376963437,74.0
137,1436376963457,72.0
138,1436376963476,71.0
139,1436376963496,71.0
140,1436376963515,70.0
141,1436376963535,70.0
142,1436376963555,69.0
143,1436376963575,69.0
144,1436376963595,67.0
145,1436376963615,67.0
146,1436376963636,66.0
147,1436376963658,66.0
148,1436376963678,66.0
149,1436376963695,66.0
150,1436376963715,66.0
151,1436376963735,65.0
