id,attr_time,attr_x,attr_y,attr_z
1,1436468772389,38.9969,10.4248,-18.6386
2,1436468772390,40.2237,9.19495,-19.1422
3,1436468772391,40.2237,9.19495,-19.1422
4,1436468772392,39.8727,9.5459,-18.8065
5,1436468772393,40.0482,9.37042,-20.3201
6,1436468772394,40.0482,9.37042,-20.3201
7,1436468772395,41.2735,10.2493,-17.4606
8,1436468772396,41.449,9.37042,-18.6386
9,1436468772397,41.449,9.37042,-18.6386
10,1436468772398,39.5218,10.6018,-17.4606
11,1436468772399,41.0996,10.0739,-17.9657
12,1436468772400,41.0996,10.0739,-17.9657
13,1436468772401,40.3976,10.4248,-17.9657
14,1436468772402,39.5218,10.9528,-17.7979
15,1436468772403,39.5218,10.9528,-17.7979
16,1436468772404,41.2735,9.89838,-18.4708
17,1436468772405,40.9241,9.19495,-18.4708
18,1436468772406,40.9241,9.19495,-18.4708
19,1436468772407,40.9241,8.49152,-17.4606
20,1436468772408,39.3463,8.66699,-18.3014
21,1436468772409,39.3463,8.66699,-18.3014
22,1436468772410,40.3976,9.37042,-17.63
23,1436468772411,39.5218,9.5459,-17.7979
24,1436468772412,39.5218,9.5459,-17.7979
25,1436468772413,39.8727,8.49152,-20.1523
26,1436468772414,40.2237,8.84399,-17.1249
27,1436468772415,40.2237,8.84399,-17.1249
28,1436468772416,39.1724,9.19495,-18.8065
29,1436468772417,40.3976,9.01947,-17.9657
30,1436468772418,40.3976,9.01947,-17.9657
31,1436468772419,39.3463,10.4248,-17.63
32,1436468772420,39.8727,8.84399,-18.1335
33,1436468772421,39.8727,8.84399,-18.1335
34,1436468772422,41.449,9.01947,-17.9657
35,1436468772423,41.7999,7.61261,-17.63
36,1436468772424,41.7999,7.61261,-17.63
37,1436468772425,40.2237,9.89838,-18.1335
38,1436468772426,40.7486,7.61261,-18.3014
39,1436468772427,40.7486,7.61261,-18.3014
40,1436468772428,41.7999,8.66699,-17.9657
41,1436468772429,39.6973,8.31604,-18.9743
42,1436468772430,39.6973,8.31604,-18.9743
43,1436468772431,40.9241,8.14056,-19.1422
44,1436468772432,40.3976,8.31604,-16.9571
45,1436468772433,40.3976,8.31604,-16.9571
46,1436468772434,40.9241,7.78809,-17.4606
47,1436468772435,40.5731,9.19495,-18.1335
48,1436468772436,40.5731,9.19495,-18.1335
49,1436468772437,41.0996,7.96509,-16.9571
50,1436468772438,39.6973,9.37042,-17.2928
51,1436468772439,39.6973,9.37042,-17.2928
52,1436468772440,40.3976,9.7229,-17.9657
53,1436468772441,40.3976,7.26166,-17.63
54,1436468772442,40.3976,7.26166,-17.63
55,1436468772443,40.3976,10.0739,-17.9657
56,1436468772444,40.3976,8.31604,-19.3115
57,1436468772445,40.3976,8.31604,-19.3115
58,1436468772446,39.5218,7.43713,-18.4708
59,1436468772447,40.7486,8.66699,-17.63
60,1436468772448,40.7486,8.66699,-17.63
61,1436468772449,39.1724,10.6018,-17.7979
62,1436468772450,40.3976,10.7773,-17.63
63,1436468772451,40.3976,10.7773,-17.63
64,1436468772452,40.7486,7.96509,-18.9743
65,1436468772453,40.9241,7.78809,-18.4708
66,1436468772454,40.9241,7.78809,-18.4708
67,1436468772455,39.6973,8.31604,-18.3014
68,1436468772456,37.2452,8.31604,-17.2928
69,1436468772457,37.2452,8.31604,-17.2928
70,1436468772458,39.8727,10.6018,-18.4708
71,1436468772459,40.7486,9.7229,-18.3014
72,1436468772460,40.7486,9.7229,-18.3014
73,1436468772461,40.9241,9.89838,-17.4606
74,1436468772462,38.2965,10.7773,-18.3014
75,1436468772463,38.2965,10.7773,-18.3014
76,1436468772464,40.7486,9.7229,-18.9743
77,1436468772465,39.6973,9.7229,-18.3014
78,1436468772466,39.6973,9.7229,-18.3014
79,1436468772467,40.5731,9.19495,-17.7979
80,1436468772468,41.6245,10.9528,-17.7979
81,1436468772469,41.6245,10.9528,-17.7979
82,1436468772470,41.0996,9.7229,-18.6386
83,1436468772471,39.3463,10.4248,-18.6386
84,1436468772472,39.3463,10.4248,-18.6386
85,1436468772473,38.4705,9.89838,-18.1335
86,1436468772474,41.0996,7.61261,-17.9657
87,1436468772475,41.0996,7.61261,-17.9657
88,1436468772476,41.2735,9.19495,-20.8252
89,1436468772477,41.0996,10.0739,-20.6558
90,1436468772478,41.0996,10.0739,-20.6558
91,1436468772479,40.3976,9.7229,-19.6472
92,1436468772480,40.9241,9.89838,-18.8065
93,1436468772481,40.9241,9.89838,-18.8065
94,1436468772482,40.5731,9.5459,-18.8065
95,1436468772483,39.5218,9.19495,-19.4794
96,1436468772484,39.5218,9.19495,-19.4794
97,1436468772485,40.7486,10.7773,-20.3201
98,1436468772486,39.6973,10.4248,-20.3201
99,1436468772487,39.6973,10.4248,-20.3201
100,1436468772488,40.5731,9.19495,-19.1422
101,1436468772489,40.5731,9.5459,-19.4794
102,1436468772490,40.5731,9.5459,-19.4794
103,1436468772491,40.5731,8.84399,-18.4708
104,1436468772492,41.0996,10.7773,-19.6472
105,1436468772493,41.0996,10.7773,-19.6472
106,1436468772494,40.5731,9.5459,-18.8065
107,1436468772495,40.5731,10.2493,-19.4794
108,1436468772496,40.5731,10.2493,-19.4794
109,1436468772497,41.7999,9.7229,-18.6386
110,1436468772498,40.9241,8.14056,-19.8151
111,1436468772499,40.9241,8.14056,-19.8151
112,1436468772500,40.3976,9.37042,-19.6472
113,1436468772501,38.6459,9.01947,-18.9743
