id,attr_time,attr_lat,attr_lng
1,1436462350000,49.44900084,8.90000278
2,1436462373000,49.44893308,8.89986346
3,1436462383000,49.44887226,8.8999
4,1436462393000,49.44886028,8.89999438
5,1436462412000,49.44910287,8.8999376
6,1436462419000,49.44931162,8.89974664
7,1436462425000,49.44896021,8.8996736
8,1436462438000,49.44894143,8.89950921
9,1436462448000,49.44933793,8.8998548
10,1436462457000,49.44916256,8.89950508
11,1436462467000,49.4491157,8.89947214
12,1436462478000,49.44903355,8.89940403
13,1436462488000,49.44893068,8.89921409
14,1436462498000,49.44899771,8.89910739
15,1436462509000,49.44915519,8.89903248
16,1436462519000,49.44922472,8.89902171
17,1436462530000,49.4490886,8.89884892
18,1436462539000,49.44899833,8.89872246
19,1436462549000,49.44892043,8.89872195
20,1436462559000,49.44883024,8.8986056
21,1436462570000,49.44872723,8.89842876
22,1436462581000,49.44870012,8.89832114
23,1436462592000,49.44883114,8.89831559
24,1436462602000,49.44887219,8.89833164
25,1436462612000,49.44898026,8.89823851
26,1436462621000,49.44910312,8.89830988
27,1436462633000,49.44923461,8.89843691
28,1436462644000,49.44924008,8.89838507
29,1436462661000,49.44918394,8.89826767
30,1436462673000,49.44920098,8.89825085
31,1436462683000,49.44920647,8.89817838
32,1436462693000,49.44921749,8.89817144
33,1436462704000,49.44922738,8.89816771
34,1436462714000,49.44925853,8.8981842
35,1436462724000,49.44929745,8.89819504
36,1436462734000,49.44956177,8.89849455
37,1436462753000,49.44976761,8.89819925
38,1436462759000,49.44980315,8.8982893
39,1436462799000,49.44992196,8.89838445
40,1436462810000,49.44988807,8.89837757
41,1436462841000,49.44986534,8.8983922
