id,attr_time,attr_x,attr_y,attr_z
1,1436538414309,15.808,-13.127,-22.586
2,1436538414332,15.808,-13.127,-22.586
3,1436538414353,15.808,-13.127,-22.586
4,1436538414373,15.808,-13.127,-22.586
5,1436538414391,15.808,-13.127,-22.586
6,1436538414413,15.808,-13.127,-22.586
7,1436538414433,15.808,-13.127,-22.586
8,1436538414453,15.808,-13.127,-22.586
9,1436538414471,15.808,-13.127,-22.586
10,1436538414495,15.808,-13.127,-22.586
11,1436538414514,15.808,-13.127,-22.586
12,1436538414535,15.808,-13.127,-22.586
13,1436538414553,15.808,-13.127,-22.586
14,1436538414573,15.808,-13.127,-22.586
15,1436538414725,15.808,-13.127,-22.586
16,1436538414726,15.808,-13.127,-22.586
17,1436538414727,15.808,-13.127,-22.586
18,1436538414748,15.808,-13.127,-22.586
19,1436538414753,15.808,-13.127,-22.898
20,1436538414756,15.808,-13.127,-22.898
21,1436538414757,15.808,-13.127,-22.898
22,1436538414758,15.808,-13.127,-22.898
23,1436538414759,15.808,-13.127,-22.898
24,1436538414820,15.808,-13.127,-22.898
25,1436538414821,15.808,-13.127,-22.898
26,1436538414822,15.808,-13.127,-22.898
27,1436538414833,15.498,-13.127,-22.898
28,1436538414867,15.498,-13.127,-22.898
29,1436538414882,15.498,-13.127,-22.898
30,1436538414891,15.498,-13.127,-22.898
31,1436538414918,15.498,-13.127,-22.898
32,1436538414932,15.498,-12.818,-22.898
33,1436538414953,15.498,-12.818,-22.898
34,1436538414973,15.164,-12.818,-22.898
35,1436538414994,15.164,-12.818,-22.898
36,1436538415013,15.164,-12.818,-22.898
37,1436538415033,15.164,-12.818,-22.898
38,1436538415054,15.164,-12.818,-22.898
39,1436538415074,15.164,-12.818,-22.898
40,1436538415093,15.164,-12.818,-22.898
41,1436538415113,14.833,-12.818,-22.898
42,1436538415135,14.833,-12.818,-22.898
43,1436538415151,14.833,-12.818,-22.898
44,1436538415170,14.833,-12.818,-22.898
45,1436538415194,14.833,-12.818,-22.898
46,1436538415213,14.833,-12.818,-22.898
47,1436538415233,14.833,-12.818,-22.898
48,1436538415307,14.833,-12.818,-22.898
49,1436538415308,14.833,-12.818,-22.898
50,1436538415309,14.833,-12.818,-22.898
51,1436538415323,14.833,-12.818,-22.898
52,1436538415330,14.833,-12.818,-22.898
53,1436538415350,14.833,-12.818,-22.898
54,1436538415371,14.833,-12.818,-22.898
55,1436538415392,14.833,-12.818,-22.898
56,1436538415411,14.833,-12.818,-22.898
57,1436538415451,14.833,-12.818,-22.898
58,1436538415452,14.833,-12.818,-22.898
59,1436538415476,14.833,-12.818,-22.898
60,1436538415495,14.833,-12.818,-22.898
61,1436538415511,14.833,-12.818,-22.898
62,1436538415535,14.833,-12.818,-22.898
63,1436538415552,14.833,-12.818,-22.898
64,1436538415571,14.833,-12.818,-22.898
65,1436538415592,14.833,-13.122,-22.898
66,1436538415611,14.833,-13.122,-22.898
67,1436538415632,14.833,-13.122,-22.898
68,1436538415657,14.833,-13.122,-22.898
69,1436538415705,14.833,-13.122,-22.898
70,1436538415706,14.833,-13.122,-22.898
71,1436538415712,14.505,-13.447,-22.898
72,1436538415731,14.505,-13.447,-22.898
73,1436538415757,14.505,-13.447,-22.898
74,1436538415773,14.166,-13.842,-22.898
75,1436538415793,14.166,-13.842,-22.898
76,1436538415874,14.166,-14.447,-22.575
77,1436538415875,13.737,-15.258,-22.575
78,1436538415876,13.737,-15.936,-22.575
79,1436538415877,13.377,-17.059,-22.218
80,1436538415920,13.377,-17.687,-22.218
81,1436538415923,12.95,-18.458,-21.733
82,1436538415932,12.596,-19.006,-21.733
83,1436538415950,12.168,-19.613,-21.192
84,1436538415970,10.719,-19.613,-20.846
85,1436538415990,9.622,-20.368,-20.846
