id,attr_time,attr_light
1,1436546010947,38.0
2,1436546010965,38.0
3,1436546010986,38.0
4,1436546011006,38.0
5,1436546011029,38.0
6,1436546011046,38.0
7,1436546011068,38.0
8,1436546011085,38.0
9,1436546011106,38.0
10,1436546011126,38.0
11,1436546011146,38.0
12,1436546011193,38.0
13,1436546011194,38.0
14,1436546011214,38.0
15,1436546011225,38.0
16,1436546011247,38.0
17,1436546011274,39.0
18,1436546011286,39.0
19,1436546011305,38.0
20,1436546011353,38.0
21,1436546011354,38.0
22,1436546011368,39.0
23,1436546011386,39.0
24,1436546011405,38.0
25,1436546011428,38.0
26,1436546011446,39.0
27,1436546011466,39.0
28,1436546011489,39.0
29,1436546011506,39.0
30,1436546011529,39.0
31,1436546011548,39.0
32,1436546011566,39.0
33,1436546011589,39.0
34,1436546011607,39.0
35,1436546011628,39.0
36,1436546011649,39.0
37,1436546011666,39.0
38,1436546011686,39.0
39,1436546011706,39.0
40,1436546011726,39.0
41,1436546011749,39.0
42,1436546011768,39.0
43,1436546011789,39.0
44,1436546011807,39.0
45,1436546011827,39.0
46,1436546011846,39.0
47,1436546011868,39.0
48,1436546011887,38.0
49,1436546011946,38.0
50,1436546011947,38.0
51,1436546011957,38.0
52,1436546011967,38.0
53,1436546011986,38.0
54,1436546012006,38.0
55,1436546012026,38.0
56,1436546012051,38.0
57,1436546012066,38.0
58,1436546012087,38.0
59,1436546012112,38.0
60,1436546012126,38.0
61,1436546012146,38.0
62,1436546012167,38.0
63,1436546012188,38.0
64,1436546012208,38.0
65,1436546012227,38.0
66,1436546012248,38.0
67,1436546012267,38.0
68,1436546012288,38.0
69,1436546012306,38.0
70,1436546012328,38.0
71,1436546012350,38.0
72,1436546012369,38.0
73,1436546012392,38.0
74,1436546012408,38.0
75,1436546012436,38.0
76,1436546012446,38.0
77,1436546012471,38.0
78,1436546012486,38.0
79,1436546012506,38.0
80,1436546012527,38.0
81,1436546012548,38.0
82,1436546012573,38.0
83,1436546012589,38.0
84,1436546012669,38.0
85,1436546012670,38.0
86,1436546012671,38.0
87,1436546012672,38.0
88,1436546012718,38.0
89,1436546012719,38.0
90,1436546012726,38.0
91,1436546012746,38.0
92,1436546012766,38.0
93,1436546012787,38.0
94,1436546012806,38.0
95,1436546012831,38.0
96,1436546012846,38.0
97,1436546012867,38.0
98,1436546012888,38.0
99,1436546012907,38.0
100,1436546012927,38.0
101,1436546012946,38.0
102,1436546012969,38.0
103,1436546012988,38.0
104,1436546013010,38.0
105,1436546013030,38.0
106,1436546013049,38.0
107,1436546013070,38.0
108,1436546013087,38.0
109,1436546013109,38.0
110,1436546013129,38.0
111,1436546013148,38.0
112,1436546013171,38.0
113,1436546013194,38.0
114,1436546013210,38.0
115,1436546013227,38.0
116,1436546013248,38.0
117,1436546013268,38.0
118,1436546013290,38.0
119,1436546013307,38.0
120,1436546013377,38.0
121,1436546013378,38.0
122,1436546013379,38.0
123,1436546013395,38.0
124,1436546013422,38.0
125,1436546013457,38.0
126,1436546013458,38.0
127,1436546013477,38.0
128,1436546013487,38.0
129,1436546013508,38.0
130,1436546013678,38.0
131,1436546013679,38.0
132,1436546013680,38.0
133,1436546013681,38.0
134,1436546013682,38.0
135,1436546013683,38.0
136,1436546013684,38.0
137,1436546013685,38.0
138,1436546013693,38.0
139,1436546013707,38.0
140,1436546013730,38.0
141,1436546013751,38.0
142,1436546013772,38.0
143,1436546013788,39.0
144,1436546013808,39.0
145,1436546013828,39.0
146,1436546013851,39.0
147,1436546013871,39.0
148,1436546013891,39.0
149,1436546013909,40.0
150,1436546013929,40.0
151,1436546013951,40.0
152,1436546013971,40.0
153,1436546013990,40.0
154,1436546014011,40.0
155,1436546014028,40.0
156,1436546014052,40.0
157,1436546014069,41.0
158,1436546014088,41.0
159,1436546014130,41.0
160,1436546014131,41.0
161,1436546014147,41.0
162,1436546014171,41.0
163,1436546014192,41.0
164,1436546014208,41.0
165,1436546014229,41.0
166,1436546014248,41.0
167,1436546014271,41.0
168,1436546014291,41.0
169,1436546014314,40.0
170,1436546014330,40.0
171,1436546014353,43.0
172,1436546014372,43.0
173,1436546014391,40.0
174,1436546014411,40.0
175,1436546014428,40.0
176,1436546014449,40.0
177,1436546014468,40.0
178,1436546014491,40.0
179,1436546014511,42.0
180,1436546014532,42.0
181,1436546014551,42.0
182,1436546014572,42.0
183,1436546014592,42.0
184,1436546014611,42.0
185,1436546014632,42.0
186,1436546014652,42.0
187,1436546014672,42.0
188,1436546014692,41.0
189,1436546014711,41.0
190,1436546014731,41.0
191,1436546014786,41.0
192,1436546014787,41.0
193,1436546014804,41.0
194,1436546014811,41.0
195,1436546014830,41.0
196,1436546014854,40.0
197,1436546014869,40.0
198,1436546014895,39.0
199,1436546014911,39.0
200,1436546014930,40.0
201,1436546014950,40.0
202,1436546014969,41.0
203,1436546014993,41.0
204,1436546015012,42.0
205,1436546015032,42.0
206,1436546015048,42.0
207,1436546015072,42.0
208,1436546015091,42.0
209,1436546015112,42.0
210,1436546015132,42.0
211,1436546015151,42.0
212,1436546015172,42.0
213,1436546015190,42.0
214,1436546015211,41.0
215,1436546015232,41.0
216,1436546015249,41.0
217,1436546015271,41.0
218,1436546015291,39.0
219,1436546015315,39.0
220,1436546015335,39.0
221,1436546015356,38.0
222,1436546015373,38.0
223,1436546015391,39.0
224,1436546015409,39.0
225,1436546015429,41.0
226,1436546015451,41.0
227,1436546015469,42.0
228,1436546015526,42.0
229,1436546015527,42.0
230,1436546015545,42.0
231,1436546015551,42.0
232,1436546015571,42.0
233,1436546015593,42.0
234,1436546015609,42.0
235,1436546015635,42.0
236,1436546015651,42.0
237,1436546015672,41.0
238,1436546015690,41.0
239,1436546015711,41.0
240,1436546015733,41.0
241,1436546015753,41.0
242,1436546015773,41.0
243,1436546015793,42.0
244,1436546015813,42.0
245,1436546015833,41.0
246,1436546015853,41.0
247,1436546015873,41.0
248,1436546015893,41.0
249,1436546015913,40.0
250,1436546015931,40.0
251,1436546015953,42.0
252,1436546015973,42.0
253,1436546015993,42.0
254,1436546016013,42.0
255,1436546016033,43.0
256,1436546016053,43.0
257,1436546016073,42.0
258,1436546016093,42.0
259,1436546016113,42.0
260,1436546016133,41.0
261,1436546016153,41.0
262,1436546016171,40.0
263,1436546016198,40.0
264,1436546016256,38.0
265,1436546016257,38.0
266,1436546016258,36.0
267,1436546016275,36.0
268,1436546016291,35.0
269,1436546016311,35.0
270,1436546016330,36.0
271,1436546016350,36.0
272,1436546016374,37.0
273,1436546016390,37.0
274,1436546016413,40.0
275,1436546016435,40.0
276,1436546016453,41.0
277,1436546016473,41.0
278,1436546016491,42.0
279,1436546016514,42.0
280,1436546016534,42.0
281,1436546016553,42.0
282,1436546016574,42.0
