id,attr_time,attr_x,attr_y,attr_z
1,1436546010939,48.2742,-7.72095,-13.0188
2,1436546010961,48.2742,-7.72095,-13.0188
3,1436546010979,48.6252,-7.72095,-14.0274
4,1436546010997,47.7493,-8.95081,-13.8596
5,1436546011019,47.7493,-8.95081,-13.8596
6,1436546011038,47.9248,-8.0719,-13.0188
7,1436546011058,46.698,-7.54547,-12.5137
8,1436546011077,46.698,-7.54547,-12.5137
9,1436546011097,48.4497,-8.59985,-12.851
10,1436546011117,47.7493,-9.30328,-13.1866
11,1436546011138,47.7493,-9.30328,-13.1866
12,1436546011157,48.8007,-7.19299,-13.1866
13,1436546011177,48.2742,-7.72095,-12.6816
14,1436546011197,48.2742,-7.72095,-12.6816
15,1436546011216,48.2742,-7.37,-12.6816
16,1436546011238,47.2229,-8.0719,-13.3545
17,1436546011256,47.2229,-8.0719,-13.3545
18,1436546011275,47.9248,-7.72095,-13.3545
19,1436546011296,46.8735,-7.37,-14.0274
20,1436546011314,46.8735,-7.37,-14.0274
21,1436546011337,46.347,-6.84204,-12.178
22,1436546011355,48.2742,-9.12781,-12.3459
23,1436546011374,48.2742,-9.12781,-12.3459
24,1436546011395,48.0988,-7.89642,-13.1866
25,1436546011412,48.0988,-6.84204,-14.8682
26,1436546011436,48.0988,-6.84204,-14.8682
27,1436546011453,47.3984,-6.49109,-12.5137
28,1436546011474,48.0988,-8.2489,-13.8596
29,1436546011494,48.0988,-8.2489,-13.8596
30,1436546011513,48.4497,-6.84204,-11.8408
31,1436546011535,46.698,-7.19299,-13.5223
32,1436546011553,46.698,-7.19299,-13.5223
33,1436546011572,48.8007,-7.89642,-13.5223
34,1436546011592,48.2742,-8.0719,-12.3459
35,1436546011612,48.2742,-8.0719,-12.3459
36,1436546011633,48.0988,-8.2489,-13.1866
37,1436546011651,47.5739,-7.72095,-14.0274
38,1436546011671,47.5739,-7.72095,-14.0274
39,1436546011691,47.2229,-8.77533,-13.6917
40,1436546011711,46.8735,-9.47876,-14.0274
41,1436546011731,46.8735,-9.47876,-14.0274
42,1436546011749,47.0474,-6.49109,-12.5137
43,1436546011769,48.0988,-7.89642,-12.5137
44,1436546011790,48.0988,-7.89642,-12.5137
45,1436546011809,47.5739,-7.72095,-13.6917
46,1436546011830,48.0988,-9.30328,-12.178
47,1436546011849,48.0988,-9.30328,-12.178
48,1436546011868,47.3984,-7.19299,-14.8682
49,1436546011889,47.5739,-7.37,-13.0188
50,1436546011908,47.5739,-7.37,-13.0188
51,1436546011929,48.6252,-6.31409,-12.6816
52,1436546011947,47.5739,-7.01752,-13.0188
53,1436546011968,47.5739,-7.01752,-13.0188
54,1436546011988,47.0474,-7.19299,-13.1866
55,1436546012007,48.2742,-8.0719,-13.6917
56,1436546012027,48.2742,-8.0719,-13.6917
57,1436546012045,47.2229,-9.12781,-13.6917
58,1436546012067,47.3984,-8.95081,-13.1866
59,1436546012086,47.3984,-8.95081,-13.1866
60,1436546012106,47.5739,-7.72095,-12.3459
61,1436546012128,49.8505,-8.2489,-13.1866
62,1436546012145,49.8505,-8.2489,-13.1866
63,1436546012166,48.4497,-7.54547,-13.1866
64,1436546012185,48.0988,-8.2489,-13.8596
65,1436546012205,48.0988,-8.2489,-13.8596
66,1436546012223,47.9248,-7.37,-12.3459
67,1436546012245,47.0474,-8.95081,-13.8596
68,1436546012264,47.0474,-8.95081,-13.8596
69,1436546012284,47.2229,-7.37,-11.673
70,1436546012304,47.3984,-8.2489,-14.5325
71,1436546012324,47.3984,-8.2489,-14.5325
72,1436546012344,48.2742,-6.31409,-11.0001
73,1436546012364,46.5225,-9.12781,-14.7003
74,1436546012382,46.5225,-9.12781,-14.7003
75,1436546012402,49.501,-7.19299,-12.178
76,1436546012422,47.9248,-8.42438,-12.3459
77,1436546012443,47.9248,-8.42438,-12.3459
78,1436546012465,47.5739,-7.37,-12.0102
79,1436546012482,47.9248,-9.12781,-14.0274
80,1436546012502,47.9248,-9.12781,-14.0274
81,1436546012522,48.2742,-5.96314,-13.3545
82,1436546012539,46.8735,-7.72095,-13.0188
83,1436546012563,46.8735,-7.72095,-13.0188
84,1436546012580,47.5739,-6.31409,-13.3545
85,1436546012601,48.8007,-9.65424,-13.5223
86,1436546012621,48.8007,-9.65424,-13.5223
87,1436546012640,48.6252,-6.66657,-13.6917
88,1436546012662,46.5225,-8.77533,-13.0188
89,1436546012679,46.5225,-8.77533,-13.0188
90,1436546012699,47.9248,-8.0719,-14.3631
91,1436546012719,48.0988,-7.54547,-15.2039
92,1436546012739,48.0988,-7.54547,-15.2039
93,1436546012759,47.7493,-7.89642,-14.5325
94,1436546012779,47.5739,-9.47876,-13.0188
95,1436546012798,47.5739,-9.47876,-13.0188
96,1436546012819,49.8505,-7.54547,-13.1866
97,1436546012838,47.7493,-9.30328,-13.1866
98,1436546012856,47.7493,-9.30328,-13.1866
99,1436546012878,47.5739,-6.66657,-13.6917
100,1436546012896,47.7493,-8.59985,-13.5223
101,1436546012917,47.7493,-8.59985,-13.5223
102,1436546012937,47.5739,-7.01752,-14.0274
103,1436546012959,49.1501,-7.54547,-13.1866
104,1436546012977,49.1501,-7.54547,-13.1866
105,1436546012996,48.0988,-7.19299,-15.2039
106,1436546013016,47.3984,-7.89642,-12.851
107,1436546013035,47.3984,-7.89642,-12.851
108,1436546013058,47.7493,-7.19299,-15.2039
109,1436546013076,46.698,-8.2489,-14.1953
110,1436546013094,46.698,-8.2489,-14.1953
111,1436546013115,47.9248,-7.01752,-14.3631
112,1436546013135,47.7493,-7.89642,-13.5223
113,1436546013157,47.7493,-7.89642,-13.5223
114,1436546013173,47.0474,-8.95081,-13.1866
115,1436546013194,47.3984,-7.89642,-15.5411
116,1436546013212,47.3984,-7.89642,-15.5411
117,1436546013234,46.8735,-6.66657,-13.6917
118,1436546013253,47.3984,-8.2489,-13.8596
119,1436546013273,47.3984,-8.2489,-13.8596
120,1436546013293,48.0988,-7.54547,-13.1866
121,1436546013313,48.6252,-9.47876,-13.0188
122,1436546013333,48.6252,-9.47876,-13.0188
123,1436546013351,48.2742,-8.0719,-13.3545
124,1436546013372,48.8007,-8.95081,-13.5223
125,1436546013392,48.8007,-8.95081,-13.5223
126,1436546013410,46.347,-6.13861,-14.1953
127,1436546013431,46.1716,-7.72095,-14.0274
128,1436546013451,46.1716,-7.72095,-14.0274
129,1436546013471,48.4497,-7.19299,-13.8596
130,1436546013490,48.4497,-8.59985,-12.5137
131,1436546013511,48.4497,-8.59985,-12.5137
132,1436546013530,49.8505,-7.54547,-14.8682
133,1436546013550,47.5739,-9.47876,-13.3545
134,1436546013570,47.5739,-9.47876,-13.3545
135,1436546013590,48.4497,-7.19299,-12.851
136,1436546013609,47.3984,-7.19299,-13.8596
137,1436546013629,47.3984,-7.19299,-13.8596
138,1436546013649,48.6252,-7.01752,-13.0188
139,1436546013668,48.2742,-8.77533,-14.0274
140,1436546013689,48.2742,-8.77533,-14.0274
141,1436546013707,48.4497,-7.89642,-13.8596
142,1436546013730,47.5739,-8.77533,-14.3631
143,1436546013747,47.5739,-8.77533,-14.3631
144,1436546013768,48.4497,-8.2489,-14.5325
145,1436546013786,47.2229,-8.42438,-15.3732
146,1436546013803,47.2229,-8.42438,-15.3732
147,1436546013824,47.7493,-7.54547,-15.5411
148,1436546013843,47.7493,-8.2489,-16.214
149,1436546013862,47.7493,-8.2489,-16.214
150,1436546013887,47.0474,-7.54547,-15.5411
151,1436546013906,47.0474,-8.95081,-17.2226
152,1436546013928,47.0474,-8.95081,-17.2226
153,1436546013945,45.6467,-6.84204,-16.8869
154,1436546013965,46.347,-6.49109,-17.2226
155,1436546013985,46.347,-6.49109,-17.2226
156,1436546014005,45.8221,-5.96314,-16.0461
157,1436546014024,48.2742,-7.37,-18.0634
158,1436546014044,48.2742,-7.37,-18.0634
159,1436546014064,47.2229,-6.31409,-16.7175
