id,attr_time,attr_x,attr_y,attr_z
1,1436546010948,-20.841,-36.639,7.379
2,1436546010966,-20.841,-36.639,7.379
3,1436546010987,-20.841,-36.639,7.379
4,1436546011007,-20.841,-36.639,7.379
5,1436546011031,-20.494,-36.943,7.379
6,1436546011047,-20.494,-36.943,7.379
7,1436546011069,-20.494,-36.943,7.379
8,1436546011086,-20.494,-36.943,7.379
9,1436546011107,-20.494,-36.943,7.379
10,1436546011138,-20.494,-36.943,7.379
11,1436546011192,-20.494,-36.943,7.379
12,1436546011193,-20.494,-36.943,7.379
13,1436546011194,-20.494,-36.943,7.379
14,1436546011214,-20.494,-36.943,7.379
15,1436546011227,-20.494,-36.943,7.379
16,1436546011248,-20.494,-36.943,7.379
17,1436546011275,-20.494,-36.943,7.379
18,1436546011287,-20.494,-36.943,7.379
19,1436546011306,-20.494,-36.943,7.379
20,1436546011357,-20.494,-36.943,7.379
21,1436546011358,-20.494,-36.943,7.379
22,1436546011370,-20.494,-36.943,7.379
23,1436546011387,-20.494,-36.943,7.379
24,1436546011406,-20.494,-36.943,7.379
25,1436546011429,-20.494,-36.943,7.379
26,1436546011447,-20.494,-36.943,7.379
27,1436546011467,-20.494,-36.943,7.379
28,1436546011489,-20.494,-36.943,7.379
29,1436546011507,-20.494,-36.943,7.379
30,1436546011529,-20.494,-36.943,7.379
31,1436546011549,-20.494,-36.943,7.379
32,1436546011567,-20.494,-36.943,7.379
33,1436546011589,-20.494,-36.943,7.379
34,1436546011609,-20.494,-36.943,7.379
35,1436546011629,-20.494,-36.943,7.379
36,1436546011649,-20.494,-36.943,7.379
37,1436546011667,-20.494,-36.943,7.379
38,1436546011687,-20.494,-36.943,7.379
39,1436546011706,-20.494,-36.943,7.379
40,1436546011727,-20.494,-36.943,7.379
41,1436546011753,-20.494,-36.943,7.379
42,1436546011769,-20.494,-36.943,7.379
43,1436546011790,-20.494,-36.943,7.379
44,1436546011808,-20.494,-36.943,7.379
45,1436546011828,-20.494,-36.943,7.379
46,1436546011847,-20.494,-36.943,7.379
47,1436546011869,-20.494,-36.943,7.379
48,1436546011888,-20.494,-36.943,7.379
49,1436546011966,-20.494,-36.943,7.379
50,1436546011967,-20.494,-36.943,7.379
51,1436546011968,-20.494,-36.943,7.379
52,1436546011969,-20.494,-36.943,7.379
53,1436546011987,-20.494,-36.943,7.379
54,1436546012007,-20.494,-36.943,7.379
55,1436546012027,-20.494,-36.943,7.379
56,1436546012052,-20.494,-36.943,7.379
57,1436546012067,-20.494,-36.943,7.379
58,1436546012087,-20.494,-36.943,7.379
59,1436546012113,-20.494,-36.943,7.379
60,1436546012127,-20.494,-36.943,7.379
61,1436546012147,-20.494,-36.943,7.379
62,1436546012167,-20.494,-36.943,7.379
63,1436546012189,-20.494,-36.943,7.379
64,1436546012209,-20.494,-36.943,7.379
65,1436546012228,-20.494,-36.943,7.379
66,1436546012249,-20.494,-36.943,7.379
67,1436546012268,-20.494,-36.943,7.379
68,1436546012289,-20.494,-36.943,7.379
69,1436546012307,-20.494,-36.943,7.379
70,1436546012330,-20.494,-36.943,7.379
71,1436546012351,-20.494,-36.943,7.379
72,1436546012370,-20.494,-36.943,7.379
73,1436546012392,-20.494,-36.943,7.379
74,1436546012412,-20.494,-36.943,7.379
75,1436546012437,-20.494,-36.943,7.379
76,1436546012447,-20.494,-36.943,7.379
77,1436546012472,-20.494,-36.943,7.379
78,1436546012487,-20.494,-36.943,7.379
79,1436546012507,-20.494,-36.943,7.379
