id,attr_time,attr_x,attr_y,attr_z
1,1436625480224,-17.535,-31.407,17.437
2,1436625480247,-17.535,-31.407,17.437
3,1436625480264,-17.535,-31.407,17.437
4,1436625480284,-17.535,-31.407,17.437
5,1436625480304,-17.535,-31.407,17.437
6,1436625480324,-17.535,-31.407,17.437
7,1436625480344,-17.535,-31.407,17.437
8,1436625480364,-17.535,-31.407,17.437
9,1436625480384,-17.535,-31.407,17.437
10,1436625480404,-17.535,-31.407,17.437
11,1436625480424,-17.535,-31.407,17.437
12,1436625480446,-17.535,-31.407,17.437
13,1436625480464,-17.535,-31.407,17.437
14,1436625480488,-17.535,-31.407,17.437
15,1436625480504,-17.535,-31.407,17.437
16,1436625480524,-17.535,-31.407,17.437
17,1436625480552,-17.535,-31.407,17.437
18,1436625480564,-17.535,-31.407,17.437
19,1436625480584,-17.535,-31.407,17.437
20,1436625480603,-17.535,-31.407,17.437
21,1436625480623,-17.535,-31.407,17.437
22,1436625480643,-17.535,-31.407,17.437
23,1436625480663,-17.535,-31.407,17.437
24,1436625480683,-17.535,-31.407,17.437
25,1436625480703,-17.535,-31.407,17.437
26,1436625480723,-17.535,-31.407,17.437
27,1436625480743,-17.535,-31.407,17.437
28,1436625480763,-17.535,-31.407,17.437
29,1436625480783,-17.535,-31.407,17.437
30,1436625480803,-17.535,-31.407,17.75
31,1436625480823,-17.535,-31.407,17.75
32,1436625480843,-17.535,-31.407,17.75
33,1436625480863,-17.535,-31.407,17.75
34,1436625480884,-17.535,-31.407,17.75
35,1436625480903,-17.535,-31.407,17.75
36,1436625480923,-17.864,-31.407,17.75
37,1436625480945,-17.864,-31.407,17.75
38,1436625480963,-17.864,-31.407,17.75
39,1436625480983,-17.864,-31.407,17.75
40,1436625481003,-17.864,-31.407,17.75
41,1436625481023,-17.864,-31.407,17.75
42,1436625481043,-17.864,-31.407,17.75
43,1436625481063,-17.864,-31.407,17.75
44,1436625481083,-17.864,-31.407,17.75
45,1436625481103,-17.864,-31.407,17.75
46,1436625481123,-17.864,-31.407,17.75
47,1436625481143,-17.864,-31.407,17.75
48,1436625481163,-17.864,-31.407,17.75
49,1436625481183,-17.864,-31.407,17.75
50,1436625481204,-17.864,-31.407,17.75
51,1436625481223,-17.864,-31.407,17.75
52,1436625481243,-17.864,-31.407,17.75
53,1436625481295,-17.864,-31.407,17.75
54,1436625481296,-17.864,-31.407,17.75
55,1436625481304,-17.864,-31.407,17.75
56,1436625481324,-17.864,-31.407,17.75
57,1436625481344,-17.864,-31.407,17.75
58,1436625481364,-17.864,-31.407,17.75
59,1436625481383,-17.864,-31.407,17.75
60,1436625481404,-17.864,-31.407,17.75
61,1436625481424,-17.864,-31.407,17.75
62,1436625481444,-17.864,-31.407,17.75
63,1436625481464,-17.864,-31.407,17.75
64,1436625481484,-17.864,-31.407,17.75
65,1436625481504,-17.864,-31.407,17.75
