id,attr_time,attr_x,attr_y,attr_z
1,1436619018851,-46.765,17.28,0.82
2,1436619018852,-46.765,17.28,0.82
3,1436619018853,-46.765,17.28,0.82
4,1436619018854,-46.765,17.28,0.82
5,1436619018855,-46.765,17.28,0.82
6,1436619018856,-46.765,17.28,0.82
7,1436619018857,-46.765,17.28,0.82
8,1436619018858,-46.765,17.28,0.82
9,1436619018859,-46.765,17.28,0.82
10,1436619018860,-46.765,17.28,0.82
11,1436619018861,-46.765,17.28,0.82
12,1436619018862,-46.765,17.28,0.82
13,1436619018863,-46.765,17.28,0.82
14,1436619018864,-46.765,17.28,0.82
15,1436619018865,-46.765,17.28,0.82
16,1436619018866,-46.765,17.28,0.82
17,1436619018867,-46.765,17.28,0.82
18,1436619018868,-46.765,17.28,0.82
19,1436619018869,-46.765,17.28,0.82
20,1436619018870,-46.765,17.28,0.82
21,1436619018871,-46.765,17.28,0.82
22,1436619018872,-46.765,17.28,0.82
23,1436619018873,-46.765,17.28,0.82
24,1436619018874,-46.765,17.28,0.82
25,1436619018875,-46.765,17.28,0.82
26,1436619018876,-46.765,17.28,0.82
27,1436619018877,-46.765,17.28,0.82
28,1436619018878,-46.765,17.28,0.82
29,1436619018879,-46.765,17.28,0.82
30,1436619018880,-46.765,17.28,0.82
31,1436619018881,-46.765,17.28,0.82
32,1436619018882,-46.765,17.28,0.82
33,1436619018883,-46.765,17.28,0.82
34,1436619018884,-46.765,17.588,0.82
35,1436619018885,-46.765,17.588,0.82
36,1436619018886,-46.765,17.588,0.82
37,1436619018887,-46.765,17.588,0.82
38,1436619018888,-46.765,17.588,0.82
39,1436619018889,-47.091,17.588,0.82
40,1436619018890,-47.091,17.588,0.82
41,1436619018891,-47.091,17.588,0.82
42,1436619018892,-47.091,17.588,0.82
43,1436619018893,-47.091,17.588,0.82
44,1436619018894,-47.091,17.588,0.82
45,1436619018895,-47.091,17.588,0.82
46,1436619018896,-47.091,17.588,0.82
47,1436619018897,-47.091,17.588,0.82
48,1436619018898,-47.091,17.588,0.82
49,1436619018899,-47.091,17.588,0.82
50,1436619018900,-47.091,17.588,0.82
51,1436619018901,-47.091,17.588,0.82
52,1436619018902,-47.091,17.588,0.505
53,1436619018903,-47.091,17.588,0.505
54,1436619018904,-47.091,17.588,0.505
55,1436619018905,-47.091,17.588,0.505
56,1436619018906,-47.091,17.588,0.505
57,1436619018907,-47.091,17.588,0.505
58,1436619018908,-47.091,17.588,0.505
59,1436619018909,-47.091,17.588,0.505
60,1436619018910,-47.091,17.588,0.505
61,1436619018911,-47.091,17.588,0.505
62,1436619018912,-47.091,17.588,0.505
63,1436619018913,-47.091,17.588,0.505
64,1436619018914,-47.091,17.588,0.505
65,1436619018915,-47.091,17.588,0.505
66,1436619018916,-47.091,17.588,0.505
67,1436619018917,-47.091,17.588,0.505
